"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT03283254","PREPP: Preventing Postpartum Depression","PREPP","Active, not recruiting","No Results Available","Postpartum Depression (PPD)","Behavioral: Practical Resources for Effective Postpartum Parenting (PREPP)|Behavioral: Enhanced Treatment As Usual (ETAU)","Score on the Edinburgh Postnatal Depression Scale (EPDS)|Score on the Pittsburgh Sleep Quality Index (PSQI)|Score on HRSD-24|Score on the PHQ-9|Hamilton Anxiety Scale (HRSA)|Sleep Efficiency (SEact)|Score on Brief Infant Sleep Questionnaire (BISQ) (baby)|Cry Behavior (baby)|Sleep Behavior (baby)|Total Sleep Time (TSTact) (mother)","Columbia University|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","Female","18 Years to 45 Years   (Adult)","Not Applicable","216","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention","7428|R01HD092062","February 12, 2018","February 28, 2024","February 28, 2024","September 14, 2017",,"February 20, 2024","New York State Psychiatric Institute, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT03283254"
12,"NCT04516668","Effect of Tele-consultation in Addition With Psychiatric Follow-up During COVID-19 in Women Who Have Medical History of Post-partum Depression","COVIDDEPERINAT","Unknown status","No Results Available","Post Partum Depression",,"Evaluation of Hospital anxiety and depression scale (HAD)|Evaluation of Edinburgh Postpartum Depression Scale (EPDS)|Evaluation of HAD score in fathers|Evaluation of EPDS in fathers|Study of the relationship between maternals and paternals symptoms|Study of difficuties in child during the quarantine|Risk and protection factors","Assistance Publique - Hôpitaux de Paris","All","18 Years and older   (Adult, Older Adult)",,"250","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","APHP200878","November 2020","November 2020","November 2020","August 18, 2020",,"October 6, 2020",,,"https://ClinicalTrials.gov/show/NCT04516668"
13,"NCT02942004","A Study to Evaluate Efficacy and Safety of SAGE-547 in Participants With Severe Postpartum Depression (547-PPD-202B)",,"Completed","Has Results","Postpartum Depression","Drug: Placebo|Drug: SAGE-547 60 μg/kg/h|Drug: SAGE-547 90 μg/kg/h","Change From Baseline at 60 Hours in the 17-Item Hamilton Rating Scale for Depression (HAM-D) Total Score|Change From Baseline in HAM-D Total Score at Day 30|Change From Baseline in HAM-D Total Score|Percentage of Participants With HAM-D Response|Percentage of Participants With HAM-D Remission|Change From Baseline in HAM-D Bech 6 Subscale|Change From Baseline in HAM-D Individual Item Scores|Change From Baseline at Key Time Points in Montgomery-Åsberg Depression Rating Scale (MADRS) Total Score|Percentage of Participants With Clinical Global Impression - Improvement (CGI-I) Response|Change From Baseline in the Generalized Anxiety Disorder 7-Item Scale (GAD-7) Total Score|Percentage of Participants With Treatment-Emergent Adverse Events|Time to Change in Antidepressant Medication","Sage Therapeutics","Female","18 Years to 45 Years   (Adult)","Phase 3","138","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","547-PPD-202 B","August 1, 2016","September 24, 2017","October 19, 2017","October 21, 2016","June 13, 2019","January 28, 2022","Sage Investigational Site, Chandler, Arizona, United States|Sage Investigational Site, Rogers, Arkansas, United States|Sage Investigational Site, Lemon Grove, California, United States|Sage Investigational Site, Orange, California, United States|Sage Investigational Site, Ventura, California, United States|Sage Investigational Site, Gainesville, Florida, United States|Sage Investigational Site, Miami, Florida, United States|Sage Investigational Site, Miramar, Florida, United States|Sage Investigational Site, Orlando, Florida, United States|Sage Investigational Site, Pensacola, Florida, United States|Sage Investigational Site, Pinellas Park, Florida, United States|Sage Investigational Site, Atlanta, Georgia, United States|Sage Investigational Site, Hoffman Estates, Illinois, United States|Sage Investigational Site, Wichita, Kansas, United States|Sage Investigational Site, Edgewood, Kentucky, United States|Sage Investigational Site, Owensboro, Kentucky, United States|Sage Investigational Site, Boston, Massachusetts, United States|Sage Investigational Site, Boston, Massachusetts, United States|Sage Investigational Site, Flowood, Mississippi, United States|Sage Investigational Site, Marlton, New Jersey, United States|Sage Investigational Site, Glen Oaks, New York, United States|Sage Investigational Site, Chapel Hill, North Carolina, United States|Sage Investigational Site, Charlotte, North Carolina, United States|Sage Investigational Site, Raleigh, North Carolina, United States|Sage Investigational Site, Columbus, Ohio, United States|Sage Investigational Site, Dayton, Ohio, United States|Sage Investigational Site, Philadelphia, Pennsylvania, United States|Sage Investigational Site, Houston, Texas, United States|Sage Investigational Site, Houston, Texas, United States|Sage Investigational Site, Richardson, Texas, United States|Sage Investigational Site, San Antonio, Texas, United States|Sage Investigational Site, Orem, Utah, United States","""Study Protocol"", https://classic.clinicaltrials.gov/ProvidedDocs/04/NCT02942004/Prot_000.pdf|""Statistical Analysis Plan"", https://classic.clinicaltrials.gov/ProvidedDocs/04/NCT02942004/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT02942004"
14,"NCT02942017","A Study to Evaluate Safety and Efficacy of SAGE-547 in Participants With Moderate Postpartum Depression (547-PPD-202C)",,"Completed","Has Results","Postpartum Depression","Drug: Placebo|Drug: SAGE-547 90 μg/kg/h","Change From Baseline at 60 Hours in 17-Item Hamilton Rating Scale for Depression (HAM-D) Total Score|Change From Baseline in HAM-D Total Score at Day 30|Change From Baseline in HAM-D Total Score|Percentage of Participants With HAM-D Response|Percentage of Participants With HAM-D Remission|Change From Baseline in HAM-D Bech 6 Subscale|Change From Baseline in HAM-D Individual Item Scores|Change From Baseline at Key Time Points in Montgomery-Åsberg Depression Rating Scale (MADRS) Total Score|Percentage of Participants With Clinical Global Impression - Improvement (CGI-I) Response|Change From Baseline in the Generalized Anxiety Disorder 7-Item Scale (GAD-7) Total Score|Percentage of Participants With Treatment Emergent Adverse Event (TEAE)|Time to Change in Antidepressant Medication","Sage Therapeutics","Female","18 Years to 45 Years   (Adult)","Phase 3","108","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","547-PPD-202 C","July 2016","September 17, 2017","October 11, 2017","October 21, 2016","June 13, 2019","January 28, 2022","Sage Investigational Site, Chandler, Arizona, United States|Sage Investigational Site, Rogers, Arkansas, United States|Sage Investigational Site, Lemon Grove, California, United States|Sage Investigational Site, Orange, California, United States|Sage Investigational Site, Ventura, California, United States|Sage Investigational Site, Gainesville, Florida, United States|Sage Investigational Site, Miami, Florida, United States|Sage Investigational Site, Miramar, Florida, United States|Sage Investigational Site, Orlando, Florida, United States|Sage Investigational Site, Pensacola, Florida, United States|Sage Investigational Site, Pinellas Park, Florida, United States|Sage Investigational Site, Atlanta, Georgia, United States|Sage Investigational Site, Hoffman Estates, Illinois, United States|Sage Investigational Site, Wichita, Kansas, United States|Sage Investigational Site, Edgewood, Kentucky, United States|Sage Investigational Site, Owensboro, Kentucky, United States|Sage Investigational Site, Boston, Massachusetts, United States|Sage Investigational Site, Flowood, Mississippi, United States|Sage Investigational Site, Marlton, New Jersey, United States|Sage Investigational Site, Glen Oaks, New York, United States|Sage Investigational Site, Chapel Hill, North Carolina, United States|Sage Investigational Site, Charlotte, North Carolina, United States|Sage Investigational Site, Raleigh, North Carolina, United States|Sage Investigational Site, Columbus, Ohio, United States|Sage Investigational Site, Dayton, Ohio, United States|Sage Investigational Site, Philadelphia, Pennsylvania, United States|Sage Investigational Site, Baytown, Texas, United States|Sage Investigational Site, Houston, Texas, United States|Sage Investigational Site, Houston, Texas, United States|Sage Investigational Site, Richardson, Texas, United States|Sage Investigational Site, San Antonio, Texas, United States|Sage Investigational Site, Orem, Utah, United States","""Study Protocol"", https://classic.clinicaltrials.gov/ProvidedDocs/17/NCT02942017/Prot_000.pdf|""Statistical Analysis Plan"", https://classic.clinicaltrials.gov/ProvidedDocs/17/NCT02942017/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT02942017"
15,"NCT00782912","Postpartum Anemia and Postpartum Depression","PPADS","Completed","No Results Available","Postpartum Depression",,"Incidence of postpartum depression|Mean Edinburgh Postnatal Depression Scale results|Functional status|Lactation success","Unity Health Toronto","Female","Child, Adult, Older Adult",,"103","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","08-155","November 2008","October 2014","October 2014","October 31, 2008",,"February 22, 2019","St. Michael's Hospital, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT00782912"
16,"NCT04441879","bBeAMom: Effectiveness of a Cognitive-Behavioral Blended Intervention for Postpartum Depression","bBeAMom","Recruiting","No Results Available","Postpartum Depression","Behavioral: Be a Mom Coping with Depression|Behavioral: Be a Mom","Changes from baseline in depressive symptoms|Changes from baseline in anxiety symptoms|Changes from baseline in quality of life|Changes from baseline in the frequency of negative thoughts|Changes from baseline in marital satisfaction|Changes from baseline in maternal self-efficacy|Changes from baseline in mother-child bonding|Changes from baseline in self-compassion|Changes from baseline in emotional regulation|Changes from baseline in psychological flexibility|Changes from baseline in expectancy for therapy|Therapeutic relationship|Acceptability of the intervention for postpartum women|Usability of the intervention for postpartum women|Feasibility of the online program for postpartum women as measured by number of website logins|Feasibility of the program for postpartum women as measured by website average visit length|Feasibility of the intervention for postpartum women as measured by dropout rate","University of Coimbra|Fundação para a Ciência e a Tecnologia","Female","18 Years to 50 Years   (Adult)","Not Applicable","110","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","bBeAMom/145563/2019|SFRH/BD/145563/2019","April 1, 2022","November 2023","January 2024","June 22, 2020",,"July 15, 2022","Faculty of Psychology and Education Sciences, University of Coimbra, Coimbra, Portugal",,"https://ClinicalTrials.gov/show/NCT04441879"
17,"NCT02818075","Mobile Phone Based Peer Support to Prevent Postpartum Depression Among Adolescent Mothers",,"Completed","No Results Available","Postpartum Depression","Other: Mobile Phone Based Peer Support|Other: Usual Care","Feasibility as assessed by the Participant Eligibility Assessment Form|Acceptability as assessed by the validated Peer Support Evaluation Inventory|Compliance as assessed by the Activity Log Form|Support strategies as assessed by the Activity Log Form|Edinburgh Postnatal Depression Scale|State-Trait Anxiety Inventory (STAI)|Short Form Social Support Questionnaire (SSQ6)|Health Services Utilization Questionnaire","University of Toronto","Female","16 Years to 24 Years   (Child, Adult)","Not Applicable","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention","32189","April 2016","January 21, 2018","January 21, 2018","June 29, 2016",,"March 19, 2019","University of Toronto, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT02818075"
18,"NCT01379781","Behavioral Change in the Mother-Infant Dyad: Preventing Postpartum Depression",,"Completed","Has Results","Postpartum Depression","Behavioral: Behavioral Intervention for PPD","Hamilton Rating Scales of Depression","New York State Psychiatric Institute","Female","18 Years to 35 Years   (Adult)","Not Applicable","54","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","#6285","August 2011","February 2014","February 2018","June 23, 2011","August 10, 2015","March 29, 2022","Columbia University Medical Center, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT01379781"
19,"NCT05873569","Preventing Postpartum Depression in Immigrant Latinas",,"Recruiting","No Results Available","Postpartum Depression","Behavioral: Mothers and Babies Virtual Group Intervention","Depressive symptoms|Depressive episodes|Parenting self-efficacy|Parenting responsiveness|Behavioral activation|Decentering|Social support|Mood management|Anxiety symptoms|Perceived stress","Northwestern University|Johns Hopkins University|Palo Alto University","Female","16 Years and older   (Child, Adult, Older Adult)","Not Applicable","300","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","STU00217105","October 15, 2023","June 30, 2026","April 30, 2027","May 24, 2023",,"November 1, 2023","Johns Hopkins University School of Medicine, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT05873569"
20,"NCT05055674","The Effects of Motherly on Postpartum Depression",,"Unknown status","No Results Available","Postpartum Depression","Behavioral: Motherly app|Behavioral: COMVC app","Depression symptoms|Anxiety symptoms|Sleep quality|Quality of Life: Physical Health|Quality of Life: Mental Health|Parenting stress|Parental Distress|Parent-child Dysfunctional Interaction|Difficult Child|Attachment|Parenting Competence","University of Sao Paulo","Female","18 Years to 40 Years   (Adult)","Not Applicable","264","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","OR2019-62903","September 2021","March 2022","July 2022","September 24, 2021",,"September 24, 2021",,,"https://ClinicalTrials.gov/show/NCT05055674"
21,"NCT05551195","[Study Evaluating the Efficacy and Safety of a Digital Therapeutic as an Adjunct to TAU in Postpartum Depression]",,"Terminated","No Results Available","Postpartum Depression","Device: WB001|Device: ED001","Hamilton Rating Scale for Depression (HAM-D)|Edinburgh Postpartum Depression Scale (EPDS)|Patient Health Questionnaire (PHQ-9)|Generalized Anxiety Disorder Questionnaire (GAD-7)|Mother-to-Infant Bonding Scale (MIBS)|Clinical Global Impressions Scale - Severity of Illness (CGI-S)|Clinical Global Impressions Scale - Global Improvement (CGI-I)|Patient Global Impression Scale (PGI)|Client Satisfaction Questionnaire (CSQ-8)","Woebot Health|Iqvia Pty Ltd","Female","22 Years to 45 Years   (Adult)","Not Applicable","7","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","WB001-001","November 16, 2022","May 10, 2023","May 10, 2023","September 22, 2022",,"July 19, 2023","Woebot Investigational Site, Lafayette, California, United States|Woebot Investigational Site, Santa Ana, California, United States|Woebot Investigational Site, DeLand, Florida, United States|Woebot Investigational Site, Miami Lakes, Florida, United States|Woebot Investigational Site, Seminole, Florida, United States|Woebot Investigational Site, Decatur, Georgia, United States|Woebot Investigational Site, Glen Oaks, New York, United States|Woebot Investigational Site, Cleveland, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT05551195"
22,"NCT05217251","EEG Alterations of Uterine Contractions in the First Stage of Labor Predicting Postpartum Depression",,"Recruiting","No Results Available","Postpartum Depression","Other: frontal alpha asymmetry in EEG","The incidence of depression in 12 months after childbirth.|The score of pain in 12 months after childbirth","Zhujiang Hospital","Female","18 Years to 45 Years   (Adult)",,"330","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","Maternal EEG monitoring","March 1, 2022","February 2023","December 2024","February 1, 2022",,"March 23, 2022","Zhujiang Hospital, Guanzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT05217251"
23,"NCT06004232","Prenatal Yoga to Prevent Postpartum Depression","PRY-D","Not yet recruiting","No Results Available","Postpartum Depression","Behavioral: Prenatal Yoga to Prevent Postpartum Depression (PRY-D) intervention|Behavioral: Treatment as Usual (TAU)","Edinburgh Postnatal Depression Scale","Henry Ford Health System|National Institute of Mental Health (NIMH)|University of Colorado, Boulder","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","60","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","R34MH131573","July 2024","March 2026","March 2026","August 22, 2023",,"September 1, 2023",,,"https://ClinicalTrials.gov/show/NCT06004232"
24,"NCT00744328","Postpartum Depression: Transdermal Estradiol Versus Sertraline","E2SERT","Terminated","Has Results","Postpartum Depression","Drug: Transdermal Estradiol|Drug: Sertraline|Other: Placebo","To Test the Efficacy of Estradiol for the Treatment of Postpartum Depression - Percent Change in SIGH-ADS29|Infant Serum Concentrations of Estradiol in 3 Treatment Arms","Northwestern University","Female","18 Years to 45 Years   (Adult)","Phase 4","85","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","R01MH057102","August 2008","September 2013","September 2013","August 29, 2008","October 23, 2014","September 10, 2019","Northwestern University Feinberg School of Medicine; Asher Center for the Study and Treatment of Depressive Disorders, Chicago, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT00744328"
25,"NCT03024645","Be a Mom: Effectiveness of a Web-based Preventive Intervention for Postpartum Depression","BeAMom","Unknown status","No Results Available","PostPartum Depression","Behavioral: Be A Mom|Other: Treatment as usually (TAU)","Number of women with clinically significant postpartum depressive symptoms (EPDS > 12) at 4 months postpartum|Number of women with clinically significant postpartum depressive symptoms (EPDS > 12) at 12 months postpartum|Changes from baseline in the severity of depressive symptoms|Changes from baseline in anxiety symptoms|Changes from baseline in quality of life|Changes from baseline in dyadic adjustment|Changes from baseline in maternal confidence|Changes from baseline in the frequency of negative automatic thoughts|Changes from baseline in psychological flexibility|Changes from baseline in self-criticism and self-compassion|Changes from baseline in emotional regulation|Acceptability of the program for postpartum women|Feasibility of the program for postpartum women as measured by number of website logins|Feasibility of the program for postpartum women as measured by website average visit length|Feasibility of the program for postpartum women as measured by number of exercises completed|Feasibility of the program for postpartum women as measured by dropout rate.","University of Coimbra","Female","18 Years to 50 Years   (Adult)","Not Applicable","1000","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Prevention","CINEICC-2-BaM|SFRH/BPD/93996/2013","August 1, 2017","September 1, 2021","December 31, 2021","January 19, 2017",,"April 27, 2021","Ana Fonseca, Coimbra, Portugal",,"https://ClinicalTrials.gov/show/NCT03024645"
