"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT05358509","Reducing Anemia in Pregnancy in India: the RAPIDIRON Trial","RAPIDIRON","Active, not recruiting","No Results Available","Iron Deficiency Anemia|Infant, Low Birth Weight|Anemia of Pregnancy","Drug: Ferric carboxymaltose|Drug: Iron isomaltoside|Drug: Ferric Sulfate","Return to non-anemic status in the last trimester of pregnancy|Low birth weight (<2500 grams) deliveries|Changes in hemoglobin concentration by moderate anemia subgroups|Changes in transferrin saturation|Changes in ferritin|Changes in offspring hemoglobin measured from cord blood|Offspring transferrin saturation from cord blood|Offspring ferritin from cord blood|Weight gain|Mode of delivery/incidence of c-section|Incidence of hemorrhage|Incidence of hypertensive disorders|Incidence of maternal infections|Incidence of neonatal infections|Incidence of maternal mortality|Incidence of neonatal mortality|Incidence of pregnancy loss and stillbirth|Newborn length|Newborn weight|Incidence of neonatal resuscitation|Incidence of neonatal admissions to an intensive care unit|Time from delivery to cord clamping|Incidence of unscheduled healthcare visits|Incidence of breastfeeding|Well-being/quality of life|Incidence of need for 'rescue therapy'|Referral for evaluation due to little improvement|Incidence of preterm and small for gestational age births","Thomas Jefferson University|Children's Investment Fund Foundation|Jawaharlal Nehru Medical College|S. Nijalingappa Medical College|Raichur Institute of Medical Sciences|Sawai Mansingh Medical College","Female","18 Years to 40 Years   (Adult)","Phase 4","4368","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1811-03347","March 15, 2021","January 31, 2024","June 30, 2024","May 3, 2022",,"November 29, 2023","S. Nijalingappa Medical College, Bagalkot, Karnataka, India|Jawaharlal Nehru Medical College, Belgaum, Karnataka, India|Raichur Institute of Medical Sciences, Raichur, Karnataka, India|Sawai Man Singh Medical College, Jaipur, Rajasthan, India","""Study Protocol and Statistical Analysis Plan"", https://classic.clinicaltrials.gov/ProvidedDocs/09/NCT05358509/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT05358509"
12,"NCT04594070","Daily Versus Alternate Day Iron Supplementation for the Treatment of Iron Deficiency Anemia in Pregnancy",,"Terminated","No Results Available","Pregnancy Related|Iron Deficiency Anemia of Pregnancy","Drug: Ferrous sulfate","Difference in hemoglobin levels from enrollment to end of study|Change in hematocrit in the third trimester after treatment|Gastrointestinal side effects after 2-4 weeks of treatment|Complete blood count in the third trimester|Serum ferritin at time of enrollment|Total iron binding capacity at time of enrollment|Transferrin at time of enrollment|Number of participants who receive intravenous (IV) iron supplementation|Number of participants who receive a blood transfusion|Postpartum hemoglobin|Postpartum hematocrit|Neonatal weight at delivery|Level of neonatal bilirubin at birth|Neonatal Apgar scores|Number of newborns who are admitted to the Neonatal Intensive Care Unit (NICU).|Weight class at time of enrollment","The University of Texas Medical Branch, Galveston","Female","18 Years to 50 Years   (Adult)","Phase 4","14","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20-0068","October 27, 2020","January 12, 2024","January 12, 2024","October 20, 2020",,"January 19, 2024","University of Texas Medical Branch, Galveston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04594070"
13,"NCT03484845","Lactoferrin Versus Ferrous Fumarate for Treatment of Mild to Moderate Iron Deficiency Anemia During Pregnancy",,"Unknown status","No Results Available","Iron Deficiency Anemia of Pregnancy","Drug: Lactoferrin and ferrous fumarate","Increase in blood hemoglobin.","Assiut University","Female","16 Years to 45 Years   (Child, Adult)","Phase 1|Phase 2","150","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","u1111-1210-1436","November 1, 2018","December 1, 2019","December 1, 2019","April 2, 2018",,"July 3, 2018",,,"https://ClinicalTrials.gov/show/NCT03484845"
14,"NCT03456258","Lactoferrin Versus Ferrous Sulphate for the Treatment of Iron Deficiency Anemia During Pregnancy","Lactoferrin","Completed","No Results Available","Iron Deficiency Anemia of Pregnancy","Diagnostic Test: Complete blood count","hemoglobin level|Serum ferritin","Ain Shams University","Female","20 Years to 40 Years   (Adult)","Not Applicable","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Ainshams maternity hospital","September 5, 2017","December 10, 2017","January 15, 2018","March 7, 2018",,"March 7, 2018","Ainshams maternity hospital, Cairo, Abbasia, Egypt",,"https://ClinicalTrials.gov/show/NCT03456258"
15,"NCT04976179","Iron Infusion Into a Vein Compared to Iron Tablet Taken by Mouth for Treating Iron Deficiency Anemia in Pregnancy (IVON)","IVON","Completed","No Results Available","Iron Deficiency Anemia of Pregnancy","Drug: Ferric carboxymaltose|Drug: Ferrous sulfate","Prevalence of maternal anemia at 36 weeks' gestation|Incidence of preterm delivery|Proportion of patients with side effects or intolerance to medication in FCM vs. FS group, including incidence of hypophosphatemia and severe maternal adverse effects at Day 1 and 4 weeks post enrolment, at 36 weeks gestation and 6 weeks post delivery|Proportion of patients with severe maternal events, specifically, haemorrhage, sepsis, shock and the need for blood transfusion measured using data source at delivery|The incidence of low infant birthweight, prematurity, stillbirth and neonatal mortality, proportion of infants being breastfed at 1, 2 and 4 weeks of life, and receiving BCG, oral polio and hepatitis vaccination in same time period|The incidence of depression linked to emotional well-being of mothers using the validated Edinburgh Postnatal Depression Scale measured at enrolment, 36 weeks gestational age and 7 days post delivery|Maternal hemoglobin levels at 4 weeks post-initiation of treatment|Prevalence of maternal iron deficiency at 36 weeks' gestation","University of Lagos, Nigeria|Aminu Kano Teaching Hospital","Female","15 Years to 49 Years   (Child, Adult)","Phase 3","1056","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PACTR202012843695208|ISRCTN63484804|Investment ID INV-017271|2021-002867-23","August 9, 2021","April 5, 2023","June 15, 2023","July 26, 2021",,"July 21, 2023","Kabuga Comprehensive Primary Health Centre, Gwarzo, Kano, Nigeria|Kumbotso Comprehensive Health Centre, Kumbotso, Kano, Nigeria|Aminu Kano Teaching Hospital, Tarauni, Kano, Nigeria|Simpson Primary Health Centre, Ebute-Metta, Lagos, Nigeria|Lagos University Teaching Hospital, Idi Araba, Lagos, Nigeria|Iwaya Primary Health Centre, Iwaya, Lagos, Nigeria|Sheikh Jidda General Hospital, Kano, Nigeria|Nuhu Bammali Maternity Hospital, Kano, Nigeria|Sharada Primary Health Centre, Kano, Nigeria|Mother and Child Centre, Amuwo-Odofin, Lagos, Lagos, Nigeria|Lagos Island Maternity Hospital, Lagos, Lagos, Nigeria",,"https://ClinicalTrials.gov/show/NCT04976179"
16,"NCT03481790","Lactoferrin Versus Ferrous Sulphate for Treatment of Iron Deficiency Anaemia During Pregnancy",,"Completed","No Results Available","Iron Deficiency Anemia of Pregnancy","Drug: Lactoferrin|Drug: ferrous sulphate + folic acid (vitamin B9)","Hemoglobin (Hb) level.|serum ferritin level.","Ain Shams Maternity Hospital","Female","20 Years to 35 Years   (Adult)","Phase 2","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","AinShams Maternity Hospital","September 1, 2017","March 5, 2018","March 5, 2018","March 29, 2018",,"March 29, 2018","Ain Shams Maternity Hospital, Cairo, Egypt",,"https://ClinicalTrials.gov/show/NCT03481790"
17,"NCT03564756","Effect of Ascorbic Acid Supplementation in Pregnancy on Anemia (AAA)","AAA","Withdrawn","No Results Available","Anemia in Pregnancy","Dietary Supplement: Vitamin C","Change in serum hemoglobin","Fetal Medicine Foundation|Wright State University|Five Rivers Health Centers","Female","18 Years to 50 Years   (Adult)","Not Applicable","0","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","AAA-001","August 1, 2019","March 30, 2022","March 30, 2022","June 21, 2018",,"September 22, 2022","Five Rivers Health Centers, Dayton, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT03564756"
18,"NCT04045002","'MyPinkMom' Educational Intervention for Pregnant Women With Anaemia",,"Unknown status","No Results Available","Anaemia in Pregnancy","Other: 'MyPinkMom' educational intervention","haemoglobin level changes|knowledge score changes|Amount of dietary iron changes|Theory of Planned Behavior construct score changes","Universiti Kebangsaan Malaysia Medical Centre","Female","20 Years to 40 Years   (Adult)","Not Applicable","120","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention","UKM PPI/111/8/JEP-2018-674","April 1, 2020","June 30, 2020","August 31, 2020","August 5, 2019",,"February 25, 2020",,,"https://ClinicalTrials.gov/show/NCT04045002"
19,"NCT03174652","Anemia Pregnancy Outcome on the Thai-Myanmar Border","AnPREG","Completed","No Results Available","Anemia Pregnancy",,"Hematology|Serum ferritin|The risk of maternal morbidities","University of Oxford","Female","Child, Adult, Older Adult",,"13520","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","SMRU1703","July 20, 2017","July 20, 2017","July 20, 2018","June 2, 2017",,"August 31, 2018","Shoklo Malaria Research Unit, Mae Sot, Tak, Thailand",,"https://ClinicalTrials.gov/show/NCT03174652"
20,"NCT03175042","Non-invasive Spot Hemoglobin Measurement in the Outpatient Obstetric Clinic",,"Completed","No Results Available","Anemia in Pregnancy","Device: Masimo spot hemoglobin non-invasive monitor","Hemoglobin values","The University of Texas Medical Branch, Galveston","Female","18 Years to 50 Years   (Adult)",,"40","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","17-0095","June 13, 2017","December 31, 2017","December 31, 2017","June 5, 2017",,"June 3, 2019","University of Texas Medical Branch, Galveston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT03175042"
21,"NCT06366698","Intravenous Iron Versus Oral Iron for the Treatment of Iron Deficiency Anemia","IDA","Recruiting","No Results Available","Iron Deficiency Anemia of Pregnancy","Drug: Venofer 200 MG Per 10 ML Injection|Drug: Ferrous sulfate","Hemoglobin difference|Ferritin difference|Delivery Hemoglobin|Rates of blood transfusion|Symptoms|Preterm delivery|Depression|Birthweight","Arrowhead Regional Medical Center","Female","18 Years and older   (Adult, Older Adult)","Phase 3","900","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","23-55","November 21, 2023","December 30, 2025","December 30, 2025","April 16, 2024",,"April 16, 2024","Arrowhead Regional Medical Center, Colton, California, United States","""Informed Consent Form"", https://classic.clinicaltrials.gov/ProvidedDocs/98/NCT06366698/ICF_000.pdf","https://ClinicalTrials.gov/show/NCT06366698"
22,"NCT05462704","Intravenous Versus Oral Iron for Treating Iron-Deficiency Anemia in Pregnancy","IVIDA2","Recruiting","No Results Available","Iron Deficiency Anemia|Pregnancy","Drug: Ferric derisomaltose|Drug: Ferrous sulfate","Rate of peripartum blood transfusion|Concentration of maternal hemoglobin at delivery|Rate of maternal anemia presence at delivery|Concentration of maternal ferritin at delivery|Concentration of maternal hemoglobin postpartum day 1|Rate of cesarean delivery|Rate of severe infusion adverse events|Rate of mild medication adverse events|Edinburgh Perinatal Depression Scale score|Maternal EuroQol Group Quality-of-Life Questionnaire score|Rate of Maternal infection|Rate of Composite Maternal Complications|Gestational age at delivery|Rate of preterm birth at less then 37 weeks|Rate of Neonatal Intensive Care Unit Admission|Neonatal birth weight|Concentration of umbilical artery pH|Concentration of umbilical artery bicarbonate|Concentration of umbilical artery base excess|Concentration of umbilical artery lactate|Concentration of neonatal hemoglobin|Concentration of neonatal ferritin|Neonatal Apgar scores|Rate of composite neonatal complication|Concentration of child brain myelin|Child Mullen Scale of Early Learning Score","Women and Infants Hospital of Rhode Island|Hasbro Children's Hospital|University of Michigan|Washington University School of Medicine","Female","18 Years to 45 Years   (Adult)","Phase 3","746","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment","Pro00060930","January 17, 2023","March 30, 2027","March 30, 2027","July 18, 2022",,"December 21, 2023","Michigan University Medical Center, Ann Arbor, Michigan, United States|Washington University Medical Center, Saint Louis, Missouri, United States|Hasbro Children's Hospital, Providence, Rhode Island, United States|Women & Infants Hospital of Rhode Island, Providence, Rhode Island, United States",,"https://ClinicalTrials.gov/show/NCT05462704"
23,"NCT03565198","Ferritin as a Predictor for Anemia in Pregnancy",,"Unknown status","No Results Available","Anemia, Iron Deficiency",,"clinical anemia","CAMC Health System","Female","15 Years to 45 Years   (Child, Adult)",,"100","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","17-366","August 15, 2019","August 15, 2020","October 15, 2020","June 21, 2018",,"December 3, 2019","Charleston Area Medical Center, Charleston, West Virginia, United States",,"https://ClinicalTrials.gov/show/NCT03565198"
24,"NCT03725150","Treatment of Iron Deficiency Anaemia in Pregnancy Study","TIAP","Completed","No Results Available","Anemia, Iron Deficiency",,"An increase in haemoglobin of at least 10g/L","The Royal Wolverhampton Hospitals NHS Trust","Female","18 Years to 45 Years   (Adult)",,"400","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2018OBS100","June 19, 2018","December 17, 2019","December 17, 2019","October 30, 2018",,"August 10, 2022","New Cross Hospital, Wolverhampton, West Midlands, United Kingdom",,"https://ClinicalTrials.gov/show/NCT03725150"
25,"NCT02441439","To Compare the Efficacy of I.V 200 mg Iron Sucrose and 500 mg Iron Sucrose to Treat Anemia in Pregnancy",,"Withdrawn","No Results Available","Pregnancy","Dietary Supplement: Iron sucrose 200 mg|Dietary Supplement: Iron sucrose 500 mg","The change between the hemoglobin level at randomization and the hemoglobin level at the time of delivery|Women's satisfaction from the protocol treatment according to the VAS (visual analog scale)|Type and rate of adverse events|The rate of patients who discontinued treatment|The weekly change in hemoglobin level, ferritin, serum iron, transferrin, MCV, iron saturation and reticolocyte count from randomization|The change in hemoglobin level, ferritin, serum iron, transferrin, MCV, iron saturation and reticolocyte count from the last dose of iron sucrose to delivery in 3 weeks intervals|The need for blood transfusion post partum|The need for iron sucrose administration post partum|The rate of anemia associated symptoms|The levels of neonatal hemoglobin, ferritin and bilirubin|The rate of neonatal polycythemia and need for phototherapy","HaEmek Medical Center, Israel","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","0","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","0036-15","January 1, 2022","November 7, 2022","November 7, 2022","May 12, 2015",,"November 8, 2022",,,"https://ClinicalTrials.gov/show/NCT02441439"
26,"NCT03279536","Lactoferrin Versus Total Dose Infusion (TDI) For Treating Iron Deficiency Anemia in Pregnancy: Role of Nursing","TDI","Completed","No Results Available","Iron Deficiency Anemia","Combination Product: Oral lactoferrin|Combination Product: TDI of LMW iron dextran","the change in Hb concentration|measure the change in serum iron, serum ferritin","Woman's Health University Hospital, Egypt","Female","18 Years to 40 Years   (Adult)","Phase 1|Phase 2","99","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","WHH","November 1, 2017","December 30, 2018","December 30, 2018","September 12, 2017",,"October 27, 2020","Women Health Hospital, Asyut, Egypt",,"https://ClinicalTrials.gov/show/NCT03279536"
27,"NCT04278651","Early Antenatal Support for Iron Deficiency Anemia","EASI-A","Unknown status","No Results Available","Pregnancy Related|Anemia, Iron Deficiency|Anemia of Pregnancy","Drug: Ferumoxytol|Drug: Ferrous Sulfate","Change in Hemoglobin|Anemia resolution|Anemia at Delivery|Need for additional therapy|Quality of life scale|Adherence|Need for post partum transfusion|Neonatal outcomes: cord blood iron indices|Neonatal outcomes: birth weight|Neonatal outcomes gestational age of delivery (weeks)","Thomas Jefferson University|Auerbach Hematology and Oncology","Female","18 Years to 65 Years   (Adult, Older Adult)","Phase 4","80","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","19G.929","September 29, 2021","August 30, 2023","December 30, 2023","February 20, 2020",,"February 8, 2022","Thomas Jefferson University Hospital, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT04278651"
28,"NCT05479799","Prevalence and Determinants of Anemia During the Third Trimester of Pregnancy",,"Completed","No Results Available","Anemia of Pregnancy",,"Number of participants with the prevalence of anemia in the third trimester of pregnancy","Beni-Suef University","Female","18 Years to 42 Years   (Adult)",,"383","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","anemia in pregnancy: Beni-Suef","January 4, 2019","June 30, 2019","June 30, 2019","July 29, 2022",,"July 29, 2022","Beni-Suef University, Banī Suwayf, Egypt",,"https://ClinicalTrials.gov/show/NCT05479799"
29,"NCT04101461","The Oral Iron on the Prevention of Iron Deficiency Anemia in Obese Pregnant",,"Completed","No Results Available","Anemia of Pregnancy","Drug: Iron|Diagnostic Test: Complete blood count|Diagnostic Test: Serum ferritin|Diagnostic Test: Serum hepcidin|Diagnostic Test: Serum Iron|Diagnostic Test: Serum total iron binding capacity","The number of anemic women at time of delivery|The mean level of maternal Hemoglobin at 37-38 weeks .|The incidence of patients' reported side effect|The difference in serum ferritin|The difference in serum hepcidin","Assiut University","Female","20 Years to 35 Years   (Adult)","Not Applicable","230","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","IDA-Obese","October 1, 2019","April 1, 2022","April 1, 2022","September 24, 2019",,"May 4, 2022","Woman's Health Hospital - Assiut university, Assiut, Egypt",,"https://ClinicalTrials.gov/show/NCT04101461"
