"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT03519373","Pertussis Immunization During Pregnancy & HIV Infection",,"Completed","No Results Available","Immunization; Infection|Pertussis|HIV-1-infection|Pregnancy","Biological: TDaP","Pertussis-specific antibodies GMC after immunization|Transplacental transfer of pertussis-specific antibodies|Pertussis-specific memory B cells quantification & phenotype|Pertussis-specific antibodies glycosylation profiles","Centre Hospitalier Universitaire Saint Pierre","Female","18 Years to 60 Years   (Adult)",,"135","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","Pertussis","March 1, 2017","June 1, 2019","June 1, 2019","May 9, 2018",,"September 30, 2022","CHU Saint-Pierre, Brussels, Belgium|HIS Etterbeek Ixelles, Ixelles, Belgium",,"https://ClinicalTrials.gov/show/NCT03519373"
12,"NCT00070746","Perinatal Infections in Pakistan",,"Completed","No Results Available","Bacterial Vaginosis|Fetal Membranes, Premature Rupture|Chorioamnionitis|Pregnancy",,,"NICHD Global Network for Women's and Children's Health|Global Network for Women's and Children's Health Research|Bill and Melinda Gates Foundation|Fogarty International Center of the National Institute of Health|National Center for Complementary and Integrative Health (NCCIH)|National Institute of Dental and Craniofacial Research (NIDCR)|National Cancer Institute (NCI)|RTI International|University of Alabama at Birmingham|Aga Khan University","Female","Child, Adult, Older Adult",,"1500","Other|NIH","Observational","Time Perspective: Prospective","GN 09|U01HD040607","June 2003",,"July 2005","October 10, 2003",,"July 31, 2014","Health clinic, Hyderabad, Pakistan",,"https://ClinicalTrials.gov/show/NCT00070746"
13,"NCT02845284","'HI-4-TU' Study: Health Improvement for Teen Ugandans Study",,"Completed","No Results Available","Pregnancy|Human Immunodeficiency Virus|Sexually Transmitted Diseases","Behavioral: enhanced group support|Behavioral: enhanced individual support","Composite measure of consistent condom-use and use of an effective family planning method method|Incidence of any Sexually Transmitted Infection","Johns Hopkins University|MU-JHU CARE","Female","15 Years to 19 Years   (Child, Adult)","Not Applicable","486","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","IRB00061475","March 30, 2016","December 1, 2017","December 30, 2017","July 27, 2016",,"May 17, 2019","MUJHU CARE Ltd, Kampala, Wakiso DIstrict, Uganda","""Study Protocol and Statistical Analysis Plan"", https://classic.clinicaltrials.gov/ProvidedDocs/84/NCT02845284/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02845284"
14,"NCT06160349","EnCoRe MoMS:Engaging Communities to Reduce Morbidity From Maternal Sepsis",,"Enrolling by invitation","No Results Available","Maternal Sepsis|Infections",,"Integrative Supportive Care Model","Columbia University|Northern Manhattan Perinatal Partnership|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","Female","18 Years and older   (Adult, Older Adult)",,"200","Other|NIH","Observational","Observational Model: Ecologic or Community|Time Perspective: Retrospective","AAAU3697 - Aim 3|1UG3HD111247","July 20, 2023","August 31, 2026","September 30, 2026","December 7, 2023",,"December 7, 2023","NYC Health + Hospitals/Lincoln, Bronx, New York, United States|Columbia Unviersity Medical Center, New York, New York, United States|NYC Health+Hospitals/Harlem, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT06160349"
15,"NCT06145724","EnCoRe MoMS: Engaging Communities to Reduce Morbidity From Maternal Sepsis",,"Enrolling by invitation","No Results Available","Maternal Sepsis|Infections","Behavioral: Maternal Sepsis Safety Bundle","Number of Participants Diagnosed with Maternal Sepsis","Columbia University|Northern Manhattan Perinatal Partnership|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","24040","Other|NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","AAAU3697 - Aim 1|1UG3HD111247","January 2, 2024","August 31, 2026","September 30, 2026","November 24, 2023",,"February 6, 2024","NYC Health + Hospitals/Lincoln, Bronx, New York, United States|Columbia Unviersity Irving Medical Center, New York, New York, United States|NewYork-Presbyterian Allen Hospital, New York, New York, United States|NYC Health+Hospitals/Harlem, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT06145724"
16,"NCT06148532","EnCoRe MoMS:Engaging Communities to Reduce Morbidity From Maternal Sepsis",,"Enrolling by invitation","No Results Available","Maternal Sepsis|Infections",,"Maternal sepsis risk","Columbia University|Northern Manhattan Perinatal Partnership|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","Female","18 Years and older   (Adult, Older Adult)",,"400000","Other|NIH","Observational","Observational Model: Ecologic or Community|Time Perspective: Retrospective","AAAU3697 - Aim 2|1UG3HD111247","April 26, 2023","August 31, 2025","September 30, 2026","November 28, 2023",,"November 28, 2023","Columbia Unviersity Medical Center, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT06148532"
17,"NCT04448392","Valacyclovir in Neonatal Herpes Simplex Virus Disease",,"Recruiting","No Results Available","Neonatal Herpes Simplex Infection","Drug: Valacyclovir","Area under the curve following administration of oral valacyclovir suspension 20 mg/kg every 8 hours|Area under the curve following administration of parenteral acyclovir 20 mg/kg every 8 hours|Comparison of the Area under the curve of 20 mg/kg IV acyclovir to the area under the curve of 20 mg/kg PO valacyclovir","University of Alabama at Birmingham","All","2 Weeks to 12 Weeks   (Child)","Phase 1","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","300005567","July 1, 2021","October 2025","November 2025","June 25, 2020",,"September 8, 2023","University of Alabama - Children's of Alabama, Birmingham, Alabama, United States",,"https://ClinicalTrials.gov/show/NCT04448392"
18,"NCT05958953","PeRinatal Outcomes With ACTive Versus Expectant Management of Women With Pre-labor Rupture Of Membranes","PROACT PROM","Not yet recruiting","No Results Available","Rupture of Membranes; Premature|Distress; Fetal, Complicating Delivery|Delayed Delivery After Spontaneous or Unspecified Rupture of Membranes|Maternal Sepsis","Procedure: Induction of Labor IoL","Rate of respiratory support in newborns|Stillbirth and infection rate|length of hospitalization expressed in days|use of antibiotics in both mother and newborn as quantity (mg) and quality.|neonatal infection as the yield of pathogen from blood or CFS coltures|Rate of Pathogen isolation in placenta's speciemen","University of Modena and Reggio Emilia","Female","18 Years and older   (Adult, Older Adult)","Phase 3","1400","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","2022-002480-30","September 2023","October 2025","November 12, 2025","July 25, 2023",,"July 25, 2023","AUO Policlinico di Modena, Modena, Italy",,"https://ClinicalTrials.gov/show/NCT05958953"
19,"NCT05023954","mSEP: Testing of Physiological and Immune-metabolic Blood Markers for Maternal Sepsis",,"Unknown status","No Results Available","Sepsis|Maternal Sepsis|Maternal Sepsis During Labor|SIRS|Pregnancy; Infection","Diagnostic Test: Blood test","Positive predictive value of genomic sepsis-test biomarker in identifying participants with confirmed sepsis","Cardiff University|Cardiff and Vale University Health Board","Female","18 Years to 50 Years   (Adult)",,"330","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","262062version2","October 12, 2020","April 1, 2022","September 1, 2022","August 27, 2021",,"August 27, 2021","Sir Geraint Evans, Cardiff University, Cardiff, United Kingdom",,"https://ClinicalTrials.gov/show/NCT05023954"
20,"NCT05711901","Selective Lipopolysaccharide Hemosorption in Maternal Sepsis","MINERVA","Recruiting","No Results Available","Maternal sepsIs","Device: Efferon LPS","Effect of Efferon LPS hemoperfusion on SOFA (Sequential Organ Failure Assessment) scores in patients with obstetric sepsis.|The effect of Efferon-LPS hemoperfusion on hemodynamic parameters in patients with obstetric sepsis|Effect of LPS Efferon hemoperfusion on endotoxin activity|Effect of the Efferon LPS hemoperfusion on pulmonary oxygen metabolism function|Effect of the Efferon LPS hemoperfusion on the length of stay in the ICU","Efferon JSC","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","80","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","efferon-lps-2022-01","January 1, 2022","June 1, 2024","June 30, 2024","February 3, 2023",,"February 28, 2024","National Medical Research Center For Obstetrics, Gynecology and Perinatology Named After Academician V.I.Kulakov, Moscow, Russian Federation",,"https://ClinicalTrials.gov/show/NCT05711901"
21,"NCT05055388","Epidemiological Investigation of Sepsis in Obstetrics Admitted to ICU",,"Unknown status","No Results Available","Maternal Sepsis|Intensive Care Units|Drug Resistance, Multiple","Other: Multidrug-resistant bacteria","The incidence of Maternal sepsis in intensive care unit|Sepsis related maternal mortality|The incidence of multidrug resistance|The length of ICU stay|Hospital length","Peking University Third Hospital|Beijing Chao Yang Hospital|Beijing Friendship Hospital","Female","18 Years to 70 Years   (Adult, Older Adult)",,"160","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","LM2020443","December 3, 2020","December 31, 2021","May 31, 2022","September 24, 2021",,"September 24, 2021","Peking University Third Hospital, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT05055388"
22,"NCT05242172","THE RELATIONSHIP OF CRP/ALBUMIN RATIO LEVEL AND PROGNOSIS IN PREGNANT COVID-19 PATIENTS",,"Unknown status","No Results Available","Corona Virus Infection|Pregnancy; Infection","Diagnostic Test: CRP/Albumin ratio","CRP/Albumin ratio","Adiyaman University Research Hospital","Female","18 Years to 65 Years   (Adult, Older Adult)",,"127","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","14/12/2021-2021/10-19","January 15, 2022","February 15, 2022","February 28, 2022","February 16, 2022",,"February 16, 2022","Adıyaman Training and Research Hospital, Adıyaman, Turkey",,"https://ClinicalTrials.gov/show/NCT05242172"
23,"NCT06286488","Effectiveness and Tolerability of Influenza Vaccine in Patients at Risk for Severe and Complicated Influenza",,"Active, not recruiting","No Results Available","Influenza|Obesity|Pregnancy; Infection|Elderly Infection|Vaccine Reaction|Vaccine Adverse Reaction|Tolerance","Drug: Vaxigrip","influenza vaccine immunogenicity, seroconversion and seroprotection|assessment of vaccination tolerance","Medical University of Warsaw","All","18 Years to 99 Years   (Adult, Older Adult)","Phase 4","1500","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","KB/96/2020","September 15, 2020","August 23, 2023","May 1, 2026","February 29, 2024",,"March 1, 2024","Department of Social Medicine and Public Health, Medical University of Warsaw, Warsaw, Poland",,"https://ClinicalTrials.gov/show/NCT06286488"
24,"NCT05730387","Smart Discharges for Mom & Baby",,"Recruiting","No Results Available","Maternal Sepsis|Neonatal Sepsis","Other: Observational only","Post-discharge readmission or mortality|Post-natal care visits|Post-discharge health seeking","University of British Columbia","Female","12 Years and older   (Child, Adult, Older Adult)",,"6700","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","H21-03709","April 14, 2022","October 31, 2023","September 30, 2024","February 15, 2023",,"June 1, 2023","BC Children's Hospital Research Institute, Vancouver, British Columbia, Canada",,"https://ClinicalTrials.gov/show/NCT05730387"
25,"NCT05140941","Sofosbuvir/Velpatasvir Treatment of Chronic Hepatitis C During Pregnancy","STORC","Recruiting","No Results Available","Hepatitis C, Chronic|Pregnancy; Infection","Drug: Sofosbuvir/Velpatasvir 400 MG-100 MG Oral Tablet","Number of maternal participants with sustained virologic response after completion of SOF/VEL treatment (SVR12)|Number of maternal participants that deliver prior to 37 weeks' gestation|Number of maternal participants that experience an adverse event that is deemed related to Sofosbuvir/Velpatasvir|Number of infants that experience an adverse event that is deemed related to Sofosbuvir/Velpatasvir|Number of maternal participants whose pregnancy results in a stillbirth or intrauterine fetal demise|Number of maternal participants that experience intrapartum hemorrhage|Number of maternal participants that experience postpartum hemorrhage|Number of maternal participants that experience a hypertensive disorder of pregnancy|Number of maternal participants that develop gestational diabetes|Number of maternal participants that experience cholestasis of pregnancy|Number of maternal participants that experience intrauterine growth restriction|Number of maternal participants that develop severe maternal morbidity|Number of maternal participants that are admitted to the intensive care unit|Number of maternal deaths|Number of preterm neonates (<37 weeks) admitted to the neonatal intensive care unit for severe neonatal morbidity|Number of term neonates (>=37 weeks) admitted to the neonatal intensive care unit for severe neonatal morbidity|Number of neonates admitted to the neonatal intensive care unit|Number of neonatal deaths|Number of neonates with major malformations|Weight of infant participant at 8 Weeks|Weight of infant participant at 6 months|Weight of infant participant at 12 months|Length of infant participant at 8 weeks|Length of infant participant at 6 months|Length of infant participant at 12 months|Head circumference of infant participant at 8 weeks|Head circumference of infant participant at 6 months|Head circumference of infant participant at 12 months|Number of Infant Participants with Any Neurological Development Score Less than 6 at 6 months|Number of Infant Participants with Any Neurological Development Score Less than 6 at 12 months|Number of infant participants with with plasma level of HCV RNA PCR viral load that is below the lower limit of quantification at 8 weeks|Number of infant participants with with plasma level of HCV RNA PCR viral load that is below the lower limit of quantification at 6 months|Number of infant participants with with plasma level of HCV RNA PCR viral load that is below the lower limit of quantification at 12 months","Catherine Anne Chappell|Gilead Sciences|University of Pittsburgh","Female","18 Years to 45 Years   (Adult)","Phase 4","100","Other|Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","STUDY21080043","April 4, 2022","December 2024","December 2025","December 2, 2021",,"April 8, 2024","The Christ Hospital, Cincinnati, Ohio, United States|The Ohio State University Wexner Medical Center, Columbus, Ohio, United States|University of Pittsburgh, Magee Womens Hospital, Pittsburgh, Pennsylvania, United States|University of Utah, Salt Lake City, Utah, United States|Victoria Hospital, London Health Sciences Center, London, Ontario, Canada|University Health Toronto, St Michaels Hospital, Toronto, Ontario, Canada|Toronto General Hospital, University Health Network, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT05140941"
26,"NCT00046436","Rapid HIV Tests for Women Late in Pregnancy and During Labor",,"Terminated","No Results Available","HIV Infections",,,"National Institute of Allergy and Infectious Diseases (NIAID)|Centers for Disease Control and Prevention|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","Female","13 Years and older   (Child, Adult, Older Adult)",,"7500","NIH|U.S. Fed","Observational","Time Perspective: Prospective","PACTG P1031",,,"March 2004","October 1, 2002",,"June 3, 2013","Univ. of Pennsylvania Health System, Hosp. of the Univ. of Pennsylvania, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT00046436"
27,"NCT03151070","Scaling Up an Integrated Approach to Improve Delivery Care in North Guatemala With Stepped Wedge Design","QVLM","Completed","No Results Available","Maternal Sepsis During Labor|Hemorrhage, Postpartum|Eclampsia; Complicating Pregnancy|Pre-Eclampsia|Perinatal Morbidity","Other: QVLM Intervention package","Mother morbidity|Perinatal morbidity|Perinatal mortality|Counts of institutional deliveries","Hospital San Juan de Dios Guatemala|Grand Challenges Canada|PRONTO International","All","Child, Adult, Older Adult",,"32000","Other","Observational","Observational Model: Ecologic or Community|Time Perspective: Prospective","CIESARQVLM17","December 15, 2013","March 15, 2017","March 15, 2017","May 12, 2017",,"May 12, 2017",,,"https://ClinicalTrials.gov/show/NCT03151070"
