"Core Project Number","ClinicalTrials.gov Identifier","Study","Study Status",
"R01HD102967","NCT03657394","Comparative Outcomes Related to Delivery-room Cord Milking In Low-resourced Kountries","RECRUITING",
"D43TW009763","NCT04054466","Nursing Counseling to the Change of Behavior of Alcohol Consumption in Patients in HAART","UNKNOWN STATUS",
"K01TW011470","NCT04585893","Safety and Efficacy of Rituximab for Treatment of Multicentric Castleman Disease in Malawi","RECRUITING",
"R01NS118544","NCT04685408","A TargEted MAnageMent Intervention for Reducing Stroke Risk Factors in High Risk Ugandans","ACTIVE, NOT RECRUITING",
"R33TW011752","NCT05323123","Pre-exposure Prophylaxis Implementation in Central-Eastern European Countries","RECRUITING",
"R21TW012018","NCT05357118","Stigma Among Women With HIV in Vietnam","RECRUITING",
"R21TW011788","NCT05383755","Digital Intervention to Address Stigma Among Pregnant Adolescents Living With HIV","RECRUITING",
"R21MH124066","NCT05425966","Adapting a Web-Based Professional Development for Mexican School Mental Health Providers Delivering Evidence-Based Intervention for ADHD and ODD","COMPLETED",
"U54TW012087","NCT05464017","Trauma Follow-Up Prediction (Project 2: Aim 2)","NOT YET RECRUITING",
"D43TW009345","NCT05465265","PrEP for Prevention of HIV Transmission Among People Who Inject Drugs in Nairobi, Kenya","ACTIVE, NOT RECRUITING",
"R21TW012439","NCT05496673","Meningitis: Burden, Causes, Screening and Prevention in Rural Northern Uganda","RECRUITING",
"D43TW010543","NCT05540171","An Educational Intervention Program to Improve the Oral Health of HIV-Positive Children in Kano, Nigeria.","COMPLETED",
"R21TW012185","NCT05571319","A Pilot Study of Metformin to Reduce Cerebrovascular Dysfunction in Participants With HIV and Metabolic Syndrome.","RECRUITING",
"R01HD106277","NCT05660239","Impact of a Community Based Engagement Program Focused on Adolescents With Epilepsy","NOT YET RECRUITING",
"R01TW012402","NCT05807867","RCT of an Intersectional Stigma Intervention to Sustain Viral Suppression Among Women Living With Serious Mental Illness and HIV in Botswana","NOT YET RECRUITING",
"R21DA053212","NCT05907174","Siyakhana Peer: Evaluating a Peer Recovery Coach Model to Reduce Substance Use Stigma in South African HIV Care","RECRUITING",
"UH3HL156389","NCT05950919","Effects of a Package of Evidence-based Interventions and Implementation Strategies Based on WHO PEN for People Living With HIV and Cardio-metabolic Conditions in Lusaka, Zambia","RECRUITING",
"R01TW012671","NCT06238323","Lafiya HIV Self-testing Study Protocol","NOT YET RECRUITING",
"K01TW012180","NCT06289621","Brief Transdiagnostic Treatment for Anxiety Disorders and Post-traumatic Stress Disorder (PTSD) in South Africa","NOT YET RECRUITING",
"R01MH127577","NCT06295250","ASHA Bangladesh--Integrated Intervention to Address Poverty and Depression","NOT YET RECRUITING",
