nct_id,agency_class,lead_or_collaborator,name
NCT04885647,OTHER,collaborator,First Affiliated Hospital of Zhejiang University
NCT01244763,INDUSTRY,lead,FibroGen
NCT01244763,INDUSTRY,collaborator,Astellas Pharma Inc
NCT01750190,INDUSTRY,lead,FibroGen
NCT01750190,INDUSTRY,collaborator,Astellas Pharma Europe B.V.
NCT01750190,INDUSTRY,collaborator,AstraZeneca
NCT01813682,OTHER,lead,qingya tang
NCT00802139,INDUSTRY,lead,JW Pharmaceutical
NCT02535208,OTHER,lead,NYU Langone Health
NCT01832688,OTHER,lead,"University of California, Davis"
NCT01832688,OTHER,collaborator,Helen Keller International
NCT01832688,OTHER,collaborator,Micronutrient Initiative
NCT00968617,INDUSTRY,lead,Merck Sharp & Dohme LLC
NCT05304442,OTHER,lead,Baylor College of Medicine
NCT05304442,UNKNOWN,collaborator,"Pharmacosmos Therapeutics, Inc."
NCT05977686,OTHER,lead,George Washington University
NCT03605511,OTHER,lead,"University College, London"
NCT03446612,INDUSTRY,lead,GlaxoSmithKline
NCT01888445,INDUSTRY,lead,Astellas Pharma Inc
NCT01331018,OTHER,lead,Fred Hutchinson Cancer Center
NCT01331018,NIH,collaborator,"National Heart, Lung, and Blood Institute (NHLBI)"
NCT01331018,UNKNOWN,collaborator,Rocket Pharma Limited
NCT00924781,INDUSTRY,lead,Merck Sharp & Dohme LLC
NCT04667533,INDUSTRY,lead,Zydus Lifesciences Limited
NCT01264679,INDUSTRY,lead,"AMAG Pharmaceuticals, Inc."
NCT06061393,OTHER_GOV,lead,Western Galilee Hospital-Nahariya
NCT03619850,INDUSTRY,lead,"AMAG Pharmaceuticals, Inc."
NCT05278793,OTHER,lead,Martini Hospital Groningen
NCT05278793,UNKNOWN,collaborator,"dr. J.M. Munster, gynaecologist, principal investigator"
NCT04155125,INDUSTRY,lead,PT Kalbe Genexine Biologics
NCT04155125,INDUSTRY,collaborator,Novotech (Australia) Pty Limited
NCT01964196,INDUSTRY,lead,Astellas Pharma Inc
NCT01974271,INDUSTRY,lead,Hoffmann-La Roche
NCT04148859,OTHER_GOV,lead,Tel-Aviv Sourasky Medical Center
NCT03580941,OTHER,lead,Fundación Grupo de Investigación en Cuidados Intensivos y Obstetricia
NCT03580941,INDUSTRY,collaborator,"Alexion Pharmaceuticals, Inc."
NCT06312644,INDUSTRY,lead,"Alexion Pharmaceuticals, Inc."
NCT06079918,OTHER,lead,George Washington University
NCT06079918,OTHER,collaborator,Ifakara Health Institute
NCT06079918,OTHER,collaborator,Harvard School of Public Health (HSPH)
NCT06079918,OTHER,collaborator,Muhimbili University of Health and Allied Sciences
NCT06079918,OTHER,collaborator,Africa Academy for Public Health
NCT06079918,OTHER,collaborator,Columbia University
NCT05970172,INDUSTRY,lead,"Astellas Pharma Global Development, Inc."
NCT00609544,INDUSTRY,lead,Regeneron Pharmaceuticals
NCT00609544,OTHER,collaborator,Syneos Health
NCT02005588,OTHER,lead,Cairo University
NCT00462384,INDUSTRY,lead,Hoffmann-La Roche
NCT02221752,OTHER,lead,Zhao gengli
NCT02221752,INDUSTRY,collaborator,Vifor Pharma
NCT01062958,INDUSTRY,lead,"Pamlab, Inc."
NCT01062958,OTHER,collaborator,Baylor Health Care System
NCT01062958,UNKNOWN,collaborator,Women's Clinic Shoals
NCT01062958,OTHER,collaborator,Gainesville Obstetrics & Gynecology
NCT01062958,UNKNOWN,collaborator,Womens Health Associates
NCT00964691,OTHER_GOV,lead,"Ministry of Health and Medical Services, Solomon Islands"
NCT00964691,OTHER,collaborator,World Health Organization
NCT00364845,INDUSTRY,lead,Amgen
NCT00642967,INDUSTRY,lead,Hoffmann-La Roche
NCT02021409,INDUSTRY,lead,Bayer
NCT05356325,OTHER,lead,Maimónides Biomedical Research Institute of Córdoba
NCT05356325,OTHER,collaborator,Fondo de Investigacion Sanitaria
NCT00337935,INDUSTRY,lead,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C."
NCT00337935,INDUSTRY,collaborator,"Ortho Biotech Clinical Affairs, L.L.C."
NCT04976179,OTHER,lead,"University of Lagos, Nigeria"
NCT04976179,OTHER,collaborator,Aminu Kano Teaching Hospital
NCT00005898,OTHER,lead,University of Minnesota
NCT00005896,OTHER,lead,University of Minnesota
NCT00006127,OTHER,lead,Dana-Farber Cancer Institute
NCT00001399,NIH,lead,"National Heart, Lung, and Blood Institute (NHLBI)"
NCT03481790,OTHER,lead,Ain Shams Maternity Hospital
NCT00005891,OTHER,lead,Fairview University Medical Center
NCT03992066,INDUSTRY,lead,Akebia Therapeutics
NCT01071759,OTHER,lead,E-DA Hospital
NCT02817555,OTHER,lead,Andrea L Woodland
NCT00001749,NIH,lead,"National Heart, Lung, and Blood Institute (NHLBI)"
NCT06016036,INDUSTRY,lead,"Shenzhen Salubris Pharmaceuticals Co., Ltd."
NCT02858505,OTHER,lead,Assiut University
NCT06252103,OTHER,lead,Ain Shams University
NCT02839096,OTHER,lead,University of Missouri-Columbia
NCT04101461,OTHER,lead,Assiut University
NCT03975894,OTHER,lead,Guy's and St Thomas' NHS Foundation Trust
NCT03975894,OTHER,collaborator,King's College Hospital NHS Trust
NCT03975894,OTHER,collaborator,Barts & The London NHS Trust
NCT03975894,OTHER_GOV,collaborator,The Whittington Hospital NHS Trust
NCT03975894,OTHER_GOV,collaborator,St Mary's NHS Trust
NCT03975894,OTHER,collaborator,University College London Hospitals
NCT03975894,OTHER,collaborator,St George's University Hospitals NHS Foundation Trust
NCT03975894,OTHER,collaborator,London School of Hygiene and Tropical Medicine
NCT03975894,OTHER,collaborator,King's College London
NCT03975894,OTHER,collaborator,University of Southampton
NCT00118027,OTHER,lead,London School of Hygiene and Tropical Medicine
NCT00118027,OTHER,collaborator,DBL -Institute for Health Research and Development
NCT00118027,OTHER_GOV,collaborator,"Ministry of Health, Uganda"
NCT00994318,INDUSTRY,lead,Vifor Pharma
NCT00994318,INDUSTRY,collaborator,"American Regent, Inc."
NCT00994318,INDUSTRY,collaborator,ICON Clinical Research
NCT03562143,OTHER,lead,Icahn School of Medicine at Mount Sinai
NCT03461146,INDUSTRY,lead,Mitsubishi Tanabe Pharma Corporation
NCT00046969,OTHER,lead,AGO Study Group
NCT02772016,OTHER,lead,Yanfang Li
NCT01221844,OTHER,lead,Clinica Fabia Mater
NCT05687149,NIH,lead,National Cancer Institute (NCI)
NCT05545527,OTHER,lead,Thomas Jefferson University
NCT05545527,OTHER,collaborator,Jawaharlal Nehru Medical College
NCT05504863,OTHER,lead,Thomas Jefferson University
NCT05504863,OTHER,collaborator,Jawaharlal Nehru Medical College
NCT05504863,UNKNOWN,collaborator,S. Nijalingappa Medical College
NCT05504863,UNKNOWN,collaborator,Raichur Institute of Medical Sciences
NCT05358509,OTHER,lead,Thomas Jefferson University
NCT05358509,OTHER,collaborator,Children's Investment Fund Foundation
NCT05358509,OTHER,collaborator,Jawaharlal Nehru Medical College
NCT05358509,UNKNOWN,collaborator,S. Nijalingappa Medical College
NCT05358509,UNKNOWN,collaborator,Raichur Institute of Medical Sciences
NCT05358509,OTHER_GOV,collaborator,Sawai Mansingh Medical College
NCT00422513,INDUSTRY,lead,Hoffmann-La Roche
NCT03968952,OTHER,lead,University of Oxford
NCT03968952,OTHER,collaborator,The George Institute
NCT03398824,OTHER,lead,Boston Children's Hospital
NCT04310059,OTHER,lead,The University of Hong Kong
NCT04310059,OTHER,collaborator,"Queen Mary Hospital, Hong Kong"
NCT03814408,INDUSTRY,lead,Rocket Pharmaceuticals Inc.
NCT00925587,INDUSTRY,lead,Amgen
NCT01001598,OTHER,lead,Boston Children's Hospital
NCT05062044,INDUSTRY,lead,Bayer
NCT03409107,INDUSTRY,lead,GlaxoSmithKline
NCT02876835,INDUSTRY,lead,GlaxoSmithKline
NCT01083888,INDUSTRY,lead,Astellas Pharma Inc
NCT03961074,OTHER,lead,West China Hospital
NCT03961074,OTHER,collaborator,West China Second University Hospital
NCT00354341,INDUSTRY,lead,Hoffmann-La Roche
NCT03428594,INDUSTRY,lead,Chong Kun Dang Pharmaceutical
NCT03392298,OTHER,lead,"The First Affiliated Hospital, Guangzhou University of Traditional Chinese Medicine"
NCT03392298,OTHER_GOV,collaborator,National Natural Science Foundation of China
NCT03475342,OTHER,lead,London School of Hygiene and Tropical Medicine
NCT03475342,OTHER,collaborator,Wellcome Trust
NCT03475342,OTHER,collaborator,Bill and Melinda Gates Foundation
NCT05240677,OTHER_GOV,lead,Walid Ahmed Ragab Abdelhamid
NCT00132535,OTHER,lead,London School of Hygiene and Tropical Medicine
NCT00132535,OTHER,collaborator,DBL -Institute for Health Research and Development
NCT00132535,UNKNOWN,collaborator,Uganda AIDS Commission
NCT00081471,INDUSTRY,lead,Hoffmann-La Roche
NCT01193192,INDUSTRY,lead,"Pamlab, L.L.C."
NCT01193192,OTHER,collaborator,Baylor Health Care System
NCT01193192,UNKNOWN,collaborator,Norman Regional Health System
NCT01193192,UNKNOWN,collaborator,Five Oaks Medical Group
NCT05157828,OTHER,lead,University of Cape Town
NCT04505514,OTHER,lead,University of Malaya
NCT05143021,OTHER,lead,Vanderbilt University Medical Center
NCT04029142,OTHER,lead,"University Hospital, Basel, Switzerland"
NCT06261398,OTHER,lead,Ohio State University
NCT06261398,OTHER,collaborator,American Heart Association
NCT01115478,OTHER,lead,Harvard School of Public Health (HSPH)
NCT01115478,OTHER,collaborator,Muhimbili University of Health and Allied Sciences
NCT01119612,OTHER,lead,Harvard School of Public Health (HSPH)
NCT01119612,OTHER,collaborator,Muhimbili University of Health and Allied Sciences
NCT01131624,INDUSTRY,lead,Vifor Pharma
NCT01131624,INDUSTRY,collaborator,Pierrel Research Europe GmbH
NCT00413101,INDUSTRY,lead,Hoffmann-La Roche
NCT01136850,OTHER,lead,University of Melbourne
NCT01136850,OTHER_GOV,collaborator,Papua New Guinea Institute of Medical Research
NCT01136850,OTHER,collaborator,The University of Western Australia
NCT01136850,OTHER,collaborator,Walter and Eliza Hall Institute of Medical Research
NCT01136850,OTHER,collaborator,University of Barcelona
NCT06220461,OTHER,lead,University of Calgary
NCT05804071,OTHER,lead,Qianfoshan Hospital
NCT00255424,INDUSTRY,lead,"AMAG Pharmaceuticals, Inc."
NCT00272857,OTHER,lead,Boston Children's Hospital
NCT00272857,NIH,collaborator,"National Heart, Lung, and Blood Institute (NHLBI)"
NCT00272857,OTHER,collaborator,"Children's Hospital Medical Center, Cincinnati"
NCT05725278,OTHER,lead,Network for Engineering and Economics Research and Management
NCT00399269,INDUSTRY,lead,Cadila Pharnmaceuticals
NCT01183572,OTHER,lead,Harvard School of Public Health (HSPH)
NCT01183572,OTHER,collaborator,Ifakara Health Institute
NCT00121602,INDUSTRY,lead,Amgen
NCT00312871,INDUSTRY,lead,Janssen Cilag S.A.S.
NCT02865850,INDUSTRY,lead,Akebia Therapeutics
NCT03361124,OTHER,lead,Milton S. Hershey Medical Center
NCT04410198,INDUSTRY,lead,FibroGen
NCT04410198,INDUSTRY,collaborator,AstraZeneca
NCT02268994,INDUSTRY,lead,Keryx Biopharmaceuticals
NCT05921968,OTHER,lead,Ain Shams University
NCT00746551,OTHER,lead,Mahidol University
NCT00746551,INDUSTRY,collaborator,Vifor Pharma
NCT00432367,OTHER,lead,London School of Hygiene and Tropical Medicine
NCT00432367,OTHER,collaborator,Kwame Nkrumah University of Science and Technology
NCT02185911,INDUSTRY,lead,Amgen
NCT03689218,OTHER,lead,Aga Khan University
NCT03689218,UNKNOWN,collaborator,Trust for Vaccines & Immunization (TVI)
NCT03689218,UNKNOWN,collaborator,"Department of Health, Government of Balochistan"
NCT03689218,UNKNOWN,collaborator,World Food Program (WFP)
NCT03689218,UNKNOWN,collaborator,"Nutrition Cell, Government of Balochistan"
NCT03689218,UNKNOWN,collaborator,"Youth Organization, Balochistan"
NCT05975125,OTHER_GOV,lead,Rajavithi Hospital
NCT03251664,OTHER,lead,Tehran University of Medical Sciences
NCT03317210,OTHER,lead,University of Zurich
NCT04008147,OTHER,lead,Swiss Federal Institute of Technology
NCT04008147,OTHER,collaborator,"University Hospital, Zürich"
NCT03476330,OTHER,lead,"Children's Hospital Medical Center, Cincinnati"
NCT02191527,OTHER,lead,Elizabeth Glaser Pediatric AIDS Foundation
NCT02191527,OTHER_GOV,collaborator,"Ministry of Health, Mozambique"
NCT02191683,OTHER,lead,University of Copenhagen
NCT02191683,OTHER,collaborator,"Copenhagen University Hospital, Denmark"
NCT02191683,OTHER,collaborator,Aarhus University Hospital
NCT02191683,OTHER,collaborator,Lund University
NCT02191683,OTHER_GOV,collaborator,"National Institute for Medical Research, Tanzania"
NCT02191683,UNKNOWN,collaborator,Department of Clinical Pathology Naestved Hospital Denmark
NCT00111995,INDUSTRY,lead,Amgen
NCT03157804,OTHER,lead,"Hospital Infantil Universitario Niño Jesús, Madrid, Spain"
NCT03157804,UNKNOWN,collaborator,"Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas (CIEMAT)"
NCT03157804,UNKNOWN,collaborator,Centro de Investigación en Red de Enfermedades Raras (CIBERER)
NCT03157804,OTHER,collaborator,Instituto de Investigación Sanitaria de la Fundación Jiménez Díaz
NCT03157804,OTHER,collaborator,Hospital Vall d'Hebron
NCT03157804,OTHER,collaborator,Universitat Autonoma de Barcelona
NCT03217656,OTHER,lead,Zhejiang University
NCT03217656,OTHER,collaborator,Jiaxing Maternity and Child Health Care Hospital
NCT03217656,OTHER,collaborator,Qingdao University
NCT03217656,OTHER,collaborator,Westlake University
NCT05910853,INDUSTRY,lead,Sanguine Biosciences
NCT05462704,OTHER,lead,Women and Infants Hospital of Rhode Island
NCT05462704,OTHER,collaborator,Hasbro Children's Hospital
NCT05462704,OTHER,collaborator,University of Michigan
NCT05462704,OTHER,collaborator,Washington University School of Medicine
NCT05251493,OTHER,lead,Saskatchewan Health Authority - Regina Area
NCT05251493,OTHER,collaborator,Saskatchewan Centre for Patient-Oriented Research
NCT00116493,OTHER,lead,Johns Hopkins Bloomberg School of Public Health
NCT00116493,OTHER,collaborator,Aga Khan University
NCT04228627,OTHER_GOV,lead,"Services Institute of Medical Sciences, Pakistan"
NCT04228627,OTHER,collaborator,Allama Iqbal Medical College
NCT04228627,OTHER,collaborator,Universidad de Granada
NCT04228627,OTHER,collaborator,Fatima Jinnah Medical University
NCT05082584,INDUSTRY,lead,Akebia Therapeutics
NCT00494416,OTHER,lead,London School of Hygiene and Tropical Medicine
NCT00494416,OTHER,collaborator,DBL -Institute for Health Research and Development
NCT02228655,INDUSTRY,lead,"FerruMax Pharmaceuticals, Inc."
NCT02952092,INDUSTRY,lead,Astellas Pharma Inc
NCT02952092,INDUSTRY,collaborator,FibroGen
NCT00140517,OTHER,lead,London School of Hygiene and Tropical Medicine
NCT00140517,OTHER,collaborator,DBL -Institute for Health Research and Development
NCT03565198,OTHER,lead,CAMC Health System
NCT05496400,OTHER,lead,Marwa Mohamed Farag
NCT03287882,OTHER,lead,Aga Khan University
NCT03287882,OTHER,collaborator,The Hospital for Sick Children
NCT03287882,UNKNOWN,collaborator,National Program for Family Planning and Primary Health Care
NCT03287882,OTHER,collaborator,Bill and Melinda Gates Foundation
NCT02689206,INDUSTRY,lead,GlaxoSmithKline
NCT05515367,INDUSTRY,lead,Zydus Lifesciences Limited
NCT02940860,INDUSTRY,lead,Pharmacosmos A/S
NCT03206086,NIH,lead,"National Heart, Lung, and Blood Institute (NHLBI)"
NCT05691257,OTHER,lead,China-Japan Friendship Hospital
NCT04810546,OTHER,lead,University of Illinois at Chicago
NCT04810546,NIH,collaborator,"National Heart, Lung, and Blood Institute (NHLBI)"
NCT02441439,OTHER,lead,"HaEmek Medical Center, Israel"
NCT04414527,OTHER,lead,University Ghent
NCT04414527,NETWORK,collaborator,Flemish Interuniversity Council (VLIR)
NCT04414527,OTHER,collaborator,Arba Minch University
NCT05423249,OTHER,lead,Stony Brook University
NCT00970866,OTHER,lead,"University of California, Davis"
NCT03484845,OTHER,lead,Assiut University
NCT02680574,INDUSTRY,lead,Akebia Therapeutics
NCT00548691,INDUSTRY,lead,"American Regent, Inc."
NCT00479115,OTHER,lead,"Children's Hospital Medical Center, Cincinnati"
NCT00479115,NIH,collaborator,"National Heart, Lung, and Blood Institute (NHLBI)"
NCT03922087,OTHER,lead,Sun Yat-sen University
NCT03922087,UNKNOWN,collaborator,Huizhou No.1 Maternal and Child Care Service Cencer
NCT01795131,OTHER,lead,"International Centre for Diarrhoeal Disease Research, Bangladesh"
NCT05262634,OTHER,lead,"University Hospital, Basel, Switzerland"
NCT03643601,INDUSTRY,lead,Astellas Pharma a/s
NCT01381094,INDUSTRY,lead,Akebia Therapeutics
NCT01235936,INDUSTRY,lead,Akebia Therapeutics
NCT03799627,INDUSTRY,lead,Akebia Therapeutics
NCT03657433,OTHER,lead,University of Arizona
NCT03657433,INDUSTRY,collaborator,"AMAG Pharmaceuticals, Inc."
NCT03212781,OTHER,lead,Assiut University
NCT03836703,OTHER,lead,Ain Shams University
NCT04649411,INDUSTRY,lead,Keryx Biopharmaceuticals
NCT04509375,OTHER,lead,Hacettepe University
NCT03439137,INDUSTRY,lead,Mitsubishi Tanabe Pharma Corporation
NCT03402386,INDUSTRY,lead,Mitsubishi Tanabe Pharma Corporation
NCT03329196,INDUSTRY,lead,Mitsubishi Tanabe Pharma Corporation
NCT00981045,INDUSTRY,lead,"American Regent, Inc."
NCT00182390,OTHER,lead,McMaster University
NCT00182390,OTHER_GOV,collaborator,Canadian Institutes of Health Research (CIHR)
NCT03792464,OTHER,lead,"University Hospital, Basel, Switzerland"
NCT05543499,OTHER,lead,University of Miami
NCT04522375,INDUSTRY,lead,"Foresee Pharmaceuticals Co., Ltd."
NCT06115421,OTHER,lead,Alexandria University
NCT01102413,INDUSTRY,lead,Pharmacosmos A/S
NCT04205266,OTHER,lead,Thomas Jefferson University
NCT04205266,INDUSTRY,collaborator,"AMAG Pharmaceuticals, Inc."
NCT05312814,INDUSTRY,lead,"Natera, Inc."
NCT03775954,OTHER,lead,Medical College of Wisconsin
NCT03775954,NIH,collaborator,"National Heart, Lung, and Blood Institute (NHLBI)"
NCT03775954,OTHER,collaborator,"University of Wisconsin, Madison"
NCT03775954,OTHER,collaborator,"Children's Hospital and Health System Foundation, Wisconsin"
NCT03775954,INDUSTRY,collaborator,"Shared Medical Technology, Inc."
NCT03775954,UNKNOWN,collaborator,"Tristan Technologies, Inc"
NCT03579875,OTHER,lead,"Masonic Cancer Center, University of Minnesota"
NCT01358552,INDUSTRY,lead,"Pamlab, Inc."
NCT01358552,INDUSTRY,collaborator,"InfoMedics, Inc."
NCT03242967,INDUSTRY,lead,Akebia Therapeutics
NCT00210743,INDUSTRY,lead,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C."
NCT00210743,INDUSTRY,collaborator,"Ortho Biotech Products, L.P."
NCT02378662,INDUSTRY,lead,"Aevi Genomic Medicine, LLC, a Cerecor company"
NCT02378662,INDUSTRY,collaborator,Medgenics Medical Israel Ltd.
NCT04959578,OTHER,lead,Rufaida Mazahir
NCT00243399,OTHER,lead,"Children's Hospital Medical Center, Cincinnati"
NCT00243399,FED,collaborator,FDA Office of Orphan Products Development
NCT02652819,INDUSTRY,lead,FibroGen
NCT03188445,INDUSTRY,lead,Pharmacosmos A/S
NCT01121237,INDUSTRY,lead,Sandoz
NCT01121237,INDUSTRY,collaborator,Hexal AG
NCT00563446,OTHER_GOV,lead,"Hospital Authority, Hong Kong"
NCT00563446,UNKNOWN,collaborator,"Kirin Pharmaceutical (Asia) CO., LTD"
NCT03408639,INDUSTRY,lead,Cinnagen
NCT04975074,OTHER,lead,Shengjing Hospital
NCT02127905,OTHER,lead,"Neena Kapoor, M.D."
NCT02136563,OTHER,lead,"Translational Research Center for Medical Innovation, Kobe, Hyogo, Japan"
NCT02136563,UNKNOWN,collaborator,Niigata University
NCT03448432,OTHER,lead,"University Hospital, Brest"
NCT01232387,OTHER,lead,Icahn School of Medicine at Mount Sinai
NCT01232387,NIH,collaborator,National Center for Research Resources (NCRR)
NCT01232387,OTHER,collaborator,New York Blood Center
NCT03706638,OTHER,lead,UConn Health
NCT03171909,OTHER,lead,Medical University of Graz
NCT03171909,OTHER,collaborator,Medical University of Vienna
NCT03171909,OTHER,collaborator,Medical University Innsbruck
NCT03171909,OTHER,collaborator,Johannes Kepler University of Linz
NCT03171909,OTHER,collaborator,Paracelsus Medical University
NCT03171909,OTHER,collaborator,Klinikum Klagenfurt am Wörthersee
NCT03171909,UNKNOWN,collaborator,Brothers of Saint John of God Eisenstadt
NCT03171909,OTHER,collaborator,SMZ-Ost Donauspital
NCT03171909,UNKNOWN,collaborator,Hospital Hochsteiermark
NCT03171909,OTHER,collaborator,Landesklinikum Sankt Polten
NCT03171909,OTHER,collaborator,Klinikum Wels-Grieskirchen
NCT03171909,OTHER,collaborator,Landeskrankenhaus Feldkirch
NCT03171909,OTHER,collaborator,Landesklinkum Wiener Neustadt
NCT03171909,OTHER,collaborator,Mödling Hospital
NCT00236964,INDUSTRY,lead,"American Regent, Inc."
NCT00258024,OTHER,lead,DBL -Institute for Health Research and Development
NCT05745883,INDUSTRY,lead,"Disc Medicine, Inc"
NCT01155375,INDUSTRY,lead,"AMAG Pharmaceuticals, Inc."
NCT03418168,INDUSTRY,lead,Bayer
NCT04484857,INDUSTRY,lead,FibroGen
NCT04484857,INDUSTRY,collaborator,AstraZeneca
