nct_id,last_update_submitted_date,start_month_year,completion_month_year,primary_completion_month_year,study_first_submitted_date,results_first_submitted_date,study_type,phase,enrollment,overall_status,official_title,brief_title
NCT00317876,2012-04-18,June 1998,NA,July 2003,2006-04-24,NA,Interventional,Phase 1,25,Completed,Dose-Finding Study for Cyclophosphamide as Conditioning Regimens for Bone Marrow Transplantation From Related Donors in Patients With Fanconi Anemia,Cyclophosphamide in Treating Patients Who Are Undergoing a Donor Bone Marrow Transplant for Fanconi's Anemia
NCT00318812,2016-04-05,May 2007,December 2011,December 2011,2006-04-25,2013-06-26,Interventional,Phase 2/Phase 3,55,Completed,Heme Iron Polypeptide for the Treatment of Iron Deficiency Anemia in Pre-Dialysis Patients: A Pilot Randomized Controlled Study,Heme Iron Polypeptide for Iron Deficiency Anemia in Chronic Renal Failure
NCT00327639,2006-05-17,July 2005,NA,NA,2006-05-17,NA,Observational,NA,50,Unknown status,Factors Promoting Increased Rate and Success of Pregnancy in the Thalassemia Population in Toronto,Factors Promoting Increased Rate and Success of Pregnancy in the Thalassemia Population in Toronto
NCT00337935,2013-05-07,July 2006,July 2009,July 2009,2006-06-16,2010-07-16,Interventional,Phase 2,157,Completed,"An Open-Label, Randomized, Multi-center, Controlled Study of PROCRIT (Epoetin Alfa) for the Treatment of Anemia of Chronic Kidney Disease in the Long Term Care Setting",A Study of the Use of PROCRIT (Epoetin Alfa) for the Treatment of Anemia in People With Chronic Kidney Disease Who Live in Long-term Care Facilities.
NCT00338468,2011-05-17,November 2003,September 2005,NA,2006-06-16,NA,Interventional,Phase 4,13,Terminated,An Open-Label Pilot Study to Assess Disability in Anemic Elderly Patients With Chronic Kidney Disease Receiving PROCRIT (Epoetin Alfa),A Study to Assess Disability in Anemic Elderly Patients With Kidney Disease Receiving PROCRIT (Epoetin Alfa)
NCT00352976,2021-10-27,"May 18, 2006","October 9, 2020","October 9, 2020",2006-07-14,2021-09-15,Interventional,Phase 2/Phase 3,83,Completed,Total Body Irradiation Dose De-escalation Study in Patients With Fanconi Anemia Undergoing Alternate Donor Hematopoietic Cell Transplantation,TBI Dose De-escalation for Fanconi Anemia
NCT00354341,2016-03-01,September 2002,July 2005,July 2005,2006-07-19,2016-03-01,Interventional,Phase 3,170,Completed,"An Open, Randomized, Multi-centre Trial to Investigate the Effect of Anemia Correction on Cardiac Structure and Function in Patients With Early Diabetic Nephropathy",(ACORD Study) - A Study of NeoRecormon (Epoetin Beta) in Patients With Early Diabetic Nephropathy
NCT00364845,2014-04-23,September 2006,February 2009,December 2008,2006-08-14,2010-12-02,Interventional,Phase 3,51,Terminated,A Randomised Single-Blind Study to Improve Health-related Quality of Life as Measured by the Short-Form 36 (SF-36) Vitality Score by Correcting Anemia With Aranesp (Darbepoetin Alfa) in the Elderly.,STIMULATE Study: Anemia Correction and Health-related Quality of Life (HRQoL) Outcomes in Elderly Chronic Kidney Disease (CKD) Patients
NCT00395993,2018-01-22,May 2005,June 2006,April 2006,2006-11-02,2013-09-16,Interventional,Phase 3,456,Completed,Comparison of the Safety and Efficacy of Intravenous Iron vs Oral Iron in the Treatment of Anemia Secondary to Heavy Uterine Bleeding,Comparison of the Safety and Efficacy of Intravenous Iron Versus Oral Iron in the Treatment of Anemia Secondary to Heavy Uterine Bleeding
NCT00399269,2009-06-10,December 2006,June 2007,NA,2006-11-12,NA,Interventional,Phase 3,100,Completed,"Assessment of Efficacy & Safety of Recombinant Human Erythropoietin -Alpha, (rHu-EPO-Alpha) in Patients With Anemia of Chronic Renal Failure.","Efficacy & Safety Study of Recombinant Human Erythropoietin -Alpha, in Patients With Anemia of Chronic Renal Failure"
NCT00413101,2009-05-13,NA,March 2008,NA,2006-12-18,NA,Interventional,Phase 4,50,Completed,An Open-Label Study to Investigate Improvement in Heart Function After Complete Anemia Correction With NeoRecormon in Patients With End-Stage Renal Disease Already Receiving Sub-Optimal Doses of NeoRecormon,A Study of NeoRecormon (Epoetin Beta) in Patients With End Stage Renal Disease.
NCT00422513,2011-11-09,March 2007,December 2007,December 2007,2007-01-15,2011-03-29,Interventional,Phase 3,260,Terminated,"A Randomized, Open-label Study Comparing the Pharmacoeconomic (Time and Motion) Benefit of Mircera and Epoetin Alfa in Patients With Chronic Kidney Disease (Stage V) on Dialysis.",A Study Comparing Mircera and Epoetin Alfa for the Treatment of Anemia in Dialysis Patients With Chronic Kidney Disease.
NCT00432367,2016-10-19,February 2007,September 2009,February 2009,2007-02-05,NA,Interventional,Phase 3,3333,Completed,"The Effectiveness, Cost and Cost Effectiveness of Intermittent Preventive Treatment or Screening and Treatment of Malaria in Pregnancy Among Women Using Long Lasting Insecticide Treated Bed Net: a Randomised Controlled Trial.",Intermittent Preventive Treatment (IPTp) Versus Rapid Diagnostic Testing (RDT) and Treatment of Malaria in Pregnancy
NCT00436748,2022-11-03,"September 16, 2008","March 3, 2014","March 3, 2014",2007-02-15,2015-03-04,Interventional,Phase 3,116,Terminated,"A Multi-Center, Double-Blind, Randomized Study Evaluating De Novo Weekly and Once Every Two Week Darbepoetin Alfa Dosing for the Correction of Anemia in Pediatric Subjects With Chronic Kidney Disease Receiving and Not Receiving Dialysis",Study to Assess Darbepoetin Alfa Dosing for the Correction of Anemia in Pediatric Patients With Chronic Kidney Disease
NCT00439595,2010-05-26,February 2007,May 2008,April 2008,2007-02-22,NA,Interventional,Not Applicable,450,Completed,A Cluster Randomised Trial of Different Methods of Haemoglobin Measurement to Improve Recognition and Treatment of Childhood and Pregnancy-related Anaemia in a Malaria Endemic Area of North East Tanzania.,A Trial of 2 'Point of Care' Diagnostic Methods to Improve Detection and Treatment of Anaemia in African Children
NCT00440557,2014-04-22,September 2006,February 2008,February 2008,2007-02-26,2009-02-23,Interventional,Phase 3,375,Completed,"A Randomized, Open Label, Multicenter Study of Epoetin Alfa Comparing Two Extended-Dosing Regimens, Once-Weekly and Every-Two-Weeks, With the Three-Times-Weekly Dosing Regimen for Initiation and Maintenance Treatment in Anemic Subjects With Chronic Kidney Disease",An Efficacy and Safety Study of Epoetin Alfa for Initiation and Maintenance Treatment of Patients With Anemia Associated With Chronic Kidney Disease
NCT00442793,2016-11-01,May 2007,May 2010,May 2010,2007-03-01,NA,Interventional,Phase 3,265,Completed,"A Randomized, Open Label Study Comparing the Effect of Mircera and Epoetin Beta on Hemoglobin Response in Patients With Chronic Kidney Disease Who Are on Dialysis",A Study Comparing Mircera and Epoetin Beta for the Treatment of Anemia in Dialysis Patients With Chronic Kidney Disease.
NCT00446576,2011-01-31,November 1999,April 2003,NA,2007-03-12,NA,Interventional,Phase 3,176,Completed,"A Study in Early Renal Insufficiency Patients to Assess the Effect of Maintaining Three Different Hemoglobin Levels With the Use of Erythropoetin Alpha on Left Ventricular Hypertrophy and Dilation and Quality if Life; The ""Cardiac Results of Early Treatment of Anaemia (CRETA)"" Study",The Effect of Epoetin Alfa on Cardiac Function and Quality of Life in Patients With Early Renal ((Kidney) Disease
NCT00462384,2016-03-02,February 2008,April 2011,April 2011,2007-04-18,2016-03-02,Interventional,Phase 3,39,Terminated,"An Open-label, Multi-center Study to Demonstrate Correction of Anemia and to Assess the Maintenance of Hemoglobin Levels Using Subcutaneous Once Monthly Injections of Mircera in Pre-dialysis Patients With Chronic Kidney Disease",A Study of Subcutaneous Mircera for the Treatment of Anemia in Pre-Dialysis Participants With Chronic Kidney Disease.
NCT00463632,2010-01-11,January 2007,January 2009,January 2009,2007-04-19,NA,Observational,NA,200,Completed,Schistosomiasis in Women of Reproductive Age in Burkina Faso: Implications for Control,Schistosomiasis in Women of Reproductive Age in Burkina Faso: Implications for Control
NCT00479115,2020-10-28,May 2007,December 2010,December 2010,2007-05-23,2020-08-26,Interventional,Phase 1/Phase 2,1,Completed,AMD3100 in Combination With G-CSF to Mobilize Peripheral Blood Stem Cells in Patients With Fanconi Anemia(FA): A Phase I/II Study,Mobilization and Collection of Peripheral Blood Stem Cells in Patients With Fanconi Anemia Using G-CSF and AMD3100
NCT00494416,2017-01-25,June 2007,November 2009,November 2009,2007-06-28,NA,Interventional,Not Applicable,11523,Completed,A Comparison of Different Approaches for Delivery of Intermittent Preventive Treatment (IPT)to Pregnant Women in Burkina Faso With Regard to Coverage and Compliance,Different Approaches for Delivery of IPT in Pregnancy in Burkina Faso
NCT00495365,2011-05-17,June 2003,September 2003,NA,2007-06-29,NA,Interventional,Phase 4,8,Terminated,Evaluation of Dose Conversion From Variable Dosing Intervals of Darbepoetin Alfa to Variable Dosing Intervals of Epoetin Alfa in Patients With the Anemia of Chronic Kidney Disease,A Dose Conversion Study of Epoetin Alfa in Subjects With the Anemia of Chronic Kidney Disease.
NCT00548691,2018-01-22,October 2007,July 2009,January 2009,2007-10-22,2013-09-16,Interventional,Phase 3,513,Completed,"A Multi-center, Randomized Controlled Study to Investigate the Safety and Tolerability of IV Ferric Carboxymaltose (FCM) vs Standard Medical Care in Treating Iron Deficiency Anemia in Chronic Kidney Disease Patients",Safety and Tolerability of FCM vs Standard of Care in Treating Iron Deficiency Anemia in Chronic Kidney Disease Patients
NCT00548860,2018-01-22,October 2007,July 2009,March 2009,2007-10-22,2013-10-08,Interventional,Phase 3,2018,Completed,"A Multi-center, Randomized Controlled Study to Investigate the Safety and Tolerability of IV Ferric Carboxymaltose (FCM) vs Standard of Care in Treating Iron Deficiency Anemia in Heavy Uterine Bleeding and Post Partum Patients",Safety of FCM vs. Standard of Care in Treating Iron Deficiency Anemia in Heavy Uterine Bleeding and Post Partum Patients
NCT00559273,2016-09-13,December 2007,October 2009,October 2009,2007-11-15,2016-09-13,Interventional,Phase 3,307,Completed,"An Open-label, Randomized, Multicenter, Parallel-group Study to Demonstrate Correction of Anemia Using Once Every 4 Weeks Subcutaneous Injections of RO0503821 in Patients With Chronic Kidney Disease Who Are Not on Dialysis",A Study of Subcutaneous Mircera Once Monthly in the Treatment of Anemia in Participants With Chronic Kidney Disease Not on Dialysis
NCT00563446,2011-06-14,July 2005,May 2006,NA,2007-11-21,NA,Interventional,Not Applicable,16,Completed,Conversion From Once Weekly Recombinant Human Erythropoietin to Once Monthly Darbepoetin Alfa for the Treatment of Renal Anemia in Continuous Ambulatory Peritoneal Dialysis Patients,Study of the Efficacy of Darbepoetin Alfa in the Treatment of Renal Anemia
NCT00576602,2016-11-03,December 2007,July 2008,July 2008,2007-12-18,NA,Interventional,Phase 4,1,Terminated,"A Randomized, Open Label Study to Evaluate the Effect of Subcutaneous Mircera, Versus no ESA Therapy, on Hemoglobin Levels in Chronic Kidney Disease Patients With Anemia After Kidney Transplant.","A Study of Subcutaneous Mircera, Versus no Erythropoiesis-Stimulating Agent (ESA) Therapy, in the Treatment of Anemia in Patients With Chronic Kidney Disease After Kidney Transplant"
NCT00586274,2014-03-03,March 2002,July 2009,July 2009,2007-12-21,NA,Interventional,Phase 1,1,Terminated,A Phase I Study Evaluating The Use Of Rft5-Dga To Deplete Alloreactive Cells For Patients With Fanconi Anemia After Haploidentical Stem Cell Transplantation,Use of Rft5-Dga to Deplete Alloreactive Cells for Pts With Fanconi Anemia After Haploidentical SCT
NCT00590460,2018-04-26,July 2001,September 2009,September 2009,2007-12-26,2012-07-02,Interventional,Phase 1/Phase 2,5,Terminated,Cd45 (Yth-24 and Yth 54) and Cd52 (Campath-1H) Monoclonal Antibody Conditioning Regimen for Allogeneic Donor Stem Cell Transplantation of Patients With Fanconi Anemia,Antibody Conditioning Regimen For Allogeneic Donor Stem Cell Transplantation Of Patients With Fanconi Anemia
NCT00595127,2016-06-29,June 2001,May 2013,May 2013,2008-01-07,2015-12-22,Interventional,Not Applicable,21,Completed,"A Pilot Trial of Hematopoietic Stem Cell Transplantation for the Treatment of Patients With Fanconi Anemia Lacking a Genotypically Identical Donor, Using Total Body Irradiation, Cyclophosphamide and Fludarabine","Hematopoietic Stem Cell Transplantation for Treatment of Patients With Fanconi Anemia Lacking a Genotypically Identical Donor, Using Total Body Irradiation, Cyclophosphamide and Fludarabine"
NCT00609544,2011-04-17,NA,NA,NA,2007-12-10,NA,Interventional,Phase 2,0,Withdrawn,"A Multi-Center, Double-Blind, Placebo-Controlled Safety and Preliminary Efficacy Study of IL-1 Trap (Rilonacept) Administered Subcutaneously in Subjects With Non Dialysis-Dependent Chronic Kidney Disease (NDD-CKD) and Anemia",Study of the Safety and Effectiveness of Rilonacept (IL-1 Trap) Administered Subcutaneously in Subjects With Non Dialysis-Dependent Chronic Kidney Disease (NDD-CKD) and Anemia
NCT00630253,2021-10-08,"February 17, 2000","October 10, 2020","October 10, 2020",2008-03-05,2021-09-10,Interventional,Phase 1/Phase 2,31,Completed,"A Study of Cyclophosphamide, Fludarabine, and Antithymocyte Globulin Followed by Matched Sibling Donor Hematopoietic Cell Transplantation in Patients With Fanconi Anemia","Cytoxan, Fludara, and Antithymocyte Globulin Conditioning Followed By Stem Cell Transplant in Treating Fanconi Anemia"
NCT00642967,2021-09-09,June 2008,August 2010,August 2010,2008-03-19,NA,Interventional,Phase 3,127,Completed,"A Single Arm, Open Label, French Multi-centre Study to Assess the Maintenance of Hemoglobin Levels With Once Monthly Subcutaneous Administration of C.E.R.A. (Continuous Erythropoietin Receptor Activator) in Patients With Chronic Kidney Disease Not on Dialysis",A Study of Subcutaneous Mircera for the Maintenance Treatment of Anemia in Participants With Chronic Kidney Disease Not on Dialysis
NCT00660933,2016-03-07,September 2005,September 2007,September 2007,2008-04-14,NA,Interventional,Phase 4,70,Completed,Intravenous Iron Versus Oral Iron for Severe Postpartum Anemia Randomized Trial,Intravenous Iron Versus Oral Iron for Severe Postpartum Anemia
NCT00687258,2020-09-23,July 2006,July 2007,March 2007,2008-05-06,NA,Interventional,Phase 2,20,Completed,Evaluation Of The Impact Of A New Synthetic Vitamin E-Bonded Membrane On The Anemia And Oxidative Stress In End-Stage Renal Disease (ESRD) Patients,Evaluation Of A New Vitamin E-Bonded Membrane On Anemia And Oxidative Stress In End-Stage Renal Disease Patients
NCT00701714,2017-07-13,September 2007,January 2010,July 2009,2008-06-17,2017-04-03,Interventional,Phase 3,337,Terminated,"Randomized, Controlled, Double-blind Multicenter Safety Study to Evaluate the Safety and Immunogenicity of Subcutaneous EPO HEXAL vs. ERYPO® in the Treatment of Anemia Associated With Chronic Renal Insufficiency in Predialysis Patients","Randomized, Controlled, Double-blind Multicenter Safety Study to Evaluate the Safety and Immunogenicity of Subcutaneous EPO HEXAL vs. ERYPO® in the Treatment of Anemia Associated With Chronic Renal Insufficiency in Predialysis Patients"
NCT00717366,2017-08-08,July 2008,March 2016,March 2016,2008-07-16,2016-09-29,Interventional,Phase 2,64,Completed,"An Open-Label Multi-center, Multiple Dose Study to Determine the Optimum Starting Dose of Intravenous MIRCERA for Maintenance Treatment of Anemia in Pediatric Participants With Chronic Kidney Disease on Hemodialysis",Study to Determine Optimum Intravenous Starting Dose of MIRCERA for Treatment of Pediatric Participants With Anemia and Chronic Kidney Disease on Hemodialysis
NCT00746551,2015-02-11,September 2008,April 2010,March 2010,2008-09-02,2015-01-15,Interventional,Phase 4,80,Completed,Low Dose Intravenous Versus Oral Iron for Iron Deficiency Anemia Starting Late in Pregnancy: A Randomized Controlled Trial,Intravenous Versus Oral Iron in Late Pregnancy: Results of Treatment
NCT00752609,2012-06-26,September 2008,December 2009,December 2009,2008-09-11,2012-04-16,Interventional,Phase 2,102,Completed,A Phase 2 Study of the Safety and Efficacy of Hematide Injection for the Maintenance Treatment of Anemia in Subjects With Chronic Renal Failure Who Are on Hemodialysis or Do Not Require Dialysis and Previously Treated With Darbepoetin Alfa,Safety and Efficacy of Peginesatide Injection for the Maintenance of Anemia in Chronic Renal Failure Participants Who Are on Hemodialysis or Do Not Require Dialysis and Previously Treated With Darbepoetin Alfa.
NCT00782912,2019-02-20,November 2008,October 2014,October 2014,2008-10-30,NA,Observational,NA,103,Completed,Is Postpartum Anemia an Independent Risk Factor for Development of Postpartum Depression?,Postpartum Anemia and Postpartum Depression
NCT00802139,2012-03-28,February 2008,October 2010,June 2009,2008-12-03,NA,Interventional,Phase 4,58,Completed,"A Prospective, Randomized, Multi-centered Trial to Compare the Efficacy and Safety of Intravenous Iron Sucrose (Venoferrum®) With Oral Iron Acetyl-transferrin Hydroglycerin (Bolgre®) in Pregnant Women With Iron Deficiency Anemia",Efficacy and Safety Study of Iron Sucrose and Oral Iron Acetyl-transferrin Hydroglycerin
NCT00813657,2008-12-22,January 2000,March 2002,March 2002,2008-12-22,NA,Interventional,Phase 4,80,Completed,Effects of Resistance Exercise Training Program Performed During the 2nd and 3rd Trimesters of Pregnancy on Maternal and Newborn Health,Resistance Exercise Training During Pregnancy: a Randomized Controlled Trial
NCT00869856,2015-06-01,April 2009,August 2009,August 2009,2009-03-25,NA,Interventional,Phase 3,0,Withdrawn,"An Open Label, Single-arm, Baseline-controlled, Multicenter Study to Evaluate the Efficacy, Safety and Immunogenicity of Subcutaneous HX575 Administered Once a Week (qw) and Once Every Two Weeks (q2w) in the Treatment of Anemia Associated With Chronic Kidney Disease in Pre-dialysis and Dialysis Subjects","Study to Evaluate the Efficacy, Safety and Immunogenicity of Subcutaneous HX575 in the Treatment of Anemia Associated With Chronic Kidney Disease (SWEEP)"
