nct_id,id_source,id_value,id_type,id_type_description,id_link
NCT05157828,org_study_id,UCape Town,NA,NA,NA
NCT02959125,org_study_id,SemarangHP,NA,NA,NA
NCT03140722,org_study_id,AKB-6548-CI-0018,NA,NA,NA
NCT00005896,org_study_id,199/15107,NA,NA,NA
NCT00005896,secondary_id,UMN-MT-1997-10,NA,NA,NA
NCT00005896,secondary_id,UNM-MT-9710,NA,NA,NA
NCT00006127,org_study_id,199/15281,NA,NA,NA
NCT00006127,secondary_id,DFCI-9910170,NA,NA,NA
NCT00006127,secondary_id,ALZA-99-004-ii,NA,NA,NA
NCT03242967,org_study_id,AKB-6548-CI-0023,NA,NA,NA
NCT05804071,org_study_id,YXL-KY-2023（006）,NA,NA,NA
NCT00001399,org_study_id,940033,NA,NA,NA
NCT00001399,secondary_id,94-H-0033,NA,NA,NA
NCT02378662,org_study_id,MG-EP-RF-03,NA,NA,NA
NCT04959578,org_study_id,EC/01/18/1317,NA,NA,NA
NCT00746551,org_study_id,296/2551(EC3),NA,NA,NA
NCT05462704,org_study_id,Pro00060930,NA,NA,NA
NCT04228627,org_study_id,IRB/2019/599/SIMS,NA,NA,NA
NCT00354341,org_study_id,MA16620,NA,NA,NA
NCT00005891,org_study_id,199/15099,NA,NA,NA
NCT00005891,secondary_id,UMN-MT-1982-10,NA,NA,NA
NCT00005891,secondary_id,UMN-MT-8210,NA,NA,NA
NCT00352976,org_study_id,MT2006-05,NA,NA,NA
NCT00352976,secondary_id,0605M85788,Other Identifier,"IRB, University of Minnesota",NA
NCT00318812,org_study_id,2005840-01H,NA,NA,NA
NCT03188445,org_study_id,P-Monofer-PREG-01,NA,NA,NA
NCT00001749,org_study_id,980144,NA,NA,NA
NCT00001749,secondary_id,98-H-0144,NA,NA,NA
NCT00701714,org_study_id,2007-22-INJ-17,NA,NA,NA
NCT04594070,org_study_id,20-0068,NA,NA,NA
NCT03439137,org_study_id,MT-6548-J03,NA,NA,NA
NCT03402386,org_study_id,MT-6548-J02,NA,NA,NA
NCT01379963,org_study_id,ML22014,NA,NA,NA
NCT03329196,org_study_id,MT-6548-J01,NA,NA,NA
NCT02127905,org_study_id,CCI-10-00176,NA,NA,NA
NCT02136563,org_study_id,TRIGU1318,NA,NA,NA
NCT02136563,secondary_id,UMIN000013464,Registry Identifier,UMIN-CTR,NA
NCT00118027,org_study_id,MV-713-624-02-0033,NA,NA,NA
NCT03558464,org_study_id,GW_1AF_KenEff_1000d,NA,NA,NA
NCT02652819,org_study_id,FGCL-4592-808,NA,NA,NA
NCT05240677,org_study_id,9145/2-2-2022,NA,NA,NA
NCT05745883,org_study_id,DISC-0974-103,NA,NA,NA
NCT03171909,org_study_id,1497/2016,NA,NA,NA
NCT00046969,org_study_id,AGOSG-OVAR-MO16375-MARCH,NA,NA,NA
NCT00046969,secondary_id,CDR0000257189,Registry Identifier,PDQ (Physician Data Query),NA
NCT00046969,secondary_id,EU-20217,NA,NA,NA
NCT00046969,secondary_id,ROCHE-MO16375,NA,NA,NA
NCT00046969,secondary_id,ROCHE-RO2053859,NA,NA,NA
NCT01193192,org_study_id,N-002,NA,NA,NA
NCT01903148,org_study_id,SEN-AEE-2011-01,NA,NA,NA
NCT02190565,org_study_id,2014/815-31/4,NA,NA,NA
NCT04029142,org_study_id,2019-01065; sp19Amstad,NA,NA,NA
NCT02840292,org_study_id,Hemoglobin and Neurobehaviour,NA,NA,NA
NCT00559273,org_study_id,NH20052,NA,NA,NA
NCT04621331,org_study_id,FGN-PED-CLIN-02,NA,NA,NA
NCT05739097,org_study_id,"MINNIE, version 12/06/2021",NA,NA,NA
NCT00258427,org_study_id,2002LS014,NA,NA,NA
NCT00258427,secondary_id,MT2002-02,Other Identifier,Blood and Marrow Transplantation Program,NA
NCT00258427,secondary_id,0202M18741,Other Identifier,"IRB, University of Minnesota",NA
NCT02779764,org_study_id,1517-CL-0312,NA,NA,NA
NCT03738995,org_study_id,ver2072016,NA,NA,NA
NCT05576207,org_study_id,INV-033381,NA,NA,NA
NCT00132535,org_study_id,MV-714-624-03-0001,NA,NA,NA
NCT02743572,org_study_id,XH-16-002,NA,NA,NA
NCT00081471,org_study_id,BA16738,NA,NA,NA
NCT01115478,org_study_id,HD57941-01A2,NA,NA,NA
NCT01119612,org_study_id,HD061232,NA,NA,NA
NCT02366325,org_study_id,HS-EPOP2a,NA,NA,NA
NCT02829320,org_study_id,204716,NA,NA,NA
NCT01131624,org_study_id,FER-ASAP-2009-01,NA,NA,NA
NCT01136850,org_study_id,70270,NA,NA,NA
NCT04231292,org_study_id,SZSBE-RD01-HD-II-01,NA,NA,NA
NCT02780726,org_study_id,1517-CL-0302,NA,NA,NA
NCT01146574,org_study_id,ACE-011-REN-001,NA,NA,NA
NCT04059913,org_study_id,FGCL-4592-818,NA,NA,NA
NCT00413101,org_study_id,ML20201,NA,NA,NA
NCT01071239,org_study_id,FA 08/89,NA,NA,NA
NCT02879305,org_study_id,200807,NA,NA,NA
NCT02879305,secondary_id,2016-000541-31,EudraCT Number,NA,NA
NCT00660933,org_study_id,POSTPARTFEEV,NA,NA,NA
NCT00436748,org_study_id,20050256,NA,NA,NA
NCT00255424,org_study_id,62745-6,NA,NA,NA
NCT00272857,org_study_id,382,NA,NA,NA
NCT00272857,secondary_id,R01HL081499,U.S. NIH Grant/Contract,NA,https://reporter.nih.gov/quickSearch/R01HL081499
NCT00272857,secondary_id,CCHMCEH002,Other Grant/Funding Number,CCHMC,NA
NCT00272857,secondary_id,R01HL081499-01A1,U.S. NIH Grant/Contract,NA,https://reporter.nih.gov/quickSearch/R01HL081499-01A1
NCT00399269,org_study_id,CR - 50/9180,NA,NA,NA
NCT05951192,org_study_id,USRC-2023-001,NA,NA,NA
NCT05151679,org_study_id,oral iron versus I.V iron,NA,NA,NA
NCT00121602,org_study_id,20040104,NA,NA,NA
NCT00312871,org_study_id,CR003181,NA,NA,NA
NCT04707768,org_study_id,AKB-6548-CI-0039,NA,NA,NA
NCT01940484,org_study_id,ML22344,NA,NA,NA
NCT02780141,org_study_id,1517-CL-0308,NA,NA,NA
NCT02468414,org_study_id,MG-EP-RF-04,NA,NA,NA
NCT01183572,org_study_id,0055/07,NA,NA,NA
NCT05921968,org_study_id,Lactoferrin in Anemia,NA,NA,NA
NCT02762773,org_study_id,UHCASEMC2,NA,NA,NA
NCT04470063,org_study_id,DDO-3055-104,NA,NA,NA
NCT01887600,org_study_id,1517-CL-0608,NA,NA,NA
NCT01887600,secondary_id,2012-005180-27,EudraCT Number,NA,NA
NCT04437771,org_study_id,RP-L102-0116-LTFU,NA,NA,NA
NCT01587924,org_study_id,116582,NA,NA,NA
NCT02652806,org_study_id,FGCL-4592-806,NA,NA,NA
NCT00432367,org_study_id,GMP_REG04,NA,NA,NA
NCT00432367,secondary_id,HKT-GMP,NA,NA,NA
NCT02865850,org_study_id,AKB-6548-CI-0016,NA,NA,NA
NCT02865850,secondary_id,2016-000838-21,EudraCT Number,NA,NA
NCT00687258,org_study_id,Vit E-Rif01-1,NA,NA,NA
NCT04410198,org_study_id,FGCL-4592-097,NA,NA,NA
NCT00111995,org_study_id,20010125,NA,NA,NA
NCT06125860,org_study_id,IRB22-1245,NA,NA,NA
NCT03564756,org_study_id,AAA-001,NA,NA,NA
NCT00116493,org_study_id,H.22.03.04.22.A2,NA,NA,NA
NCT00116493,secondary_id,Thrasher Research Fund 02817-9,NA,NA,NA
NCT03689218,org_study_id,Stunting Study Balochistan,NA,NA,NA
NCT05975125,org_study_id,118/2566,NA,NA,NA
NCT00494416,org_study_id,PD 010607,NA,NA,NA
NCT00494416,secondary_id,REG-10,NA,NA,NA
NCT00167388,org_study_id,0404184,NA,NA,NA
NCT03438227,org_study_id,1809251633,NA,NA,NA
NCT02952092,org_study_id,1517-CL-0307,NA,NA,NA
NCT03157804,org_study_id,2011-006100-12,NA,NA,NA
NCT00140517,org_study_id,HSR/DD/677-01/DG-CM/624-02,NA,NA,NA
NCT00317226,org_study_id,1VIT05005,NA,NA,NA
NCT00922610,org_study_id,ML21983,NA,NA,NA
NCT04517734,org_study_id,0911001050,NA,NA,NA
NCT02128074,org_study_id,KRX-0502-207,NA,NA,NA
NCT00148629,org_study_id,UCHS 02-10-030,NA,NA,NA
NCT03378791,org_study_id,MS/15.10.05,NA,NA,NA
NCT03374111,org_study_id,TH-2,NA,NA,NA
NCT04093986,org_study_id,HELPFUL,NA,NA,NA
NCT02678533,org_study_id,P130103,NA,NA,NA
NCT02678533,secondary_id,2014-005264-14,EudraCT Number,NA,NA
NCT04278651,org_study_id,19G.929,NA,NA,NA
NCT00595127,org_study_id,01-062,NA,NA,NA
NCT03565198,org_study_id,17-366,NA,NA,NA
NCT03350347,org_study_id,19350,NA,NA,NA
NCT00590460,org_study_id,H-9938,NA,NA,NA
NCT00590460,nct_alias,NCT00058565,NA,NA,NA
NCT02620943,org_study_id,AAUT,NA,NA,NA
NCT05515367,org_study_id,DESI.22.001,NA,NA,NA
NCT02611856,org_study_id,CRC05069,NA,NA,NA
NCT01720147,org_study_id,2011-2049,NA,NA,NA
NCT01720147,secondary_id,1R01FD004383-01A1,U.S. FDA Grant/Contract,NA,https://reporter.nih.gov/quickSearch/1R01FD004383-01A1
NCT02940860,org_study_id,P-Monofer-CKD-04,NA,NA,NA
NCT04810546,org_study_id,2020-1297,NA,NA,NA
NCT04810546,secondary_id,R34HL155481,U.S. NIH Grant/Contract,NA,https://reporter.nih.gov/quickSearch/R34HL155481
NCT05752955,org_study_id,27-21,NA,NA,NA
NCT03350321,org_study_id,19349,NA,NA,NA
NCT03347513,org_study_id,A15112017,NA,NA,NA
NCT04502537,org_study_id,20203357012,NA,NA,NA
NCT00717366,org_study_id,NH19707,NA,NA,NA
NCT00717366,secondary_id,2007-007758-70,EudraCT Number,NA,NA
NCT03922087,org_study_id,HZT2018,NA,NA,NA
NCT05035641,org_study_id,AND017-MN-201,NA,NA,NA
NCT02590224,org_study_id,IDA,NA,NA,NA
NCT02586402,org_study_id,HS-EPOP2c,NA,NA,NA
NCT05262634,org_study_id,2020-02033; bb22Hoesli2,NA,NA,NA
NCT01381094,org_study_id,AKB-6548-CI-0005,NA,NA,NA
NCT01235936,org_study_id,AKB-6548-CI-0004,NA,NA,NA
NCT02968368,org_study_id,ST10-01-303,NA,NA,NA
NCT03799627,org_study_id,AKB-6548-CI-0025,NA,NA,NA
NCT02487719,org_study_id,2012-0475,NA,NA,NA
NCT03202615,org_study_id,AbdelwahedM,NA,NA,NA
NCT03202615,secondary_id,AshoushS,Other Identifier,personal,NA
NCT03202615,secondary_id,IbrahimK,Other Identifier,personal,NA
NCT03202615,secondary_id,ElhawariG,Other Identifier,personal,NA
NCT04649411,org_study_id,KRX-0502-309,NA,NA,NA
NCT00440557,org_study_id,CR010411,NA,NA,NA
NCT00440557,secondary_id,EPOAKD3001,Other Identifier,"Johnson & Johnson Pharmaceutical Research and Development, L.L.C.",NA
NCT00004464,org_study_id,J9611,NA,NA,NA
NCT00004464,secondary_id,96-01-17-02,Other Identifier,JHM IRB,NA
NCT00004464,secondary_id,JHOC-96011702,NA,NA,NA
NCT00004464,secondary_id,JHOC-9611,Other Identifier,other,NA
NCT00004464,secondary_id,199/13895,Other Identifier,other,NA
NCT02439697,org_study_id,"Version 1.2 18thApril, 2015",NA,NA,NA
NCT02444845,org_study_id,ML27762,NA,NA,NA
NCT04522375,org_study_id,FP045C-19-001,NA,NA,NA
NCT04925661,org_study_id,HEC53856-RAD-102,NA,NA,NA
NCT03830034,org_study_id,IDA,NA,NA,NA
NCT04205266,org_study_id,19C.864,NA,NA,NA
NCT01358552,org_study_id,N-003,NA,NA,NA
NCT01393496,org_study_id,DFG Fr 1455/6-1,NA,NA,NA
NCT01393496,secondary_id,2010-021576-28,EudraCT Number,NA,NA
NCT05699109,org_study_id,Anemia in CKD,NA,NA,NA
NCT00813657,org_study_id,01562,NA,NA,NA
NCT00813657,secondary_id,01562,NA,NA,NA
NCT03552393,org_study_id,NH19708,NA,NA,NA
NCT03552393,secondary_id,2016-004779-39,EudraCT Number,NA,NA
NCT00896740,org_study_id,IRB00000713,NA,NA,NA
NCT00896740,secondary_id,OHSU-HEM-01079-L,NA,NA,NA
NCT00896740,secondary_id,CDR0000445212,Other Identifier,NCI PDQ,NA
NCT03176147,org_study_id,CHU-336,NA,NA,NA
NCT03176147,secondary_id,2015-A00454-45,Other Identifier,2015-A00454-45,NA
NCT00953134,org_study_id,Periconceptional_Fe,NA,NA,NA
NCT01121237,org_study_id,HX575-503,NA,NA,NA
NCT03408639,org_study_id,ERY.CIN.MA.94,NA,NA,NA
NCT03408639,secondary_id,IRCT201601156135N6,Other Identifier,Food And Drug Administration of The Islamic Republic of Iran,NA
NCT01428154,org_study_id,20090302,NA,NA,NA
NCT00929409,org_study_id,4.2009.373,NA,NA,NA
NCT00929409,secondary_id,21830,Other Identifier,"NSD, Norway",NA
NCT00929409,secondary_id,09/03045-4,Other Identifier,"SLV, Norway",NA
NCT00929409,secondary_id,2008-008526-79,EudraCT Number,NA,NA
NCT02813850,org_study_id,P140030,NA,NA,NA
NCT02813850,secondary_id,2015-A01276-43,Registry Identifier,ID RCB,NA
NCT03448432,org_study_id,PREGAN (29BRC17.0155),NA,NA,NA
NCT01055431,org_study_id,09/H1013/69,NA,NA,NA
NCT01232387,org_study_id,10-0920,NA,NA,NA
NCT01232387,secondary_id,KL2RR029885,U.S. NIH Grant/Contract,NA,https://reporter.nih.gov/quickSearch/KL2RR029885
NCT03706638,org_study_id,18-181-1,NA,NA,NA
NCT04045002,org_study_id,UKM PPI/111/8/JEP-2018-674,NA,NA,NA
NCT01155375,org_study_id,AMAG-FER-CKD-251,NA,NA,NA
NCT00752609,org_study_id,AFX01_202,NA,NA,NA
NCT00752609,secondary_id,2008-003459-64,EudraCT Number,NA,NA
NCT00752609,secondary_id,U1111-1114-1500,Registry Identifier,WHO,NA
NCT03418168,org_study_id,19353,NA,NA,NA
NCT04484857,org_study_id,FGCL-4592-096,NA,NA,NA
NCT00182390,org_study_id,CTMG-2001-PINT,NA,NA,NA
NCT00182390,secondary_id,CIHR MCT-41549,NA,NA,NA
NCT00182390,secondary_id,CIHR MCT-58455,NA,NA,NA
NCT05737862,org_study_id,MAGPH-202210.01,NA,NA,NA
NCT00782912,org_study_id,08-155,NA,NA,NA
NCT00869856,org_study_id,HX575-304,NA,NA,NA
NCT03670537,org_study_id,Protocol 3,NA,NA,NA
NCT03122938,org_study_id,RD02914009A,NA,NA,NA
NCT03351868,org_study_id,GIMI-IRB-17021,NA,NA,NA
NCT03351166,org_study_id,19351,NA,NA,NA
NCT01191983,org_study_id,ML25276,NA,NA,NA
NCT06115421,org_study_id,0201793,NA,NA,NA
NCT03818867,org_study_id,17.004,NA,NA,NA
NCT04656171,org_study_id,APHP200090,NA,NA,NA
NCT04656171,secondary_id,N° IDRCB: 2019-A03171-56,Registry Identifier,ANSM,NA
NCT03054350,org_study_id,AKB-6548-CI-0022,NA,NA,NA
NCT03759353,org_study_id,LactvsFerr,NA,NA,NA
NCT04076969,org_study_id,00004025,NA,NA,NA
NCT01019902,org_study_id,RSRB00024804,NA,NA,NA
NCT01019902,secondary_id,2008-01857,Other Grant/Funding Number,NRI,NA
NCT05598515,org_study_id,2022-0751,NA,NA,NA
NCT04074707,org_study_id,TIPS,NA,NA,NA
NCT01018576,org_study_id,200916964,NA,NA,NA
NCT00899522,org_study_id,IRB00001100,NA,NA,NA
NCT00899522,secondary_id,P30CA069533,U.S. NIH Grant/Contract,NA,https://reporter.nih.gov/quickSearch/P30CA069533
NCT00899522,secondary_id,OHSU-HEM-03022-LX,NA,NA,NA
NCT00899522,secondary_id,OHSU-IRB00001100,NA,NA,NA
NCT00899522,secondary_id,OSHU-CR00003822,NA,NA,NA
NCT00899522,secondary_id,CDR0000445453,Other Identifier,NCI PDQ,NA
NCT05585645,org_study_id,NNG06-02,NA,NA,NA
NCT03775954,org_study_id,PRO00031598,NA,NA,NA
NCT03775954,secondary_id,R01HL143485,U.S. NIH Grant/Contract,NA,https://reporter.nih.gov/quickSearch/R01HL143485
NCT03579875,org_study_id,2016LS161,NA,NA,NA
NCT03579875,secondary_id,MT2017-17,Other Identifier,"Masonic Cancer Center, University of Minnesota",NA
NCT03814395,org_study_id,NNSF81703240,NA,NA,NA
NCT03814395,secondary_id,81703240,Other Grant/Funding Number,The National Natural Science Fund,NA
NCT03700034,org_study_id,CTRI/2019/01/016857,NA,NA,NA
NCT01543477,org_study_id,EPOE-09-11,NA,NA,NA
NCT01543477,secondary_id,C1111006,Other Identifier,Alias Study Number,NA
NCT01543477,secondary_id,PASCO II,Other Identifier,Alias Study Number,NA
NCT03196882,org_study_id,IJG-FER-2012,NA,NA,NA
NCT03196882,secondary_id,2012-005480-28,EudraCT Number,NA,NA
NCT03196882,secondary_id,PI12/02777,Other Grant/Funding Number,"Instituto de Salud Carlos III,Ministerio de Sanidad",NA
NCT01555255,org_study_id,RPC390,NA,NA,NA
NCT01555515,org_study_id,MG-001-03,NA,NA,NA
NCT01084213,org_study_id,MiPcMA05,NA,NA,NA
NCT03400033,org_study_id,204837,NA,NA,NA
NCT03400033,secondary_id,2017-004372-56,EudraCT Number,NA,NA
NCT00210743,org_study_id,CR004600,NA,NA,NA
NCT03174652,org_study_id,SMRU1703,NA,NA,NA
NCT03175042,org_study_id,17-0095,NA,NA,NA
NCT00243399,org_study_id,2539,NA,NA,NA
NCT00243399,secondary_id,FD-R-002539-01,NA,NA,NA
NCT00563446,org_study_id,KWC/EX/05-041,NA,NA,NA
NCT00563446,secondary_id,HARECCTR0500029,NA,NA,NA
NCT00236964,org_study_id,1VEN99012,NA,NA,NA
NCT00258024,org_study_id,ghana5.2.malaria,NA,NA,NA
NCT00965666,org_study_id,05-07-24,NA,NA,NA
NCT01599507,org_study_id,FGCL-4592-047,NA,NA,NA
NCT04784052,org_study_id,IRB-60108,NA,NA,NA
NCT00802139,org_study_id,CWP-VNF-402,NA,NA,NA
NCT02535208,org_study_id,14-01514,NA,NA,NA
NCT04708665,org_study_id,55207436,NA,NA,NA
NCT02892149,org_study_id,AKB-6548-CI-0017,NA,NA,NA
NCT02892149,secondary_id,2016-001360-11,EudraCT Number,NA,NA
NCT02341300,org_study_id,1310014372,NA,NA,NA
NCT00255437,org_study_id,62745-7,NA,NA,NA
NCT03446612,org_study_id,205767,NA,NA,NA
NCT03446612,secondary_id,2017-002268-42,EudraCT Number,NA,NA
NCT04486456,org_study_id,ERIC STUDY,NA,NA,NA
NCT00271089,org_study_id,378,NA,NA,NA
NCT00271089,secondary_id,CCHMCEH001,NA,NA,NA
NCT00271089,secondary_id,R01HL081499-01A1,U.S. NIH Grant/Contract,NA,https://reporter.nih.gov/quickSearch/R01HL081499-01A1
NCT01665378,org_study_id,IRB00051384,NA,NA,NA
NCT01665378,secondary_id,10-1196-UEMORY-01,Other Identifier,Other,NA
NCT01666249,org_study_id,IMUPAN1011,NA,NA,NA
NCT01666249,secondary_id,Emenda 3.0 - 19/09/2017,Other Identifier,Azidus Brasil Pesquisa Científica e Desenvolvimento Ltda.,NA
NCT04812821,org_study_id,2019-02,NA,NA,NA
NCT01719146,org_study_id,12.0149,NA,NA,NA
NCT01719146,secondary_id,R01DK093832,U.S. NIH Grant/Contract,NA,https://reporter.nih.gov/quickSearch/R01DK093832
NCT04253626,org_study_id,54788,NA,NA,NA
NCT04253626,secondary_id,K12HD103084,U.S. NIH Grant/Contract,NA,https://reporter.nih.gov/quickSearch/K12HD103084
NCT06234332,org_study_id,PKUBC-WF,NA,NA,NA
NCT04543812,org_study_id,PBB00601,NA,NA,NA
NCT03029208,org_study_id,201410,NA,NA,NA
NCT03029208,secondary_id,2016-000507-86,EudraCT Number,NA,NA
NCT02260193,org_study_id,AKB-6548-CI-0011,NA,NA,NA
NCT04069533,org_study_id,RP-L102-0118,NA,NA,NA
NCT04069533,secondary_id,2018-002502-31,EudraCT Number,NA,NA
NCT05278793,org_study_id,NL77578.000.21,NA,NA,NA
NCT05278793,secondary_id,2021-005393-26,EudraCT Number,NA,NA
NCT01695759,org_study_id,EPOBLA1011,NA,NA,NA
NCT01695759,secondary_id,Emenda 04 - 11/May/2015,Other Identifier,Azidus Brasil Pesquisa Científica e Desenvolvimento Ltda.,NA
NCT04155125,org_study_id,GXE4KGBio-001,NA,NA,NA
NCT06138262,org_study_id,2106769774,NA,NA,NA
NCT05832840,org_study_id,GN08 PREPSA,NA,NA,NA
NCT05265325,org_study_id,AND017-MN-202,NA,NA,NA
NCT00327639,org_study_id,00000,NA,NA,NA
NCT02079896,org_study_id,SNOXH94C301,NA,NA,NA
NCT02079896,secondary_id,2013-003585-14,EudraCT Number,NA,NA
NCT06176105,org_study_id,PPOC 18-03,NA,NA,NA
NCT06312644,org_study_id,D9289C00007,NA,NA,NA
NCT02086838,org_study_id,9020058,NA,NA,NA
NCT00307814,org_study_id,CR005101,NA,NA,NA
NCT06079918,org_study_id,MMS-MAP,NA,NA,NA
NCT01763242,org_study_id,HREC: 2010.267,NA,NA,NA
NCT05970172,org_study_id,1517-CL-1003,NA,NA,NA
NCT01768351,org_study_id,PCX1234,NA,NA,NA
NCT01768351,secondary_id,paranemia,Other Identifier,Federico II University of Naples,NA
NCT05590260,org_study_id,CP PRIORITY,NA,NA,NA
NCT03574506,org_study_id,LS30885-1,NA,NA,NA
NCT00317876,org_study_id,1288.00,NA,NA,NA
NCT00317876,secondary_id,FHCRC-1288.00,NA,NA,NA
NCT00317876,secondary_id,CDR0000481264,Registry Identifier,PDQ,NA
NCT02957643,org_study_id,HippokratioGH,NA,NA,NA
NCT04655027,org_study_id,D5741C00002,NA,NA,NA
NCT00338468,org_study_id,CR004606,NA,NA,NA
NCT05900635,org_study_id,0107174,NA,NA,NA
NCT00463632,org_study_id,SRP-BF-ST-06,NA,NA,NA
NCT00462384,org_study_id,ML20659,NA,NA,NA
NCT00439595,org_study_id,EARS-Handeni,NA,NA,NA
NCT03279536,org_study_id,WHH,NA,NA,NA
NCT01062958,org_study_id,N-001,NA,NA,NA
NCT00442793,org_study_id,ML20680,NA,NA,NA
NCT00964691,org_study_id,01-2009,NA,NA,NA
NCT00364845,org_study_id,20050122,NA,NA,NA
NCT03029247,org_study_id,205665,NA,NA,NA
NCT01245777,org_study_id,ITiRiP-1,NA,NA,NA
NCT00495365,org_study_id,CR005104,NA,NA,NA
NCT05356325,org_study_id,PI20/1645,NA,NA,NA
NCT00337935,org_study_id,CR012229,NA,NA,NA
NCT04694235,org_study_id,AASH Egg intervention,NA,NA,NA
NCT04128943,org_study_id,2019-01563; me18Drexler,NA,NA,NA
NCT03992066,org_study_id,AKB-6548-CI-0034,NA,NA,NA
NCT03456258,org_study_id,Ainshams maternity hospital,NA,NA,NA
NCT01071759,org_study_id,EDAH-D-97(P)014A,NA,NA,NA
NCT01071759,secondary_id,EMRP-097-123,Other Identifier,E-DA Hospital,NA
NCT05657821,org_study_id,Indonesia TimurU,NA,NA,NA
NCT00446576,org_study_id,CR005599,NA,NA,NA
NCT02887963,org_study_id,IDA-China-2016,NA,NA,NA
NCT02931071,org_study_id,FANCOSTEM-1,NA,NA,NA
NCT02931071,secondary_id,2011-006197-88,EudraCT Number,NA,NA
NCT02064426,org_study_id,16209,NA,NA,NA
NCT01975818,org_study_id,16208,NA,NA,NA
NCT06252103,org_study_id,FMASU MS298/2023,NA,NA,NA
NCT06366698,org_study_id,23-55,NA,NA,NA
NCT05253781,org_study_id,PACTR202001787519553,NA,NA,NA
NCT05253781,secondary_id,2021-002867-23,EudraCT Number,NA,NA
NCT04661865,org_study_id,DSR2020-04-3655,NA,NA,NA
NCT04101461,org_study_id,IDA-Obese,NA,NA,NA
NCT03975894,org_study_id,TAPS2version3,NA,NA,NA
NCT03071666,org_study_id,CISMAC-B12,NA,NA,NA
NCT03071666,secondary_id,Universal Trial Number,Registry Identifier,U1111-1183-4093,NA
NCT01155388,org_study_id,AMAG-FER-CKD-252,NA,NA,NA
NCT02101086,org_study_id,Ankara University-06,NA,NA,NA
NCT03461146,org_study_id,MT-6548-J04,NA,NA,NA
NCT03054337,org_study_id,AKB-6548-CI-0021,NA,NA,NA
NCT02648347,org_study_id,AKB-6548-CI-0014,NA,NA,NA
NCT02648347,secondary_id,2015-004265-81,EudraCT Number,NA,NA
NCT00586274,org_study_id,H-11428,NA,NA,NA
NCT01813682,org_study_id,eoitopia,NA,NA,NA
NCT03522428,org_study_id,dupin,NA,NA,NA
NCT02969655,org_study_id,201754,NA,NA,NA
NCT00576602,org_study_id,MH21299,NA,NA,NA
NCT01221844,org_study_id,RP2010,NA,NA,NA
NCT03873571,org_study_id,2019-IRPS-EL-96,NA,NA,NA
NCT06045052,org_study_id,FANCREV,NA,NA,NA
NCT04925011,org_study_id,Roxadustat for pediatric CKD,NA,NA,NA
NCT04248439,org_study_id,RP-L102-0319,NA,NA,NA
NCT04885647,org_study_id,TB1901EPO,NA,NA,NA
NCT01244763,org_study_id,FGCL-4592-041,NA,NA,NA
