nct_id,affiliation
NCT05970172,"Astellas Pharma Global Development, Inc."
NCT03392298,"the first affiliated hospital of Guangzhou University of Chinese Medicine, Guangzhou"
NCT00462384,Hoffmann-La Roche
NCT01543477,Pfizer
NCT01062958,Women's Clinic Shoals
NCT00964691,NA
NCT04248439,Stanford University
NCT04248439,University of Minnesota
NCT00364845,Amgen
NCT00609544,Regeneron Pharmaceuticals
NCT01555255,"Foundation for Innovative New Diagnostics, Kampala, Uganda"
NCT01555255,"IRSS, Direction Regionale de l'Ouest, Bobo-Dioulasso, Burkina Faso"
NCT01555255,"Foundation for Innovative New Diagnostics, Geneva, Switzerland"
NCT01555255,"UNICEF/UNDP/World Bank/WHO Special Programme for Research and Training in Tropical Diseases (TDR), Geneva, Switzerland"
NCT01555255,"Makerere University Faculty of Medicine, Kampala, Uganda"
NCT01555515,"Tel Aviv Sourasky Medical Center, Tel Aviv, Israel"
NCT05356325,Maimónides Biomedical Research Institute of Córdoba
NCT00337935,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C."
NCT00642967,Hoffmann-La Roche
NCT02268994,Denver Nephrology
NCT02268994,Division of Nephrology at Stanford University School of Medicine
NCT02268994,Kidney Disease and Hypertension at North Shore University Hospital/Long Island Jewish Medical Center
NCT03251664,Tehran University of Medical Sciences
NCT03476330,Cincinnati Children's Hosptial Medical Center
NCT00442793,Hoffmann-La Roche
NCT06252103,faculty of medicine Ain shams university
NCT05082584,Akebia Therapeutics Inc.
NCT02689206,GlaxoSmithKline
NCT03206086,"National Heart, Lung, and Blood Institute (NHLBI)"
NCT03975894,Guy's and St Thomas' NHS Foundation Trust
NCT00970866,UC Davis
NCT00970866,+233 21 513294
NCT00970866,"University of Ghana, Legon"
NCT00970866,"University of California, Davis"
NCT00479115,"Children's Hospital Medical Center, Cincinnati"
NCT03398824,Boston Children's Hospital
NCT00925587,Amgen
NCT01795131,"International Centre for Diarrhoeal Disease Research, Bangladesh"
NCT03461146,Mitsubishi Tanabe Pharma Corporation
NCT01001598,Boston Children's Hospital
NCT01665378,Emory University
NCT01666249,Azidus Brasil Scientific Research and Development Ltda
NCT01221844,"Clinica Fabia Mater, Via Olevano Romano 25, Rome (Italy)"
NCT01719146,University of Louisville
NCT03836703,AinShams U
NCT05687149,National Cancer Institute (NCI)
NCT06234332,Peking University
NCT03475342,"Clinical Trials Unit, London School of Hygiene and Tropical Medicine"
NCT03475342,"Clinical Trials Unit, London School of Hygiene and Tropical Medicine"
NCT03475342,"National Coordinating Investigator, Shifa Tameer-e-Millat University, Pakistan"
NCT03475342,"National Coordinating Investigator, College of Medicine, University of Ibadan, Nigeria"
NCT03475342,"National Coordinating Investigator, University of Zambia School of Medicine, Zambia"
NCT03475342,"National Coordinating Investigator, Muhimbili University of Health and Allied Sciences, Tanzania"
NCT03475342,"National Coordinating Investigator, College of Medicine, University of Ibadan, Nigeria"
NCT05543499,University of Miami
NCT00422513,Hoffmann-La Roche
NCT05157828,University of Cape Town
NCT02221752,Peking University First Hospital
NCT04975074,Shengjing Hospital of CMU
NCT04069533,Hospital Infantil Universitario Niño Jesús (HIUNJ)
NCT03814408,"Stanford University, Stem Cell Transplantation and Regenerative Medicine"
NCT04976179,"College of Medicine, University of Lagos, Idi-araba, Nigeria"
NCT01695759,Blau Farmaceutica S.A.
NCT05804071,Qianfoshan Hospital
NCT05062044,"Federal State Budgetary Institution ""National Medical Research Center for Obstetrics, Gynecology and Perinatology named after Academician V.I. Kulakov"" Ministry of Health of the Russian Federation."
NCT03409107,GlaxoSmithKline
NCT02876835,GlaxoSmithKline
NCT01083888,Astellas Pharma Inc
NCT03481790,Ain Shams Maternity Hospital
NCT03961074,West China Hospital
NCT02817555,"Eastern Health, Canada"
NCT06016036,Guangdong Provincial People's Hospital
NCT00236977,"American Regent, Inc."
NCT00746551,"Obstetrics and Gynecology Department, Faculty of Medicine Siriraj Hosptial, Mahidol University"
NCT05462704,Women and Infants Hospital of Rhode Island
NCT04228627,"Services Institute of Medical Sciences, Pakistan"
NCT03562143,Icahn School of Medicine at Mount Sinai
NCT01422824,Hoffmann-La Roche
NCT00354341,unaffliated
NCT00630253,"Masonic Cancer Center, University of Minnesota"
NCT03725150,The Royal Wolverhampton NHS Trust
NCT06176105,Jon J van Rood Center for Clinical Transfusion Research
NCT05545527,Thomas Jefferson University
NCT05504863,Thomas Jefferson University
NCT05358509,Thomas Jefferson University
NCT03439137,Mitsubishi Tanabe Pharma Corporation
NCT03402386,Mitsubishi Tanabe Pharma Corporation
NCT03329196,Mitsubishi Tanabe Pharma Corporation
NCT01763242,"Western Health, Australia"
NCT01193192,Norman Regional Health System
NCT01768351,NA
NCT02038023,Auerbach Hematology Oncology
NCT03428594,"Asan Medical Center, College of Medicine, Univ. of Ulsan"
NCT04029142,Frauenklinik Universitätsspital Basel
NCT02625844,Hoffmann-La Roche
NCT03214627,King's College Hospital NHS Trust
NCT05143021,Vanderbilt University Medical Center
NCT06261398,Ohio State University
NCT06261398,Ohio State University
NCT01115478,Harvard School of Public Health (HSPH)
NCT01115478,Muhimbili University of Health and Allied Sciences
NCT02959125,Semarang Health Polytechnic
NCT01813682,Shanghai jiaotong university affiliated xinhua hospital
NCT01119612,Harvard School of Public Health (HSPH)
NCT01119612,Muhimbili University of Health and Allied Sciences
NCT06220461,University of Calgary
NCT03140722,Sponsor GmbH
NCT05745883,Disc Medicine
NCT01131624,University of Zurich
NCT01136850,University of Melbourne
NCT01832688,"University of California, Davis"
NCT05725278,Network for Engineering and Economics Research and Management
NCT03361124,Penn State College of Medicine
NCT02185911,Amgen
NCT01888445,Astellas Pharma Inc
NCT03317210,University of Zurich
NCT01183572,Harvard School of Public Health (HSPH)
NCT01183572,Ifakara Health Institute
NCT00352976,University of Minnesota Medical Center
NCT00318812,Ottawa Hospital Research Institute
NCT02191527,Elizabeth Glaser Pediatric AIDS Foundation
NCT02191527,"Instituto Nacional de Saúde, Mozambique"
NCT02191683,"National Institute for Medical Research, Tanzania"
NCT05910853,Sanguine Biosciences
NCT05251493,Saskatchewan Health Authority - Regina Area
NCT02865850,Akebia Therapeutics Inc.
NCT00701714,Hexal AG
NCT02840292,Lady Hardinge Medical College
NCT02840292,Lady Hardinge Medical College
NCT02228655,Beth Israel Deaconess Medical Center
NCT04410198,FibroGen
NCT04594070,UTMB
NCT01379963,Hoffmann-La Roche
NCT01964196,Astellas Pharma Inc
NCT05496400,"Faculty of medicine, Alexandria University, Egypt"
NCT05496400,"Faculty of medicine, Alexandria University, Egypt"
NCT03287882,Aga Khan University
NCT03558464,GroundWork
NCT03157804,CIEMAT/CIBERER/IIS.FJD
NCT02779764,Astellas Pharma Inc
NCT04414527,University of Ghent
NCT04414527,University of Ghent
NCT04414527,University of Ghent
NCT02743572,Shanghai jiaotong university affiliated xinhua hospital
NCT02680574,Akebia Therapeutics Inc.
NCT00317876,Fred Hutchinson Cancer Center
NCT03565198,CAMC
NCT02005588,Cairo University
NCT02780726,Astellas Pharma Inc
NCT03643601,Astellas Pharma a/s
NCT02021409,Bayer
NCT01903148,Hospital Bellvitge
NCT01903148,Hospital Clinic of Barcelona
NCT02940860,Pharmacosmos A/S
NCT00005898,"Masonic Cancer Center, University of Minnesota"
NCT04810546,University of Illinois at Chicago
NCT00005896,"Masonic Cancer Center, University of Minnesota"
NCT04509375,Hacettepe University
NCT04509375,Hacettepe University
NCT04509375,Hacettepe University
NCT00559273,Hoffmann-La Roche
NCT00660933,"Servei de Medicina Maternofetal. Institut de Ginecologia, Obstetrícia i Neonatología. Hospital Clínic. Universitat de Barcelona"
NCT00006127,Dana-Farber Cancer Institute
NCT00436748,Amgen
NCT03792464,"Department of Obsterics, University Hospital of Basel"
NCT05739097,CSS
NCT03922087,School of Public Health of Sun Yat-sen University
NCT00005891,Fairview University Medical Center
NCT05576207,Johns Hopkins University
NCT05951192,US Renal Care
NCT05312814,The Fetal Institute
NCT05262634,"Women's Clinic, University Hospital Basel"
NCT05262634,"Women's Clinic, University Hospital Basel"
NCT03242967,Sponsor GmbH
NCT00118027,"Ministry of Health, Uganda"
NCT02378662,Medgenics Medical Israel Ltd.
NCT01381094,Akebia Therapeutics Inc.
NCT04959578,Sir Ganga Ram Hospital
NCT01235936,Akebia Therapeutics Inc.
NCT03799627,Akebia Therapeutics Inc.
NCT00046969,Martin-Luther-Universität Halle-Wittenberg
NCT02780141,Astellas Pharma Inc
NCT02829320,GlaxoSmithKline
NCT03188445,Pharmacosmos A/S
NCT04649411,Akebia Therapeutics Inc.
NCT02127905,"Children's Hospital Los Angeles, University of Southern California"
NCT02136563,Niigata University Graduate School of Medicine
NCT01146574,Celgene Corporation
NCT04522375,Foresee Pharmaceuticals
NCT00687258,Nephrology and Dialysis Department - A. Manzoni Hospital
NCT03171909,"Department of Obstetrics and Gynecology, Medical University of Graz, Austria"
NCT01358552,"Noe Lira, M.D."
NCT02190565,"Karolinska Institutet, Stockholm, Sweden"
NCT00922610,Hoffmann-La Roche
NCT04707768,Akebia Therapeutics Inc.
NCT01940484,Hoffmann-La Roche
NCT00258427,"Masonic Cancer Center, University of Minnesota"
NCT00595127,Memorial Sloan Kettering Cancer Center
NCT01887600,Astellas Pharma Europe B.V.
NCT02366325,Changzheng Hospital
NCT01587924,GlaxoSmithKline
NCT00132535,Uganda AIDS Commission
NCT01071239,Medical College of Wisconsin
NCT00081471,Hoffmann-La Roche
NCT02879305,GlaxoSmithKline
NCT01121237,Hexal AG
NCT06125860,Harvard School of Public Health (HSPH)
NCT06125860,Addis Continental Institute of Public Health
NCT02468414,Medgenics Medical Israel Ltd.
NCT02611856,Assistance Publique - Hôpitaux de Paris
NCT02762773,University Hospitals Cleveland Medical Center
NCT02762773,University Hospitals Cleveland Medical Center
NCT01232387,Icahn School of Medicine at Mount Sinai
NCT00167388,University of Pittsburgh
NCT02128074,The Barzilai Medical Center
NCT00413101,Hoffmann-La Roche
NCT05752955,University of Oxford
NCT03438227,Indiana University
NCT04484857,FibroGen
NCT04093986,"Children's Hospital Medical Center, Cincinnati"
NCT00148629,Cornell University
NCT00148629,The Johns Hopkins Bloomberg School of Public Health
NCT00717366,Hoffmann-La Roche
NCT03378791,"Faculty of Medicine, Mansoura University"
NCT03378791,Mansoura University Hospital
NCT03374111,the first affiliated hospital of Guangzhou University of Chinese Medicine ， Guangzhou
NCT02678533,"AP-HP, Necker hospital"
NCT00590460,Baylor College of Medicine
NCT00272857,"Children's Hospital Medical Center, Cincinnati"
NCT02586402,Changzheng Hospital
NCT00399269,"IKDRC, Civil Hospital, Ahmedabad"
NCT00399269,"IKDRC, Civil Hospital, Ahmedabad"
NCT00399269,Muljibhai Patel Urological Hospital
NCT00399269,"Gujarat Kidney Foundation, Ahmedabad"
NCT00399269,"Anandabawa Kidney Dialysis Center, Jamnagar"
NCT00399269,"Apollo Hospitals, Ahmedabad"
NCT03122938,Zhejiang University
NCT03351868,Shenzhen Geno-Immune Medical Institute
NCT03351868,Capital Institute of Pediatrics affiliated Children's hospital
NCT03351868,Beijing Children's Hospital
NCT01191983,Hoffmann-La Roche
NCT00121602,Amgen
NCT00312871,Janssen Cilag S.A.S.
NCT00440557,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C."
NCT03818867,St George's NHS Healthcare Trust
NCT01720147,"Children's Hospital Medical Center, Cincinnati"
NCT05921968,Department of Clinical Pharmacy
NCT03054350,Sponsor GmbH
NCT00432367,"School of Medical Sciences, KNUST, Kumasi, Ghana"
NCT00432367,London School of Hygiene and Tropical Medicine
NCT00432367,London School of Hygiene and Tropical Medicine
NCT00432367,London School of Hygiene and Tropical Medicine
NCT00432367,"School of Medical Sciences, KNUST, Kumasi, Ghana"
NCT00111995,Amgen
NCT00116493,Johns Hopkins Bloomberg School of Public Health
NCT03347513,Cairo University
NCT04502537,Shenzhen Second People's Hospital
NCT03759353,G Darwish
NCT00494416,Laboratoire National de Sante Publique
NCT02952092,Astellas Pharma Inc
NCT00140517,Laboratoire National de Sante Publique
NCT04517734,Cornell University
NCT04517734,"University of California, Los Angeles"
NCT05598515,"Children's Hospital Medical Center, Cincinnati"
NCT05035641,Kind Pharmaceuticals LLC
NCT00896740,OHSU Knight Cancer Institute
NCT05515367,Zydus Therapeutics Inc.
NCT02968368,Shield Therapeutics
NCT00953134,The Hospital for Sick Children
NCT00004464,Johns Hopkins University
NCT02487719,"University Hospital Zurich, Div. of Obstetrics"
NCT03202615,personal
NCT00929409,Norwegian University of Science and Technology
NCT01055431,Manchester Metropolitan University
NCT00182390,McMaster University
NCT00182390,Dalhousie University
NCT00182390,McMaster University
NCT00182390,Sunnybrook & Women's College Health Sciences Centre
NCT00182390,Mercy Hospital for Women
NCT00182390,McMaster University
NCT00182390,McMaster University
NCT03196882,"Institut d'Investigació en Atenció Primària, IDIAP Jordi Gol i Gurina, Catalonia, Spain - Nutrition and Public Health Unit, Rovira i Virgili University"
NCT02439697,"Queen Mary Hosptial, the University of Hong KOng"
NCT02439697,"Queen Mary Hospital, the University of Hong Kong"
NCT02444845,Hoffmann-La Roche
NCT03775954,Medical College of Wisconsin
NCT03579875,"Masonic Cancer Center, University of Minnesota"
NCT03400033,GlaxoSmithKline
NCT03830034,Ain Shams University
NCT03175042,UTMB
NCT03175042,UTMB
NCT00210743,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C."
NCT00243399,"Children's Hospital Medical Center, Cincinnati"
NCT01393496,University Hospital of Tuebingen
NCT00563446,"Division of Nephrology, Medicine & Geriatrics, Princess Margaret Hospital"
NCT04784052,Stanford University
NCT00236964,Medical Director
NCT00258024,"Dept. Community Health, School of Health Sciences, Kumasi University"
NCT02892149,Akebia Therapeutics Inc.
NCT02341300,New York Presbyterian Hospital Weill Cornell
NCT03552393,Hoffmann-La Roche
NCT04708665,Boston University
NCT04486456,The First Affiliated Hospital of Peking University
NCT00271089,"Children's Hospital Medical Center, Cincinnati"
NCT04543812,"Department of Internal Medicine, Taipei Medical University-Shuang Ho Hospital"
NCT04253626,Stanford University
NCT03029208,GlaxoSmithKline
NCT02260193,Akebia Therapeutics Inc.
NCT05699109,"Faculty of Pharmacy, Helwan University"
NCT05699109,"Faculty of Pharmacy, Helwan University"
NCT05699109,"Faculty of Medicine, Al Azhar University"
NCT05265325,Kind Pharmaceuticals LLC
NCT03176147,CHU de Clermont-Ferrand
NCT02079896,TME Pharma AG
NCT02086838,AinShams University
NCT02086838,AinShams University
NCT02086838,AinShams University
NCT02086838,El Galaa Teaching Hospital
NCT04655027,"Peking Union Medical College Hospital (Dongdan campus) No.1 Shuaifuyuan Wangfujing Dongcheng District Beijing, China 100730"
NCT05900635,Alexandria University
NCT05900635,Alexandria University
NCT05900635,Alexandria University
NCT05900635,Alexandria University
NCT00327639,"University Health Network, Toronto General Hospital"
NCT05253781,"College of Medicine, University of Lagos"
NCT00307814,"Ortho Biotech Products, L.P."
NCT02648347,Akebia Therapeutics Inc.
NCT04925011,"Children's Hospital, Zhejiang University School of Medicine"
NCT05590260,"Thomas Jefferson University, Philadelphia, PA"
NCT05082571,Akebia Therapeutics Inc.
NCT02278341,Astellas Pharma Europe B.V.
NCT01902628,Hoffmann-La Roche
NCT02075463,GlaxoSmithKline
NCT02957643,"Aristotle University Of Thessaloniki, School of Medicine"
NCT02957643,"Aristotle University Of Thessaloniki, School of Medicine"
NCT00338468,"Ortho Biotech Products, L.P."
NCT01977573,GlaxoSmithKline
NCT01587898,GlaxoSmithKline
NCT02174627,"Chief Division of Kidney Diseases and Hypertension, North Shore University Hospital, Great Neck, NY, USA"
NCT02174627,"AZ R&D Gaithersburg, USA"
NCT03574506,Fundacion GRICIO
NCT02021318,Astellas Pharma Europe B.V.
NCT04045002,Dr
NCT01977482,GlaxoSmithKline
NCT02019719,GlaxoSmithKline
NCT00463632,The National Schistosomiasis Control Program Burkina Faso
NCT00752609,Takeda
NCT00782912,Unity Health Toronto
NCT00439595,London School of Hygiene and Tropical Medicine
NCT03279536,WHH
NCT01245777,"University Hospital Zurich, Neurology"
NCT01245777,"Neuroenter of Southern Switzerland, Ospedale Civico, Lugano"
