doi,OA_color,issn,journal,publisher,date
10.5539/gjhs.v7n6p226,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-04-19
10.1016/S2214-109X(22)00432-6,closed,2214-109X,The Lancet Global Health,Elsevier BV,2022-12-01
10.1080/17441692.2022.2125998,green,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2022-10-02
10.1186/s12992-022-00819-3,gold,1744-8603,Globalization and Health,Springer Science and Business Media LLC,2022-03-05
10.1016/S2214-109X(23)00204-8,gold,2214-109X,The Lancet Global Health,Elsevier BV,2023-08-01
10.1136/bmjgh-2023-012633,gold,2059-7908,BMJ Global Health,BMJ,2023-10-01
10.1136/bmjgh-2023-012613,gold,2059-7908,BMJ Global Health,BMJ,2023-10-01
10.5539/gjhs.v6n6p281,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-09-23
10.1371/journal.pgph.0001947,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-06-16
10.5334/aogh.2496,gold,2214-9996,Annals of Global Health,"Ubiquity Press, Ltd.",2019-07-12
10.5539/gjhs.v5n4p217,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2013-06-17
10.1186/s12992-023-00970-5,gold,1744-8603,Globalization and Health,Springer Science and Business Media LLC,2023-09-18
10.1186/s41256-018-0090-y,gold,2397-0642,Global Health Research and Policy,Springer Science and Business Media LLC,2018-12-01
10.7189/jogh.09.010431,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2019-05-12
10.1016/S2214-109X(21)00309-0,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-10-01
10.1136/bmjgh-2020-004328,gold,2059-7908,BMJ Global Health,BMJ,2021-05-01
10.5539/gjhs.v6n6p144,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-07-29
10.1016/S2214-109X(23)00436-9,gold,2214-109X,The Lancet Global Health,Elsevier BV,2023-12-01
10.1136/bmjgh-2020-004596,gold,2059-7908,BMJ Global Health,BMJ,2021-10-01
10.1371/journal.pgph.0000493,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-03-13
10.1136/bmjgh-2021-008024,gold,2059-7908,BMJ Global Health,BMJ,2022-05-01
10.1136/bmjgh-2020-004555,gold,2059-7908,BMJ Global Health,BMJ,2021-07-01
10.5539/gjhs.v7n3p37,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-10-29
10.1016/S2214-109X(21)00557-X,closed,2214-109X,The Lancet Global Health,Elsevier BV,2022-02-01
10.1016/S2214-109X(21)00492-7,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-12-01
10.1136/bmjgh-2022-008909,gold,2059-7908,BMJ Global Health,BMJ,2022-07-01
10.1016/S2214-109X(21)00596-9,gold,2214-109X,The Lancet Global Health,Elsevier BV,2022-04-01
10.5539/gjhs.v13n6p69,gold,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2021-05-08
10.5539/gjhs.v7n3p161,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-11-26
10.1016/S2214-109X(23)00256-5,gold,2214-109X,The Lancet Global Health,Elsevier BV,2023-08-01
10.1136/bmjgh-2021-007862,gold,2059-7908,BMJ Global Health,BMJ,2022-04-01
10.1136/bmjgh-2016-000177,gold,2059-7908,BMJ Global Health,BMJ,2017-03-01
10.1017/gmh.2015.12,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2015-01-01
10.1016/S2214-109X(21)00409-5,green,2214-109X,The Lancet Global Health,Elsevier BV,2022-01-01
10.5539/gjhs.v5n2p13,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2012-11-22
10.1371/journal.pgph.0002544,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-11-08
10.5539/gjhs.v6n6p252,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-08-15
10.5539/gjhs.v5n3p69,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2013-02-04
10.1155/2023/4295613,gold,2054-4200,Global Health,Hindawi Limited,2023-03-31
10.5539/gjhs.v8n4p120,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-08-02
10.5539/gjhs.v6n4p292,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-05-28
10.7189/jogh.12.04073,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2022-12-29
10.1371/journal.pgph.0000204,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-02-23
10.1371/journal.pgph.0001129,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-10-27
10.1177/2333794X221099266,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2022-01-01
10.1016/S2214-109X(22)00466-1,gold,2214-109X,The Lancet Global Health,Elsevier BV,2023-01-01
10.1136/bmjgh-2021-007206,gold,2059-7908,BMJ Global Health,BMJ,2022-09-01
10.1371/journal.pgph.0002559,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-11-15
10.5539/gjhs.v5n1p150,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2012-11-11
10.1016/S2214-109X(21)00346-6,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-11-01
10.5539/gjhs.v6n7p144,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-09-18
10.7189/jogh.13.04012,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2023-01-20
10.1016/S2214-109X(17)30217-6,gold,2214-109X,The Lancet Global Health,Elsevier BV,2017-07-01
10.1016/S2214-109X(21)00448-4,gold,2214-109X,The Lancet Global Health,Elsevier BV,2022-01-01
10.1016/S2214-109X(21)00497-6,green,2214-109X,The Lancet Global Health,Elsevier BV,2022-02-01
10.1371/journal.pgph.0000425,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-05-02
10.1016/S2214-109X(21)00458-7,gold,2214-109X,The Lancet Global Health,Elsevier BV,2022-01-01
10.5539/gjhs.v7n1p203,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-08-31
10.1017/gmh.2022.39,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2022-01-01
10.1136/bmjgh-2021-006405,gold,2059-7908,BMJ Global Health,BMJ,2022-01-01
10.7189/jogh.11.04045,,,,,
10.1016/S2214-109X(22)00312-6,green,2214-109X,The Lancet Global Health,Elsevier BV,2022-10-01
10.1136/bmjgh-2022-008838,gold,2059-7908,BMJ Global Health,BMJ,2022-07-01
10.1136/bmjgh-2021-006845,gold,2059-7908,BMJ Global Health,BMJ,2022-01-01
10.1016/S2214-109X(22)00117-6,gold,2214-109X,The Lancet Global Health,Elsevier BV,2022-06-01
10.1136/bmjgh-2017-000680,gold,2059-7908,BMJ Global Health,BMJ,2020-09-01
10.1016/S2214-109X(22)00544-7,gold,2214-109X,The Lancet Global Health,Elsevier BV,2023-03-01
10.7189/jogh.11.04064,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2021-10-09
10.1080/16549716.2022.2057644,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2022-04-20
10.1177/1757975918785563,closed,"1757-9759,1757-9767",Global Health Promotion,SAGE Publications,2018-10-04
10.7189/jogh.12.04007,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2022-02-05
10.1371/journal.pgph.0001801,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-06-16
10.1136/bmjgh-2022-010370,gold,2059-7908,BMJ Global Health,BMJ,2023-05-01
10.1136/bmjgh-2021-006084,gold,2059-7908,BMJ Global Health,BMJ,2021-06-01
10.1136/bmjgh-2022-010000,gold,2059-7908,BMJ Global Health,BMJ,2022-11-01
10.1371/journal.pgph.0001545,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-07-12
10.1371/journal.pgph.0001166,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-10-14
10.5539/gjhs.v7n6p108,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-04-03
10.1136/bmjgh-2022-011071,gold,2059-7908,BMJ Global Health,BMJ,2023-03-01
10.1371/journal.pgph.0000056,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-01-07
10.1016/S2214-109X(22)00184-X,gold,2214-109X,The Lancet Global Health,Elsevier BV,2022-07-01
10.5539/gjhs.v8n1p150,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-05-17
10.1371/journal.pgph.0000286,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-05-20
10.1017/gmh.2022.54,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2022-01-01
10.1371/journal.pgph.0000689,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-03-07
10.1177/2333794X231156055,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2023-01-01
10.1017/gmh.2023.37,gold,2054-4251,Cambridge Prisms: Global Mental Health,Cambridge University Press (CUP),2023-01-01
10.1177/2333794X211022238,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2021-01-01
10.1136/bmjgh-2019-001399,gold,2059-7908,BMJ Global Health,BMJ,2019-07-01
10.1080/16549716.2022.2160543,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2023-01-25
10.1136/bmjgh-2022-010934,gold,2059-7908,BMJ Global Health,BMJ,2023-04-01
10.1371/journal.pgph.0001189,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-12-09
10.7189/jogh.12.04053,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2022-08-17
10.5539/gjhs.v6n1p207,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2013-12-19
10.1080/16549716.2021.1940761,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2021-01-01
10.1177/2333794X231152116,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2023-01-01
10.7189/jogh.13.04022,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2023-02-03
10.5539/gjhs.v6n2p196,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-01-20
10.1017/gmh.2023.67,gold,2054-4251,Cambridge Prisms: Global Mental Health,Cambridge University Press (CUP),2023-01-01
10.1016/S2214-109X(18)30520-5,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-03-01
10.1371/journal.pgph.0001196,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-10-24
10.1371/journal.pgph.0001308,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-12-20
10.1017/gmh.2022.41,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2022-01-01
10.1371/journal.pgph.0001206,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-11-04
10.7189/jogh.12.04102,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2022-12-29
10.7189/jogh.12.04003,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2022-02-05
10.1371/journal.pgph.0000344,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-11-02
10.7189/jogh.12.04042,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2022-05-21
10.1016/S2214-109X(23)00347-9,green,2214-109X,The Lancet Global Health,Elsevier BV,2023-10-01
10.7189/jogh.13.04047,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2023-04-21
10.1017/gmh.2019.15,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2019-01-01
10.5539/gjhs.v8n9p91,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2016-01-04
10.7189/jogh.13.04133,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2023-10-27
10.1371/journal.pgph.0001648,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-07-20
10.1371/journal.pgph.0001009,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-05-15
10.1371/journal.pgph.0001092,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-02-15
10.1016/S2214-109X(22)00498-3,gold,2214-109X,The Lancet Global Health,Elsevier BV,2023-02-01
10.1371/journal.pgph.0000910,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-12-11
10.1371/journal.pgph.0001813,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-12-05
10.1371/journal.pgph.0002050,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-09-19
10.7189/jogh.13.04017,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2023-02-03
10.1371/journal.pgph.0001765,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-04-19
10.1016/S2214-109X(19)30534-0,gold,2214-109X,The Lancet Global Health,Elsevier BV,2020-02-01
10.1080/17441692.2019.1632368,hybrid,"1744-1692,1744-1706",Global Public Health,Informa UK Limited,2019-06-25
10.1016/S2214-109X(21)00565-9,gold,2214-109X,The Lancet Global Health,Elsevier BV,2022-03-01
10.1016/S2214-109X(19)30393-6,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-11-01
10.1186/s41256-021-00224-0,gold,2397-0642,Global Health Research and Policy,Springer Science and Business Media LLC,2021-10-15
10.1017/gmh.2023.51,gold,2054-4251,Cambridge Prisms: Global Mental Health,Cambridge University Press (CUP),2023-01-01
10.5539/gjhs.v8n6p219,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-11-17
10.1136/bmjgh-2023-012606,gold,2059-7908,BMJ Global Health,BMJ,2023-11-01
10.5539/gjhs.v7n5p359,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-06-09
10.1017/gmh.2023.81,gold,2054-4251,Cambridge Prisms: Global Mental Health,Cambridge University Press (CUP),2023-01-01
10.1016/S2214-109X(19)30079-8,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-07-01
10.1186/s12992-014-0083-7,gold,1744-8603,Globalization and Health,Springer Science and Business Media LLC,2014-12-01
10.3402/gha.v6i0.20993,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2013-07-17
10.1016/S2214-109X(21)00391-0,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-12-01
10.1136/bmjgh-2018-000983,gold,2059-7908,BMJ Global Health,BMJ,2018-12-01
10.5539/gjhs.v8n10p112,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2016-02-24
10.1016/S2214-109X(20)30312-0,gold,2214-109X,The Lancet Global Health,Elsevier BV,2020-11-01
10.5539/gjhs.v8n8p114,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-12-18
10.5539/gjhs.v8n8p74,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-12-18
10.1016/S2214-109X(21)00347-8,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-11-01
10.1177/2333794X19857402,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2019-01-01
10.1136/bmjgh-2018-000888,gold,2059-7908,BMJ Global Health,BMJ,2018-10-01
10.1136/bmjgh-2017-000577,gold,2059-7908,BMJ Global Health,BMJ,2018-02-01
10.1016/S2214-109X(21)00348-X,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-11-01
10.1016/S2214-109X(18)30111-6,gold,2214-109X,The Lancet Global Health,Elsevier BV,2018-05-01
10.5539/gjhs.v7n4p375,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-01-26
10.5539/gjhs.v8n2p230,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-06-25
10.1136/bmjgh-2020-003508,gold,2059-7908,BMJ Global Health,BMJ,2021-01-01
10.1016/S2214-109X(23)00271-1,gold,2214-109X,The Lancet Global Health,Elsevier BV,2023-08-01
10.1136/bmjgh-2021-005757,gold,2059-7908,BMJ Global Health,BMJ,2021-05-01
10.5539/gjhs.v6n6p19,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-06-25
10.1016/S2214-109X(21)00002-4,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-04-01
10.1016/S2214-109X(21)00228-X,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-09-01
10.1016/S2214-109X(21)00039-5,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-05-01
10.1016/S2214-109X(19)30336-5,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-09-01
10.5539/gjhs.v7n4p40,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-12-17
10.1136/bmjgh-2020-002439,gold,2059-7908,BMJ Global Health,BMJ,2020-12-01
10.5539/gjhs.v7n6p129,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-04-03
10.5539/gjhs.v4n2p110,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2012-02-29
10.1371/journal.pgph.0000852,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2022-08-11
10.1371/journal.pgph.0001696,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2023-07-06
10.1136/bmjgh-2019-002091,gold,2059-7908,BMJ Global Health,BMJ,2020-07-01
10.5539/gjhs.v7n1p235,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-08-31
10.1177/2333794X16636613,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2016-01-01
10.5539/gjhs.v8n3p230,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-08-06
10.1136/bmjgh-2021-007205,gold,2059-7908,BMJ Global Health,BMJ,2021-11-01
10.1136/bmjgh-2018-001232,gold,2059-7908,BMJ Global Health,BMJ,2019-04-01
10.1136/bmjgh-2020-003357,gold,2059-7908,BMJ Global Health,BMJ,2021-01-01
10.5539/gjhs.v8n10p295,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2016-03-20
10.1017/gmh.2021.15,gold,2054-4251,Global Mental Health,Cambridge University Press (CUP),2021-01-01
10.1177/2333794X21999144,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2021-01-01
10.1136/bmjgh-2018-000907,gold,2059-7908,BMJ Global Health,BMJ,2018-10-01
10.5539/gjhs.v7n4p243,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-01-14
10.5539/gjhs.v6n6p209,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-07-29
10.1177/2333794X17694231,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2017-01-01
10.1080/16549716.2020.1836604,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2020-11-03
10.1136/bmjgh-2020-004269,gold,2059-7908,BMJ Global Health,BMJ,2021-07-01
10.1177/2333794X20954332,gold,"2333-794X,2333-794X",Global Pediatric Health,SAGE Publications,2020-01-01
10.7189/jogh.11.04034,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2021-06-05
10.7189/jogh.11.04063,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2021-10-30
10.5539/gjhs.v8n4p142,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-08-06
10.1016/S2214-109X(19)30345-6,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-10-01
10.1080/16549716.2019.1609297,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2019-01-01
10.5539/gjhs.v7n4p399,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-01-27
10.1080/16549716.2019.1711336,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2020-01-14
10.1136/bmjgh-2020-003378,gold,2059-7908,BMJ Global Health,BMJ,2020-11-01
10.1080/16549716.2021.1898131,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2021-01-01
10.1016/S2214-109X(21)00175-3,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-07-01
10.1016/S2214-109X(18)30535-7,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-03-01
10.1016/S2214-109X(18)30563-1,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-04-01
10.1371/journal.pgph.0002945,gold,2767-3375,PLOS Global Public Health,Public Library of Science (PLoS),2024-02-23
10.1136/bmjgh-2021-006954,gold,2059-7908,BMJ Global Health,BMJ,2021-11-01
10.1016/S2214-109X(19)30205-0,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-07-01
10.1080/16549716.2020.1829829,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2020-10-19
10.1136/bmjgh-2020-002806,gold,2059-7908,BMJ Global Health,BMJ,2020-11-01
10.1016/S2214-109X(20)30232-1,gold,2214-109X,The Lancet Global Health,Elsevier BV,2020-08-01
10.5539/gjhs.v7n4p358,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-01-26
10.5539/gjhs.v7n3p358,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-04-02
10.5539/gjhs.v7n2p71,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-09-28
10.5539/gjhs.v4n5p14,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2012-06-30
10.5539/gjhs.v5n3p183,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2013-03-20
10.5539/gjhs.v8n5p154,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-09-28
10.3402/gha.v8.24584,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2015-03-31
10.1136/bmjgh-2019-001666,gold,2059-7908,BMJ Global Health,BMJ,2020-01-01
10.5539/gjhs.v6n6p163,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2014-07-29
10.1016/S2214-109X(19)30548-0,gold,2214-109X,The Lancet Global Health,Elsevier BV,2020-03-01
10.5539/gjhs.v8n3p236,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-08-19
10.1016/S2214-109X(20)30389-2,gold,2214-109X,The Lancet Global Health,Elsevier BV,2020-12-01
10.1016/S2214-109X(20)30388-0,gold,2214-109X,The Lancet Global Health,Elsevier BV,2020-12-01
10.1016/S2214-109X(20)30344-2,gold,2214-109X,The Lancet Global Health,Elsevier BV,2020-11-01
10.1080/16549716.2020.1743496,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2020-06-11
10.5539/gjhs.v8n5p19,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-08-23
10.1080/16549716.2019.1670033,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2019-01-01
10.5539/gjhs.v5n1p1,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2012-10-16
10.7189/jogh.10.010414,gold,"2047-2978,2047-2986",Journal of Global Health,International Society of Global Health,2020-05-15
10.7189/jogh.08.010418,gold,"2047-2978,2047-2986",Journal of Global Health,International Global Health Society,2018-04-20
10.5539/gjhs.v7n4p136,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2015-01-01
10.5539/gjhs.v6n1p33,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2013-10-08
10.1016/S2214-109X(19)30317-1,gold,2214-109X,The Lancet Global Health,Elsevier BV,2019-09-01
10.1080/16549716.2019.1612604,gold,"1654-9716,1654-9880",Global Health Action,Informa UK Limited,2019-01-01
10.1016/S2214-109X(21)00499-X,gold,2214-109X,The Lancet Global Health,Elsevier BV,2021-12-01
10.5539/gjhs.v8n10p43,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2016-02-24
10.5539/gjhs.v8n9p183,hybrid,"1916-9744,1916-9736",Global Journal of Health Science,Canadian Center of Science and Education,2016-01-21
