"","article","is_open_data","open_data_category","is_reuse","is_open_code","das","open_data_statements","cas","open_code_statements"
"15","10.1016/S2214-109X(22)00312-6",FALSE,"upon request",FALSE,FALSE,"<section> data sharing second-trimester the datasets used or analysed during the current study are available compared from the corresponding author on reasonable request. the full protocol controlled can be accessed online. piaggio consort acknowledgments randomized the study was funded by the swedish research council jama (dnr 2015–03112) and thrive-2 support a deltas africa grant baine number del-15–011 from the wellcome trust (grant number delivery 107742/z/15/z) and the uk government. uganda.","","",""
"16","10.1016/S2214-109X(23)00052-9",FALSE,"",FALSE,FALSE,"","","",""
"17","10.1016/S2214-109X(23)00204-8",FALSE,"upon request",FALSE,FALSE,"<section> data sharing data will be available from the corresponding author with approval from the collaborating institutions and a signed data transfer agreement from the national institute for medical research tanzania.","","",""
"18","10.1016/S2214-109X(23)00271-1",FALSE,"upon request",FALSE,FALSE,"<section> data sharing deidentified individual data can be made available upon written detailed requests directed to the corresponding author. requests will be reviewed on the basis of scientific merit ethical review legal issues and regulatory requirements.","","",""
"19","10.1016/S2214-109X(23)00347-9",FALSE,"",FALSE,FALSE,"<section> data sharing author the de-identified participant data including reported in this article (texts tables manuscript statistical analysis plan informed consent analysis and observational study analysis further research in this field after signing list the purpose of the study and analysis","","",""
"20","10.1017/gmh.2015.12",FALSE,"re-use",TRUE,FALSE,"","participant baseline characteristics characteristics caregivers mean age ( s d female married or cohabiting christian mean household income last 4 weeks ( s d a mean hours worked in typical week ( s d mean household size ( s d mean number of dependents under 18 ( s d biological caregiver of target child children mean age ( s d female (%) mean sdq conduct ( s d control (n = 135) treatment (n = 135) p value 35.89 (10.80) 0.56 0.90 0.67 29.88 (47.77) 22.54 (20.15) 7.13 (3.87) 3.79 (1.99) 0.84 35.12 (9.69) 0.59 0.90 0.69 27.96 (41.11) 24.14 (19.12) 7.07 (3.15) 3.56 (1.67) 0.83 0.538 0.624 1.000 0.795 0.723 0.504 0.890 0.290 0.871 5.16 (1.23) 0.54 4.99 (1.33) 5.16 (1.06) 0.52 5.17 (1.39) 1.000 0.716 0.284 sdq strengths and diﬃculties questionnaire note. a an exchange rate of 74.2 liberian dollars per $1usd (12 september 2012) was used to convert to usd.","",""
"21","10.1017/gmh.2019.15",FALSE,"upon request",FALSE,FALSE,"","","",""
"22","10.1017/gmh.2021.15",FALSE,"upon request",FALSE,FALSE,"","","",""
"23","10.1017/gmh.2021.27",FALSE,"",FALSE,FALSE,"","","",""
"24","10.1017/gmh.2022.39",FALSE,"",FALSE,FALSE,"","","",""
"25","10.1017/gmh.2022.41",FALSE,"",FALSE,FALSE,"","","",""
"26","10.1017/gmh.2022.54",FALSE,"",FALSE,FALSE,"","","",""
"27","10.1017/gmh.2023.37",FALSE,"upon request",FALSE,FALSE,"<section> data availability statement. the data that support the findings of this study are available from the corresponding author m.c.g. upon reasonable request.","","",""
"28","10.1017/gmh.2023.66",FALSE,"upon request",FALSE,FALSE,"<section> data availability statement. the data that support the findings of this study are available on request from the corresponding author t.d.t. the data are not publicly available due to their containing information that could compromise the privacy of research participants.","","",""
"29","10.1017/gmh.2023.67",FALSE,"upon request",FALSE,FALSE,"<section> data availability are available from acknowledgements.","","",""
"30","10.1017/gmh.2023.81",FALSE,"upon request",FALSE,FALSE,"<section> data availability statement. anonymised participant data data dictionary and case report forms will be made available on datacompass.lshtm.ac.uk by 12 months after trial completion. data will be shared after approval by the corresponding author following a reasonable submitted request. the study protocol and statistical analysis plan are publicly available on clinicaltrials.gov.","","",""
"31","10.1136/bmjgh-2017-000577",FALSE,"",FALSE,FALSE,"<section> data sharing statement the stata dataset containing the baseline and end of intervention surveys are available in the warwick research archive portal (wrap) repository open access this is an open access article distributed in accordance with the terms of the creative commons attribution (cc by 4.0) license which permits others to distribute remix adapt and build upon this work for commercial use provided the original work is properly cited. see: http://creativecommons.org/ licenses/by/4.0/ © article author(s) (or their employer(s) unless otherwise stated in the text of the article) 2018. all rights reserved. no commercial use is permitted unless otherwise expressly granted.","","",""
"32","10.1136/bmjgh-2017-000680",FALSE,"upon request",FALSE,FALSE,"<section> data availability statement the full data set is available from the corresponding author open access this is an open access article distributed in accordance with the creative commons attribution non commercial (cc by-­nc 4.0) license which permits others to distribute remix adapt build upon this work non-­commercially and license their derivative works on different terms provided the original work is properly cited appropriate credit is given any changes made indicated and the use is non-­commercial. see: http://creativecommons.org/licenses/by-nc/4.0/.","","",""
"33","10.1136/bmjgh-2018-000888",FALSE,"upon request",FALSE,FALSE,"<section> data sharing statement data from this manuscript are not available to share at this moment. interested researchers should contact the corresponding author.","","",""
"34","10.1136/bmjgh-2018-000907",FALSE,"upon request",FALSE,FALSE,"","","",""
"35","10.1136/bmjgh-2018-000983",FALSE,"unknown/misspecified source, upon request",FALSE,FALSE,"<section> data sharing statement the data used in this study area available at https:// www.ifpri.org/publications open access this is an open access article distributed in accordance with the creative commons attribution 4.0 unported (cc by 4.0) license which permits others to copy redistribute remix transform and build upon this work for any purpose provided the original work is properly cited a link to the licence is given and indication of whether changes were made. see: http://creativecommons.org/ licenses/by/4.0","<section> data sharing statement the data used in this study area available at https:// <section> www.​ifpri.​org/​publications","",""
"36","10.1136/bmjgh-2018-001232",FALSE,"upon request",FALSE,FALSE,"<section> data sharing statement all available data can be obtained by contacting the corresponding author. all data requests should be submitted to the corresponding author for consideration. access to anonymised data may be granted following review.","","",""
"37","10.1136/bmjgh-2019-001399",FALSE,"upon request",FALSE,FALSE,"<section> data availability statement data are available on reasonable request. <section> open access this is an open access article distributed in accordance with the creative commons attribution non commercial (cc by-nc 4.0) license which permits others to distribute remix adapt build upon this work non-commercially and license their derivative works on different terms provided the original work is properly cited appropriate credit is given any changes made indicated and the use is non-commercial. see: http://​creativecommons.​org/​licenses/​by-​nc/​4.​0/.","","",""
"38","10.1136/bmjgh-2019-002091",FALSE,"upon request",FALSE,FALSE,"<section> data availability statement data are available upon request. the authors will make data available to scientists planning specified and agreed further analyses; for access contact the corresponding author.","","",""
"39","10.1136/bmjgh-2020-002439",FALSE,"upon request",FALSE,FALSE,"<section> data availability statement de-­identified individual participant data are available from the corresponding author but may require permission from the rwandan ministry of gender and family promotion (migeprof) before transfer. data cannot be shared publicly because of the need to ensure that all use complies with the research permit issued by the national institute of statistics rwanda and is approved by the rwandan ministry of gender and family promotion (migeprof).","","",""
"40","10.1136/bmjgh-2020-003357",FALSE,"upon request",FALSE,FALSE,"<section> data availability statement data will be shared contingent on ethical and institutional approvals.","","",""
"41","10.1136/bmjgh-2020-003508",FALSE,"upon request",FALSE,FALSE,"<section> data availability statement data are available on request. data can be made available on request and will be made publicly available via the world bank’s data catalog at a later date.","","",""
"42","10.1136/bmjgh-2020-004269",FALSE,"upon request",FALSE,FALSE,"<section> data availability statement data are available in a public repository: data are available upon request through datacompass.lshtm.ac.uk. the protocol statistical analysis plan and consort checklist are available as online supplementary files.","","",""
"43","10.1136/bmjgh-2020-004328",FALSE,"upon request",FALSE,FALSE,"<section> data availability statement data are available upon request. requests for access to the data should be addressed to the corresponding author.","","",""
"44","10.1136/bmjgh-2020-004555",FALSE,"upon request",FALSE,FALSE,"<section> data availability statement data are available on request. study data in this paper including anonymised individual participant data will be made available upon publication to members of the scientific and medical community for non-­commercial use only. request should be made to the corresponding author. data will be stored in data compass the london school of hygiene and tropical medicine’s digital data repository.","","",""
"45","10.1136/bmjgh-2020-004596",FALSE,"",FALSE,FALSE,"<section> data availability statement all data relevant to the study are included in the article or uploaded as supplemental information.","","",""
"46","10.1136/bmjgh-2021-005599",FALSE,"upon request",FALSE,FALSE,"<section> data availability statement data are available upon request. anonymised participant data that underlie the results reported in this analysis are available on request. proposals should be directed to kwakupoku.asante@kintampo-­hrc.org and to d arby.jack@columbia.edu; to gain access data requestors will need to sign a data access agreement.","","",""
"47","10.1136/bmjgh-2021-005757",FALSE,"upon request, re-use",TRUE,FALSE,"<section> data availability statement data are available on request. anonymised data can be provided on a case-­by-­case basis on request made to the corresponding author for the purpose of future and further research.","<section> “i said okay for everything… our friends told in [name] hospital and other private hospitals it [cooling therapy] will be about inr 400000; in [name] hospital it will be more than inr 1000000 but luckily the bed was available","",""
"48","10.1136/bmjgh-2021-006084",FALSE,"upon request",FALSE,FALSE,"<section> data availability statement data are available upon request. data access for further research can be freely shared with researchers after a formal request through the corresponding author.","","",""
"49","10.1136/bmjgh-2021-006405",FALSE,"upon request",FALSE,FALSE,"<section> data availability statement data are available upon reasonable request. data are available upon request soon after publication.","","",""
"50","10.1136/bmjgh-2021-006845",FALSE,"",FALSE,FALSE,"<section> data availability statement no data are available. not applicable.","","",""
"51","10.1136/bmjgh-2021-007205",FALSE,"upon request",FALSE,FALSE,"<section> data availability statement data are available on reasonable request. investigators agree to share deidentified individual participant data the study protocol statistical analysis plan and analytical code (stata) 6 months after publication and following the completion of a data use agreement. proposals should be directed to info@musohealth.org.","","",""
"52","10.1136/bmjgh-2021-007206",FALSE,"upon request",FALSE,FALSE,"<section> data availability statement data are available upon reasonable request. relevant anonymised individual level data available upon reasonable request.","","",""
"53","10.1136/bmjgh-2021-007862",FALSE,"upon request, unknown/misspecified source",FALSE,FALSE,"<section> data availability statement data are available upon reasonable request. data underlying the study cannot be made publicly available due to ethical restrictions. however deidentified data will be freely available to researchers upon signing a data use agreement with the collaborating organisation (population services international) that includes confidentiality policies. requests for data should be submitted to wheeler@psi.org.","","",""
"54","10.1136/bmjgh-2021-008024",FALSE,"upon request",FALSE,FALSE,"<section> data availability statement data are available upon reasonable request. all data relevant to the study are included in the article or uploaded as supplementary information. all data relevant to the study are included in the article or uploaded as supplementary information. additional data are available upon reasonable request. films are available through a link provided in the manuscript.","","",""
"55","10.1136/bmjgh-2022-008838",FALSE,"upon request, unknown/misspecified source",FALSE,FALSE,"<section> data availability statement data are available upon reasonable request. anonymised data are available upon reasonable request from the study principal investigator dr. amnesty lefevre aelefevre@gmail.com.","","",""
"56","10.1136/bmjgh-2022-008909",FALSE,"upon request",FALSE,FALSE,"<section> data availability statement data are available upon reasonable request. aggregate data that underlie the results reported in this article after de-­ identification (text tables figures and appendices) will be shared. study protocol has been added in the supplementary materials. as per guidelines of government of india (goi) individual participant data will not be available. data will be made available: the beginning 9 months and ending 36 months following article publication. data will be shared with investigators whose proposed use of the data has been approved by an independent review committee the goi and ethical review by the icmr and government of maharashtra (india) tribal section clearance identified for this purpose. proposals may be submitted up to 35 months following article publication. after 36 months the data will be available with investigator support.","","",""
"57","10.1136/bmjgh-2022-010000",FALSE,"upon request",FALSE,FALSE,"<section> data availability statement data are available on reasonable request. the dataset pertaining to the results reported in the manuscript will be made available to others only for health and medical research subject to constraints of the consent under which the data were collected. deidentified individual participant data will be made available along with the data dictionary study protocol and informed consent form. data will be available beginning 12 months and ending years after publication of this article. requests for data should be made to tsc ( tarun.choudhary@sas.org.in). the requester should provide a methodologically sound secondary research proposal approved by an independent review committee. the requester must be able to show their ability to carry out the proposed use of the requested dataset through their peer review publications and declare conflicts of interest in relation to the requested dataset and their funding sources. the authors reserve the right to refuse sharing of data in the face of potential adversarial conflicts of interest. a data sharing agreement that meets the data sharing requirements of the society for applied studies (new delhi india) and centre for international health university of bergen (norway) will be signed with the data requester. data must only be used for the purpose described in the secondary research proposal as further stipulated in the data sharing agreement. data will be transferred only to requesters named in the original proposal and as specified in the relevant data sharing agreement.","","",""
"58","10.1136/bmjgh-2022-010370",FALSE,"upon request",FALSE,FALSE,"<section> data availability statement all the data used and/or analyzed is available from the corresponding author upon reasonable request.","","",""
"59","10.1136/bmjgh-2022-010934",FALSE,"",FALSE,FALSE,"<section> data availability statement all data relevant to the study are included in the article or uploaded as online supplemental information.","","",""
"60","10.1136/bmjgh-2023-012606",FALSE,"upon request",FALSE,FALSE,"<section> data availability statement data are available on reasonable request. in accordance with our nih-­approved data sharing plan and in order to protect the privacy of the small number of participants who participate in the study we will limit sharing to insights and translation tables available upon reasonable request.","","",""
"61","10.1136/bmjgh-2023-012613",FALSE,"upon request",FALSE,FALSE,"<section> data availability statement data are available upon reasonable request. data are not publicly available due to the sensitive and personal nature of data and the collected information. data may be available on request to authors with restrictions following ethical approval. please contact the corresponding author.","","",""
"62","10.1136/bmjgh-2023-012633",FALSE,"supplement",FALSE,FALSE,"<section> data availability statement all data relevant to the study are included in the article or uploaded as online supplemental information. the dataset is included as online supplemental file.","supplemental file 1). the full data set","",""
"63","10.1186/s12992-022-00819-3",FALSE,"upon request, unknown/misspecified source",FALSE,FALSE,"<section> availability of data and materials the dataset analysed during the current study are available from the corresponding author on reasonable request.","to view a copy of this the creative commons public domain dedication waiver (http://​creat​iveco​ to the data made available in this article unless otherwise stated in a credit line to the data.","",""
"64","10.1186/s12992-023-00910-3",FALSE,"upon request, unknown/misspecified source",FALSE,FALSE,"<section> availability of data and materials the datasets used during the current study are available from the correspond‑ ing author on reasonable request.","to view a copy of this the creative commons public domain dedication waiver (http://​creat​iveco​ to the data made available in this article unless otherwise stated in a credit line to the data.","",""
"65","10.1186/s41256-018-0090-y",FALSE,"upon request",FALSE,FALSE,"<section> availability of data and materials most data generated and analysed during this study are included in this published article (supplementary information files). other data used and/or analysed during the current study are available from the corresponding author on reasonable request.","","",""
"66","10.1186/s41256-021-00224-0",TRUE,"general-purpose repository",FALSE,FALSE,"<section> availability of data and materials data are available under project soar’s subsection of the harvard dataverse: https://dataverse.harvard.edu/dataverse/projectsoar.","<section> availability of data and materials data are available under project soar’s subsection of the harvard dataverse: https://dataverse.harvard.edu/dataverse/projectsoar.","",""
"67","10.1371/journal.pgph.0000056",TRUE,"general-purpose repository",FALSE,FALSE,"<section> data availability statement: data from the trial is available via 10.17605/osf.io/vh7ys. additional information is available via osf site https://osf.io/ vh7ys/.","<section> data availability statement: data from the trial is available via 10.17605/osf.io/vh7ys.;     additional information is available via osf site https://osf.io/ vh7ys/.","",""
"68","10.1371/journal.pgph.0000344",TRUE,"general-purpose repository",FALSE,FALSE,"<section> data availability statement: the data used for the creation of this manuscript has been uploaded online to harvard dataverse to be publicly available at https://doi.org/10.7910/dvn/fwlpe7.","<section> data availability statement: the data used for the creation of this manuscript has been uploaded online to harvard dataverse to be publicly available at https://doi.org/10.7910/dvn/fwlpe7.","",""
"69","10.1371/journal.pgph.0000425",FALSE,"supplement",FALSE,FALSE,"<section> data availability statement: a fully de-identified data set is provided as s1 data.","<section> data availability statement: a fully de-identified data set is provided as s1 data.;     <section> s1 data.","",""
"70","10.1371/journal.pgph.0000493",FALSE,"",FALSE,FALSE,"<section> data availability statement: the data contain sensitive patient information and are not available publicly due to ethical restrictions. requests for data may be directed to the zimbabwe medical research council (mrcz@mrcz.org.zw) as well as the zimbabwe ministry of health and child care (pr@mohcc.gov.zw) who are the custodians of the data.","","",""
"71","10.1371/journal.pgph.0000689",FALSE,"upon request, re-use",TRUE,FALSE,"<section> data availability statement: in order to conduct our study entitled ""improving the hiv-stigma in the rec.1398.482) and the rct code (irct20190807044467n1) we had to obtain an executive permission from the centers for disease control (cdc) the ministry of health (moh). in the received permission it is officially stated that we are not allowed to publish individual data. it is also mentioned that if we want to publish information we should coordinate with cdc. it should be noted that the data set is now kept confidential by the project manager and the corresponding author of the article dr. maryam nasirian. but to receive data permission must be obtained from the dr. hengameh namdari (namdarih@gmail.com) the manager of department of aids and sexually transmitted infections cdc moh. we confirm that any researcher can obtain the data set in the same way that we have obtained it.","knowledge score mean scores (sd) anova/ manova � lecture n = role playing n = control n = f p-value before the intervention 18.3(3.8) 18.1(4.2) 15.9(6.7) 9.12 <0.0001 after the intervention 24.9(2.3) 23.4(2.0) 18.1(4.5) 10.56 <0.0001 paired t test value -13.61 -14.80 -5.93 p-value <0.0001 <0.0001 <0.0001 � manova was used for group comparisons after intervention while adjusted for the differences between the groups before the intervention in terms of history of receiving hiv training and age https://doi.org/10.1371/journal.pgph.0000689.t002;     component mean score (sd) anova/ manova � lecture n = role playing n = control n = f p-value before the intervention 42.2(8.1) 44.5(8.4) 45.9(9.8) 4.25 0.0153 after the intervention 30.6(7.8) 32.1(6.7) 46.7(9.5) 4.00 <0.0001 total score of attitude paired t test value 9.24 12.5 -0.95 <0.0001 <0.0001 0.367 before the intervention 14.9(4.1) 15.7(3.7) 14.44(5.1) 1.92 0.148 after the intervention 2.74 <0.0001 p-value patients’ social status score 10.1(3.4) 10.2(2.9) 14.94(4.8) paired t test value 10.08 11.98 -1.31 p-value <0.0001 <0.0001 0.189 before the intervention 8.8(2.8) 9.3(3.4) 9.9(3.8) 2.61 0.084 after the intervention 6.5(2.3) 7.1(2.2) 9.8(3.7) 2.91 <0.0001 patients’ social support score paired t test value 5.81 5.80 0.08 <0.0001 <0.0001 0.936 before the intervention 14.0(3.9) 14.7(4.32) 16.3(5.2) 6.46 0.002 after the intervention 11.1(3.6) 11.5(3.1) 16.4(4.7) 3.53 <0.0001 p-value social perception of disease score paired t test value 5.31 6.23 -0.08 <0.0001 <0.0001 0.935 before the intervention 4.4(1.9) 4.9(1.8) 5.3(4.9) 5.27 0.006 after the intervention 3.1(1.2) 3.4(1.3) 5.5(5.1) 4.41 <0.0001 p-value patients’ social harassment score paired t test value p-value � 5.32 8.71 -1.07 <0.0001 <0.0001 0.284 manova was used for group comparisons after the intervention while adjusted for the differences between the groups before the intervention in terms of history receiving hiv training and age https://doi.org/10.1371/journal.pgph.0000689.t003","",""
"72","10.1371/journal.pgph.0000852",TRUE,"general-purpose repository",FALSE,TRUE,"<section> data availability statement: all data and replication scripts are available at the following link: https://osf.io/seqpu.","<section> data availability statement: all data and replication scripts are available at the following link: https://osf.io/seqpu.","","<section> data availability statement: all data and replication scripts are available at the following link: https://osf.io/seqpu."
"73","10.1371/journal.pgph.0000910",FALSE,"",FALSE,FALSE,"<section> data availability statement: location/name: harvard.edu/dataset.xhtml? persistentid=doi:10. 7910/dvn/gm0yp5.","","",""
"74","10.1371/journal.pgph.0001092",FALSE,"supplement",FALSE,FALSE,"<section> data availability statement: data are available as a supplementary file.","<section> s1 data.","",""
"75","10.1371/journal.pgph.0001129",FALSE,"",FALSE,FALSE,"<section> data availability statement: data are available at https://doi.org/10.17037/data.00003116.","","",""
"76","10.1371/journal.pgph.0001166",FALSE,"",FALSE,FALSE,"<section> data availability statement: all relevant data are within the manuscript and its supporting information files.","","",""
"77","10.1371/journal.pgph.0001189",FALSE,"unknown/misspecified source",FALSE,FALSE,"<section> data availability statement: the deidentified dataset supporting this research can be made available following a submitted request as per epicentre and general data protection regulation (eu) 2016/679 data sharing policy. additional information is available at https://epicentre.msf. org/index.php/en/ongoing-projects/study-dataaccess-request.","input value ¶ source unit cost for enrollment consultations stenberg 2018 study data standard-of-care arm $0.97 monthly follow-up arm $0.88 standard-of-care arm $0.31 monthly follow-up arm $0.33 standard-of-care arm † — unit cost for follow-up consultations stenberg 2018 study data unit cost for education sessions stenberg 2018 study data monthly follow-up arm $5.38 unit cost for home visits $0.93 study data unit cost for hospitalization (per bed-day) $8.48 stenberg 2018 unit cost for therapeutic food (per sachet) $0.33 study data msf logistics catalogue 2019 unicef supply division 2019 unit cost for dispensed drugs (per course) albendazole $0.03 measles vaccination $0.17 vitamin a $0.03 amoxicillin $0.14 nigerian minimum wage (per hour) ‡ $0.48 exchange rate nigerian naira to us dollars 2020 government of nigeria 2019 oanda.com risk of malnutrition-related mortality by outcome recorded isanaka 2019 at 3 months post-discharge § recovered 0.0016 non-recovered (alive) 0.0204 non-recovered (died) 1.0000 dalys (years of life lost) per malnutrition death 85.21 global burden of disease collaborative network 2019 ¶ unit costs reported in 2019 usd.","",""
"78","10.1371/journal.pgph.0001196",TRUE,"general-purpose repository",FALSE,FALSE,"<section> data availability statement: de-identified study data are available at osf: https://osf.io/je238/.","<section> data availability statement: de-identified study data are available at osf: https://osf.io/je238/.","",""
"79","10.1371/journal.pgph.0001206",FALSE,"",FALSE,FALSE,"<section> data availability statement: all relevant data are within the paper and its supporting information files.","","",""
"80","10.1371/journal.pgph.0001308",FALSE,"",FALSE,FALSE,"<section> data availability statement: data cannot be shared publicly. the redu-vac study is part of the belcovac consortium. all belcovac parties subscribed to a memorandum of understanding in which article 8 describes the data management whether or not to grant such a request in accordance with article 6. if the steering committee decides to grant such request the party owning such results (in accordance with article 8.1.) shall be obliged to grant access rights to the party which submitted such request for the purpose of the follow-up research as approved by the steering committee and in accordance with the applicable clinical research agreement or followup research agreement through a nonexclusive worldwide irrevocable unlimited non-transferable and royalty-free license. [.","","",""
"81","10.1371/journal.pgph.0001545",FALSE,"",FALSE,FALSE,"<section> data availability statement: study data cannot be made publicly available. the anrs cov33 coverage africa study is sponsored by the anrs mie (french agency for research on aids and viral hepatitis / emerging epidemic diseases). we are therefore obliged to abide by french and european legal restrictions such as french law no. 78-17 of january 6 1978 relating to data processing files and freedoms usually called ""loi informatique et libertés"" and european law ""gdpr"" general data protection regulation that govern data sharing and stipulate that data cannot be shared in open access to an undeclared third party if study participants have not been informed and did not give their consent for it. thus persons wishing to have access to the interviews or questionnaire data may submit a request to the study sponsor (anrs clinique@anrs.fr) who will take steps to assess whether the request can be fulfilled. that said all quantitative and qualitative (verbatim extracts) data allowing to answer our study questions are presented in the paper.","","",""
"82","10.1371/journal.pgph.0001648",FALSE,"",FALSE,FALSE,"<section> data availability statement: as reported in our study protocol in the s2 appendix our study participants consented to have their potentially identifying data shared only with the researchers from london business school and harvard business school. any deviations from the current protocol requires approval of the institutional ethics committee aravind eye hospital thavalakuppam pondicherry. the de-identified dataset supporting this research can be requested from the institutional ethics committee aravind eye hospital thavalakuppam pondicherry (pdy. irb-office@pondy.aravind.org).","","",""
"83","10.1371/journal.pgph.0001765",FALSE,"upon request, supplement",FALSE,FALSE,"<section> data availability statement: medical record data are owned by the kenyan government. contact the university of washington office of nursing research for assistance with data requests: onrhelp@uw.edu.","hcws reported a median of 3 years of experience caring for ylhiv (iqr = 1–5) and half (50%) had received any prior training in afhs (s1 data).;     <section> across all 24 clusters 925 ylhiv completed satisfaction with care exit surveys (s2 data).;     <section> s1 data.;     <section> s2 data.","",""
"84","10.1371/journal.pgph.0001801",FALSE,"",FALSE,FALSE,"<section> data availability statement: all relevant data are within the paper and its supporting information files.","","",""
"85","10.1371/journal.pgph.0001813",FALSE,"upon request",FALSE,FALSE,"<section> data availability statement: data from this study contain sensitive patient information. also sharing this data breach the compliance with the protocol approved our research ethics board. however deidentified individual data that supports the results will be shared following publication provided the investigator who proposes to use the data has approval from an institutional review board (irb) independent ethics committee (iec) or research ethics committee (rec) as applicable and executes a data use/sharing agreement with mbarara university of science and technology (must). researchers may apply for data access by contacting the corresponding author or the must research ethics committee at sec@rec.must.ac. ug.","","",""
"86","10.1371/journal.pgph.0001947",FALSE,"supplement",FALSE,FALSE,"<section> data availability statement: data are uploaded as supplementary information.","<section> s1 data.","",""
"87","10.1371/journal.pgph.0002552",FALSE,"upon request",FALSE,FALSE,"<section> data availability statement: https://doi.org/10. 5281/zenodo.8014539.","","",""
"88","10.1371/journal.pgph.0002559",TRUE,"general-purpose repository",FALSE,FALSE,"<section> data availability statement: the dataset supporting the conclusions of this article is available in the open science framework (osf) repository (https://osf.io/p3zvg/).","<section> data availability statement: the dataset supporting the conclusions of this article is available in the open science framework (osf) repository (https://osf.io/p3zvg/).","",""
"89","10.1371/journal.pone.0118174",FALSE,"",FALSE,FALSE,"<section> data availability statement: all relevant data are within the paper and its supporting information files.","","",""
"90","10.3389/fimmu.2018.02123",FALSE,"",FALSE,FALSE,"","","",""
"91","10.3402/gha.v6i0.20993",FALSE,"",FALSE,FALSE,"","","",""
"92","10.5539/gjhs.v13n6p69",FALSE,"",FALSE,FALSE,"","","",""
"93","10.5539/gjhs.v4n2p110",FALSE,"",FALSE,FALSE,"","","",""
