"","nct_id","last_update_submitted_date","registration_date","summary_results_date","study_type","phase","enrollment","recruitment_status","official_title","title","start_date","completion_date","primary_completion_date","has_summary_results","allocation","masking","main_sponsor","is_multicentric","facility_affiliation","city","country","region"
"11","NCT03278483",2019-04-25,2017-08-07,NA,"Interventional","Phase 4",396,"Completed","Efficacy, Security, Adherence, Tolerability and Cost Effectiveness of Latent TB Treatment in Patients With TB/DM2","Efficacy, Security, Adherence, Tolerability and Cost Effectiveness of Latent TB Treatment in Patients With TB/DM2 (TBL)",2019-02-28,2019-02-28,2019-02-28,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Instituto Nacional de Ciencias Medicas y Nutrición","Mexico City","Mexico","LMIC"
"12","NCT01986543",2017-07-10,2013-11-12,NA,"Interventional","Phase 2",105,"Unknown status","Interaction Between High Dose Rifampicine and Efavirenz in Pulmonary Tuberculosis and HIV Co-infection","Interaction Between High Dose Rifampicine and Efavirenz in Pulmonary Tuberculosis and HIV Co-infection",2013-12-01,2017-12-01,2017-12-01,FALSE,"Randomized","None (Open Label)","OTHER_GOV",FALSE,"Mbarara Research Base","Mbarara PO box 1956, Mbarara","Uganda","LMIC"
"13","NCT02684240",2020-08-03,2016-02-02,NA,"Interventional","Phase 2",30,"Completed","A 14 Day Early Bactericidal Activity Study of Nitazoxanide for the Treatment of Tuberculosis","A 14 Day Early Bactericidal Activity Study of Nitazoxanide for the Treatment of Tuberculosis",2016-02-01,2018-04-11,2018-04-11,FALSE,"Randomized","Single","OTHER",FALSE,"Les Centres GHESKIO","Port-au-Prince","Haiti","LMIC"
"14","NCT02109874",2016-04-25,2014-03-28,NA,"Interventional","Phase 1",40,"Completed","A Phase I Randomized Placebo-Controlled, Double-Blind Study to Evaluate Safety and Immunogenicity of AERAS 404 When Administered as a Single Adjuvant Amount With Different Antigen Amounts in HIV-Negative BCG-Vaccinated Adults Without Evidence of Tuberculosis Infection","A Phase I Study to Evaluate Safety and Immunogenicity of AERAS 404 (C-011-404)",2008-12-01,2012-09-01,2010-12-01,FALSE,"Randomized","Triple","OTHER",FALSE,"South African Tuberculosis Vaccine Institute; Brewelskloof Hospital","Worcester","South Africa","LMIC"
"15","NCT01677871",2013-12-16,2012-08-30,NA,"Interventional","Not Applicable",120,"Unknown status","Study of Efficacy and Safety of Modified Anti-tubercular Regimens in Treatment of Tuberculosis in Patients With Underlying Compensated and Decompensated Chronic Liver Disease","Efficacy and Safety of Modified Anti-tubercular Regimens in Treatment of Tuberculosis in Patients With Underlying Compensated and Decompensated Chronic Liver Disease",2012-09-01,2014-09-01,2014-09-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Institute of Liver and Biliary Sciences","New Delhi","India","LMIC"
"16","NCT00918086",2014-07-10,2009-06-10,NA,"Interventional","Phase 2",199,"Completed","Impact of Vitamin D Supplementation on Host Immunity to Mycobacterium Tuberculosis and Response to Treatment: Building Translational Research Capacity in Nutrition and Infectious Diseases in the Republic of Georgia","Impact of Vitamin D Supplementation on Host Immunity to Mycobacterium Tuberculosis and Response to Treatment",2009-07-01,2014-07-01,2012-09-01,FALSE,"Randomized","Triple","OTHER",FALSE,"National Center for tuberculosis and Lung diseases","Tbilisi","Georgia","LMIC"
"17","NCT00617643",2010-12-03,2008-02-05,NA,"Interventional","Phase 4",18,"Completed","Comparison of Nevirapine Levels With and Without Dose Escalation in HIV-infected Patients Commencing Antiretroviral Therapy Who Are Also Receiving Rifampicin Based Anti-tuberculous Therapy","Nevirapine Drug Levels in HIV Positive Patients Also Receiving Rifampicin for Tuberculosis",2008-05-01,2010-12-01,2009-06-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Infectious Diseases Institute, Faculty of Medicine, Makerere University","Kampala","Uganda","LMIC"
"18","NCT03032367",2017-07-26,2017-01-24,NA,"Interventional","Early Phase 1",24,"Completed","TASK-002: Bioequivalence of Bedaquiline 400mg Administered in Crushed Form Compared to Tablet Form in Healthy Male and Female Adults Under Fed Conditions (BDQ Crush Study)","TASK-002: Bioequivalence of Bedaquiline 400mg Administered in Crushed Form Compared to Tablet Form in Healthy Male and Female Adults Under Fed Conditions (BDQ Crush Study)",2016-11-10,2017-01-11,2016-12-09,FALSE,"Randomized","None (Open Label)","NETWORK",FALSE,"TASK Clinical Research Centre","Bellville","South Africa","LMIC"
"19","NCT01705041",2013-01-29,2012-08-21,NA,"Interventional","Not Applicable",700,"Completed","Preliminary Field Evaluation of a Point-of-Care Transaminase Test","Preliminary Evaluation of a Point-Of-Care Liver Function Test",2012-06-01,2012-12-01,2012-08-01,FALSE,NA,"None (Open Label)","OTHER",FALSE,"Hospital for Tropical Diseases","Ho Chi minh City","Vietnam","LMIC"
"20","NCT01785927",2013-02-05,2013-02-05,NA,"Interventional","Phase 1",40,"Unknown status","Clinical Trial Phase I of Antituberculosis Dry Powder Aerosols","The Safety of Tuberculosis Treatments by Oral Inhalation",2013-02-01,2013-04-01,2013-04-01,FALSE,"Randomized","Quadruple","OTHER",FALSE,"Songklanagarind Hospital","Hat Yai","Thailand","LMIC"
"21","NCT03918226",2019-04-15,2019-04-15,NA,"Interventional","Not Applicable",80,"Completed","Acute Presentation and Management of Abdominal Tuberculosis: A Ten-year Experience at a Tertiary Care Center in Pakistan","Acute Presentation and Management of Abdominal Tuberculosis: A Ten-year Experience at a Tertiary Care Center in Pakistan",2008-05-01,2018-04-30,2018-04-30,FALSE,NA,"None (Open Label)","OTHER_GOV",FALSE,"Services hospital","Lahore","Pakistan","LMIC"
"22","NCT02153528",2020-02-11,2014-05-26,2020-01-15,"Interventional","Phase 3",701,"Completed","Optimization of the TB Treatment Regimen Cascade","Optimization of the TB Treatment Regimen Cascade",2014-11-01,2017-08-01,2017-08-01,TRUE,"Randomized","None (Open Label)","OTHER",FALSE,"Damien Foundation Bangladesh TB project in Greater Mymensingh district (8 selected clinics)","Dhaka","Bangladesh","LMIC"
"23","NCT02349841",2018-09-11,2015-01-23,NA,"Interventional","Phase 2",46,"Completed","A Phase 2 Trial to Evaluate the Early Bactericidal Activity, Safety and Tolerability of Meropenem, Administered Intravenously, Plus Amoxycillin/CA and Faropenem, Administered Orally, Plus Amoxycillin/CA in Adult Patients With Newly Diagnosed, Smear-positive Pulmonary Tuberculosis.","Phase 2 Trial to Evaluate the Early Bactericidal Activity, Safety and Tolerability of Meropenem Plus Amoxycillin/CA and Faropenem Plus Amoxycillin/CA in Adult Patients With Newly Diagnosed Pulmonary Tuberculosis",2014-09-01,2014-12-01,2014-12-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"TASK Foundation NPC","Cape Town","South Africa","LMIC"
"24","NCT01700790",2019-05-14,2012-10-02,NA,"Interventional","Phase 4",9,"Terminated","A Pharmacokinetic Study of Super-boosted Lopinavir/Ritonavir in Combination With Rifampin in HIV-1-infected Patients With Tuberculosis.","Pharmacokinetic Study of Super-boosted Lopinavir/Ritonavir Given With Rifampin",2016-02-01,2018-12-31,2018-11-17,FALSE,NA,"None (Open Label)","OTHER",FALSE,"Instituto Nacional de Infectologia Evandro Chagas - Fiocruz(INI), Laboratorio de Pesquisa Clinica em Micobacterioses(LAPCLINTB)","Rio de Janeiro","Brazil","LMIC"
"25","NCT01098474",2019-06-11,2010-03-18,2016-11-08,"Interventional","Phase 2",301,"Completed","Safety and Immunogenicity Study of GSK Biologicals' Candidate Tuberculosis Vaccine (692342) When Administered to Healthy Infants","Safety and Immunogenicity Study of a Candidate Tuberculosis Vaccine in Healthy Infants",2010-07-07,2012-03-16,2011-04-30,TRUE,"Randomized","None (Open Label)","INDUSTRY",FALSE,"GSK Investigational Site","Banjul","Gambia","LMIC"
"26","NCT02176772",2017-06-02,2014-06-23,NA,"Observational",NA,19,"Completed","The Effects of Tuberculosis on Dietary Iron Absorption and Systemic Iron Utilization: a Double Stable Isotope Study in Bagamoyo, Tanzania","Iron Absorption and Utilization During Tuberculosis and After Treatment",2015-04-01,2017-01-01,2017-01-01,FALSE,NA,NA,"OTHER",FALSE,"Tb-clinic, Bagamoyo Research and Training Centre","Bagamoyo","Tanzania","LMIC"
"27","NCT02953847",2017-05-09,2016-09-05,NA,"Interventional","Phase 1",21,"Completed","The Bioavailability of Rifampicin in Fixed Dose Combinations (FDCs) Widely Used in South Africa to Treat Drug-susceptible Tuberculosis (TB)","The Bioavailability of Rifampicin in (FDCs) Widely Used in South Africa to Treat Drug-susceptible (TB)",2016-11-01,2017-02-01,2017-02-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Clinical Research Centre","Cape Town","South Africa","LMIC"
"28","NCT01698476",2016-02-04,2012-09-25,NA,"Interventional","Phase 2",390,"Completed","Immune Reconstitution in Tuberculosis Disease Using Antimicrobial Treatment With Vitamin D and Phenylbutyrate","Immune Reconstitution in Tuberculosis Disease",2012-09-01,2015-08-01,2015-08-01,FALSE,"Randomized","Quadruple","OTHER",FALSE,"Black Lion Hospital (BLH), Addis Ababa University, Faculty of Medicine","Addis Ababa","Ethiopia","LMIC"
"29","NCT00814671",2018-01-08,2008-12-24,2016-08-03,"Interventional","Phase 2",153,"Completed","A Phase 2 Randomized, Open-label Trial of Daily Rifapentine 450mg or 600mg in Place of Rifampicin 600mg for Intensive Phase Treatment of Smear-positive Pulmonary Tuberculosis","Study of Daily Rifapentine for Pulmonary Tuberculosis",2010-04-01,2014-09-01,2013-06-01,TRUE,"Randomized","None (Open Label)","OTHER",FALSE,"Universiy of Cape Town Lung Institute","Cape Town","South Africa","LMIC"
"30","NCT01378312",2014-03-14,2011-02-24,NA,"Interventional","Phase 1",12,"Completed","A Phase I Randomized Placebo-Controlled, Double-Blind Study to Evaluate Safety and Immunogenicity of AERAS-402 When Administered to HIV-Negative BCG-Vaccinated Adults Without Evidence of Tuberculosis Infection","A Study to Evaluate Safety and Immunogenicity of AERAS-402",2011-02-01,2012-03-01,2011-10-01,FALSE,"Randomized","Quadruple","OTHER",FALSE,"Lotus Labs","Bangalore","India","LMIC"
"31","NCT02558842",2016-08-01,2015-09-22,NA,"Interventional","Not Applicable",160,"Completed","Intervention in the Management of Post-high Tuberculosis Hospital Through Educational Strategy and Oversight Distance in a Region With High Prevalence of the Disease: Randomized Clinical Trial","Intervention in the Management of Post-high Tuberculosis Hospital Through Educational Strategy and Oversight Distance",2013-03-01,2015-12-01,2015-09-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Alice Mânica Müller","Porto Alegre","Brazil","LMIC"
"32","NCT01119521",2017-01-05,2010-04-29,NA,"Interventional","Phase 1",82,"Completed","Phase I Study of Whether Preclearance of Latent M. Tuberculosis (MTB) Infection With Isoniazid (INH) Enhances Specific Immune Responses to MTB Following Subsequent BCG Revaccination in Healthy, HIV-Uninfected, Tuberculin Skin Test Positive Adults","Study of Pre-clearance of Latent Tuberculosis Infection And BCG Revaccination",2010-10-01,2013-07-01,2013-07-01,FALSE,"Randomized","None (Open Label)","NIH",FALSE,"University of Cape Town - Institute of Infectious Disease and Molecular Medicine","Cape Town","South Africa","LMIC"
"33","NCT01657656",2014-07-29,2012-08-02,NA,"Interventional","Not Applicable",350,"Completed","Vitamin D Supplementations as Adjunct to Anti-Tuberculosis Drugs in Mongolia","Vitamin D Supplementations as Adjunct to Anti-Tuberculosis Drugs in Mongolia",2012-10-01,2014-07-01,2014-05-01,FALSE,"Randomized","Double","OTHER",FALSE,"National Center for Communicable Dieases","Ulaanbaatar","Mongolia","LMIC"
"34","NCT03017378",2017-01-10,2017-01-04,NA,"Interventional","Phase 1",36,"Completed","A Randomized, Open Clinical Trial Phase 1 Vaccine TB/FLU-01L by Intranasal and Sublingual Application for Specific Immunotherapy Pulmonary Tuberculosis","Reactogenicity, Safety and Immunogenicity of a TB/FLU-01L Tuberculosis Vaccine",2013-10-01,2015-02-01,2014-04-01,FALSE,"Randomized","None (Open Label)","OTHER_GOV",FALSE,"National Center for Tuberculosis Problems, Kazakhstan","Almaty Qalasy","Kazakhstan","LMIC"
"35","NCT02729532",2019-04-19,2016-01-05,NA,"Observational",NA,776,"Completed","Z 31411 - The Effect of Xpert MTB/RIF on Patient Health Outcomes and Empirical TB Treatment Among Persons Living With HIV/AIDS: A Parallel-Group Prospective Cohort Study Under Real-World Conditions in Lusaka, Zambia","Effect of Xpert MTB/RIF on Patient Outcomes",2016-06-22,2018-02-09,2018-02-09,FALSE,NA,NA,"OTHER",FALSE,"Chelstone and Chilenje Health Centres","Lusaka","Zambia","LMIC"
"36","NCT01579214",2017-12-08,2012-04-13,2017-05-05,"Interventional","Not Applicable",183,"Completed","Cell Phone Messaging to Improve Communication of Critical Laboratory Results to Patients in Rural Uganda","Cell Phone Messaging to Improve Communication of Critical Laboratory Results to Patients in Rural Uganda",2012-07-01,2015-04-01,2013-12-01,TRUE,"Non-Randomized","None (Open Label)","OTHER",FALSE,"ISS Clinic, Mbarara Regional Referral Hospital","Mbarara","Uganda","LMIC"
"37","NCT00676754",2013-03-27,2008-05-08,NA,"Observational",NA,18544,"Unknown status","Epidemiology of Multidrug-Resistant Tuberculosis in Peru","Epidemiology of MDR-TB in Peru",2009-09-01,2014-09-01,2014-09-01,FALSE,NA,NA,"OTHER",FALSE,"Socios En Salud Sucursal Peru","Lima","Peru","LMIC"
"38","NCT01800487",2013-12-23,2013-02-21,NA,"Interventional","Not Applicable",80,"Completed","The Efficacy of Silymarin on the Prevention of Hepatotoxicity From Antituberculosis Drugs","The Efficacy of Silymarin on the Prevention of Hepatotoxicity From Antituberculosis Drugs",2012-01-01,2013-07-01,2013-06-01,FALSE,"Randomized","Quadruple","OTHER",FALSE,"Gastroenterology and Hepatology, Ramathibodi hospital","Bangkok","Thailand","LMIC"
"39","NCT02060006",2014-04-02,2014-02-07,NA,"Interventional","Phase 3",200,"Unknown status","A Double-Blind Randomized Placebo Controlled Trial for Prevention of Tuberculosis-Immune Reconstitution Inflammatory Syndrome With Non-Steroid Anti-Inflammatory Drugs (NSAIDs) in HIV-Infected Adults","TB-IRIS NSAID Cox-2 Inhibitor Prevention Trial",2014-04-01,2015-04-01,2015-04-01,FALSE,"Randomized","Quadruple","OTHER",FALSE,"Stellenbosch University Tygerberg Hospital","Cape Town","South Africa","LMIC"
"40","NCT02430259",2020-06-27,2015-04-16,NA,"Interventional","Phase 3",566,"Completed","Effectiveness and Tolerability of Weekly Rifapentine/Isoniazid for 3 Months for Tuberculosis Preventive Treatment: A Randomized Controlled Study in China","Efficacy of Weekly Rifapentine and Isoniazid for Tuberculosis Prevention",2015-03-01,2018-06-01,2018-06-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Wenling No.1 People's Hospital, Zhejiang","Taizhou","China","LMIC"
"41","NCT03096379",2019-04-15,2017-03-15,NA,"Observational",NA,120,"Completed","Differentiating Gut Tuberculosis and Crohn's Disease Via Magnetic Resonance Enterography","MRI Differentiating Gut TB and Crohn's",2014-12-30,2019-03-30,2018-12-30,FALSE,NA,NA,"OTHER",FALSE,"The University of Hong Kong-Shenzhen Hospital","Shenzhen","China","LMIC"
"42","NCT00910806",2014-04-01,2009-05-07,NA,"Interventional","Phase 1",16,"Completed","A Phase I, Open-label, Single-sequence Drug-drug Interaction Trial to Investigate the Pharmacokinetic Interaction Between Steady-state Nevirapine and Single-dose TMC207 in HIV-1 Infected Subjects.","TMC207-TiDP13-C117: Interaction Study in Human Immunodeficiency Virus-type 1 (HIV-1) Infected Patients With Nevirapine (NVP)",2009-06-01,2010-06-01,2010-06-01,FALSE,"Non-Randomized","None (Open Label)","INDUSTRY",FALSE,NA,"George","South Africa","LMIC"
"43","NCT01158755",2012-06-06,2010-07-07,NA,"Interventional","Phase 2",60,"Completed","Comparison of Intensive Treatment Regimens and Standard Treatment Regimen for Tuberculous Meningitis: Pharmacokinetics, Pharmacodynamics and Tolerability Study","Intensified Treatment Regimens for TB Meningitis: PK, PD and Tolerability Study",2010-10-01,2012-06-01,2011-12-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Hasan Sadikin General Hospital","Bandung","Indonesia","LMIC"
"44","NCT00801606",2016-02-08,2008-12-02,NA,"Interventional","Phase 3",403,"Completed","Micronutrient Supplementation in Conjunction With Standard Anti-Tuberculosis Therapy in Paediatric (6 Months-15 Years) New Pulmonary Tuberculosis Patients","Micronutrient Supplementation in in Paediatric Pulmonary Tuberculosis",2008-12-01,2012-06-01,2012-06-01,FALSE,"Randomized","Quadruple","OTHER",FALSE,"Department of Pediatrics, All India Institute of Medical Sciences","New Delhi","India","LMIC"
"45","NCT01742364",2016-12-15,2012-11-30,2016-04-06,"Interventional","Not Applicable",96,"Completed","A Randomized Clinical Trial in Adults and Newborns to Compare the Safety, Reactogenicity and Immunogenicity of BCG Administration Via a Disposable Syringe Jet Injector (DSJI) to BCG Administration Via Syringe and Needle","Comparative Study of Bacille Calmette Guerin (BCG) Delivery Via Disposable Syringe Jet Injector and Needle & Syringe",2012-12-01,2013-12-01,2013-12-01,TRUE,"Randomized","Single","OTHER",FALSE,"SATVI, University of Cape Town","Cape Town","South Africa","LMIC"
"46","NCT01215110",2017-03-15,2010-09-30,2016-10-19,"Interventional","Phase 2",68,"Completed","A Phase II Dose Ranging Trial to Evaluate the Extended Early Bactericidal Activity, Safety, Tolerability, and Pharmacokinetics of TMC207 in Adult Patients With Newly Diagnosed, Uncomplicated, Smear-Positive, Pulmonary Tuberculosis.","Evaluation of Early Bactericidal Activity in Pulmonary Tuberculosis (TMC207-CL001)",2010-04-01,2010-09-01,2010-08-01,TRUE,"Randomized","Double","OTHER",FALSE,"Karl Bremer Hospital","Belville","South Africa","LMIC"
"47","NCT01311505",2012-06-21,2011-02-15,2012-03-23,"Interventional","Phase 1",21,"Completed","An Open Label, Single Dose, Randomized, Two-Way Cross-Over Bioequivalence Study Comparing Rifampicin In A Fixed-Dose Combination Rifampicin + Isoniazid (Myrin© 2, Pfizer Inc) Tablet With The Reference Drug (Rimactane®, Novartis Sandoz) Capsule In Healthy Filipino Male Subjects","Bioequivalence Study Comparing Rifampicin In A Fixed-Dose Combination (Rifampicin+Isoniazid, Myrin© 2) And The Reference Drug (Rifampicin, Rimactane®)",2011-04-01,2011-05-01,2011-05-01,TRUE,"Randomized","None (Open Label)","INDUSTRY",FALSE,"Pfizer Investigational Site","Dasmariñas City","Philippines","LMIC"
"48","NCT03255278",2017-12-25,2017-06-29,NA,"Interventional","Phase 1",60,"Completed","Evaluation of the Safety and Immunogenicity of the Recombinant Subunit Vaccine ""GamTBvac"" Against the Tuberculosis. Comparative Placebo-controlled Study With a Two-fold Increase of the Vaccine Dose in Healthy Volunteers Aged 18-49 Years.","Evaluation of the Safety and Immunogenicity of the Recombinant Subunit Vaccine ""GamTBvac"" Against the Tuberculosis.",2017-01-15,2017-12-13,2017-12-13,FALSE,"Randomized","Single","OTHER",FALSE,"Sechenov First Moscow State Medical University","Moscow","Russian Federation","LMIC"
"49","NCT01530568",2015-01-06,2012-01-24,NA,"Interventional","Not Applicable",341,"Completed","A Randomised Control Trial of a Standardised and User-friendly Real-time PCR Assay for the Diagnosis of TB Using Tracheal Aspirates Obtained From Patients in the ICU","Gene Xpert Diagnosis of TB Using Tracheal Aspirates From Intensive Care Unit (ICU) Patients",2010-08-01,2013-07-01,2013-07-01,FALSE,"Randomized","Single","OTHER",FALSE,"Groote Schuur Hospital, which operates within the Cape Town Central Health District of the Metro Region","Cape Town","South Africa","LMIC"
"50","NCT02043314",2014-01-22,2014-01-17,NA,"Interventional","Phase 1",28,"Completed","New Strategy for Treating Latent Tuberculosis Infection in Brazil: A Bioequivalence Study of Two Different Dosages of Isoniazid Tablet Formulations in Human Healthy Volunteers","A Bioequivalence Study of Two Different Dosages of Isoniazid Tablet Formulations in Human Healthy Volunteers",2008-10-01,2009-03-01,2008-10-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Synchrophar - Ass. e Desenv. de Projetos Clínicos Ltda.","Campinas","Brazil","LMIC"
"51","NCT00691392",2012-08-15,2008-06-03,NA,"Interventional","Phase 1/Phase 2",26,"Completed","Linezolid Pharmacokinetics and Pharmacodynamics in the Treatment of Multi-Drug Resistant and Extensively-Drug Resistant Tuberculosis","Linezolid Pharmacokinetics (PK) in Multi-Drug Resistant (MDR)/Extensively-Drug Resistant (XDR) Tuberculosis (TB)",2009-04-01,2010-05-01,2010-05-01,FALSE,"Randomized","Triple","FED",FALSE,"King George V Hospital","Durban","South Africa","LMIC"
"52","NCT02043080",2017-08-02,2014-01-16,NA,"Interventional","Not Applicable",1436,"Completed","CIDRZ 1201 - Optimizing Clinical Outcomes in HIV-Infected Adults & Children Using Xpert MTB/RIF in Zambia","Optimizing Clinical Outcomes in HIV-Infected Adults & Children",2012-08-01,2017-04-01,2016-03-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Centre for Infectious Disease Research in Zambia","Lusaka","Zambia","LMIC"
"53","NCT00608790",2012-07-23,2008-01-31,NA,"Interventional","Not Applicable",600,"Unknown status","Diagnostic Yield of Induced Sputum for Rapid Diagnosis of Pulmonary Tuberculosis","Rapid Diagnosis of Pulmonary Tuberculosis",2008-02-01,2013-04-01,2012-12-01,FALSE,"Non-Randomized","None (Open Label)","OTHER",FALSE,"University of Cape Town","Cape Town","South Africa","LMIC"
"54","NCT02174380",2014-07-07,2014-06-23,NA,"Interventional","Not Applicable",1900,"Unknown status","Cost-effectiveness of a Population-based Active TB Control Program for Tuberculosis, Lima, Peru","Effectiveness of Active Case Finding of Household Contacts in a Routine Tuberculosis (TB) Control Program",2012-10-01,2015-06-01,2014-12-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Instituto de Medicina Tropicales ""Alexander von Humboldt"", Universidad Peruana Cayetano Heredia","San Martin de Porres","Peru","LMIC"
"55","NCT02520973",2017-08-15,2015-03-09,NA,"Interventional","Not Applicable",1400,"Completed","Screening for TB in Pregnancy A Supplement to: The Effect of Tuberculosis and Its Treatment on HIV-Infected Pregnant Women and Their Infants","Screening for TB in Pregnancy. on HIV-Infected Pregnant Women",2015-05-01,2017-06-30,2017-06-30,FALSE,"Non-Randomized","None (Open Label)","OTHER",FALSE,"Perinatal HIV Research Unit","Klerksdorp","South Africa","LMIC"
