"","nct_id","last_update_submitted_date","registration_date","summary_results_date","study_type","phase","enrollment","recruitment_status","official_title","title","start_date","completion_date","primary_completion_date","has_summary_results","allocation","masking","main_sponsor","is_multicentric","category","country","region"
"13","NCT01782950",2015-04-10,2013-01-09,NA,"Interventional","Phase 4",400,"Unknown status","Evaluation of the Pharmacokinetics of Antituberculosis Drugs and Tuberculosis Treatment Outcomes in HIV-tuberculosis Co-infected Ugandan Adults","Evaluation of the Pharmacokinetics of Antituberculosis Drugs and Tuberculosis Treatment Outcomes",2013-02-01,2016-03-01,2016-03-01,FALSE,NA,"None (Open Label)","OTHER",FALSE,"Monocentric","Uganda","LMIC"
"14","NCT02375698",2019-10-28,2015-02-20,2019-08-22,"Interventional","Phase 1",22,"Completed","A Phase I, Double-blind, Randomized, Placebo-controlled, Study to Evaluate the Safety and Immunogenicity of AERAS-456 in HIV Negative Adults Successfully Treated for Drug-susceptible Pulmonary Tuberculosis","A Phase I Study of Safety & Immunogenicity of AERAS-456 in HIV-Neg. Adults Treated for Drug-susceptible Pulmonary TB",2014-11-21,2016-10-24,2016-06-24,TRUE,"Randomized","Triple","OTHER",TRUE,"Multicentric Local","South Africa","LMIC"
"15","NCT01865487",2019-12-03,2013-05-21,2019-04-23,"Interventional","Phase 1/Phase 2",98,"Completed","A Phase I/IIa Double-Blind, Randomized, Placebo-controlled Dose-Finding Study to Evaluate the Safety and Immunogenicity of AERAS-456 in HIV-Negative Adults With and Without Latent Tuberculosis Infection","A Phase I/IIa AERAS-456 in HIV-Negative Adults With & Without Latent Tuberculosis Infection (C-035-456)",2013-08-01,2015-11-01,2015-08-01,TRUE,"Randomized","Quadruple","OTHER",TRUE,"Multicentric Local","South Africa","LMIC"
"16","NCT01583972",2014-08-22,2012-04-14,NA,"Interventional","Not Applicable",300,"Completed","Efficacy of Newborn Vitamin A Supplementation in Improving Immune Function","Efficacy of Newborn Vitamin A Supplementation in Improving Immune Function",2012-01-01,2014-08-01,2013-07-01,FALSE,"Randomized","Quadruple","FED",FALSE,"Monocentric","Bangladesh","LMIC"
"17","NCT00857116",2013-08-28,2009-03-05,NA,"Interventional","Not Applicable",140,"Completed","The Impact of Deworming on Host Immunity and Clinical Outcome in Patients With Pulmonary Tuberculosis","Deworming Against Tuberculosis",2009-03-01,2013-08-01,2013-06-01,FALSE,"Randomized","Quadruple","OTHER_GOV",FALSE,"Monocentric","Ethiopia","LMIC"
"18","NCT00617643",2010-12-03,2008-02-05,NA,"Interventional","Phase 4",18,"Completed","Comparison of Nevirapine Levels With and Without Dose Escalation in HIV-infected Patients Commencing Antiretroviral Therapy Who Are Also Receiving Rifampicin Based Anti-tuberculous Therapy","Nevirapine Drug Levels in HIV Positive Patients Also Receiving Rifampicin for Tuberculosis",2008-05-01,2010-12-01,2009-06-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Uganda","LMIC"
"19","NCT02901288",2017-03-16,2016-09-02,NA,"Interventional","Phase 4",3900,"Unknown status","Shortened Regimens for First Diagnosed Smear Positive Drug Susceptible Pulmonary Tuberculosis: a Randomised Controlled Non-inferiority Trial","Shortened Regimens for Drug-susceptible Pulmonary Tuberculosis",2016-08-01,2018-12-01,2018-12-01,FALSE,"Randomized","None (Open Label)","OTHER",TRUE,"Multicentric Local","China","LMIC"
"20","NCT01650389",2015-09-29,2012-07-23,NA,"Interventional","Phase 2",248,"Completed","Phase II Randomised Controlled Trial to Evaluate Safety and Immunogenicity of MVA85A and Selective, Delayed Bacille Calmette-Guerin (BCG) Vaccination in Infants of HIV Infected Mothers","Safety and Immunogenicity of MVA85A Prime and Bacille Calmette-Guerin Boost Vaccination",2012-10-01,2015-05-01,2015-05-01,FALSE,"Randomized","Quadruple","OTHER",TRUE,"Multicentric Local","South Africa","LMIC"
"21","NCT01663168",2012-08-08,2012-07-30,NA,"Interventional","Phase 2",140,"Unknown status","Toxicity and Pharmacokinetics of Different Rifabutin Doses in HIV-infected Adults and Adolescents Taking Lopinavir / Ritonavir as Second-line Anti-retroviral Therapy (ART) (EARNEST Rifabutin PK Substudy)","EARNEST Rifabutin Pharmacokinetics (PK) Substudy",2011-12-01,2014-01-01,2014-01-01,FALSE,"Randomized","None (Open Label)","OTHER_GOV",TRUE,"Multicentric Local","Uganda","LMIC"
"22","NCT03919812",2019-04-17,2019-04-15,NA,"Interventional","Not Applicable",60,"Completed","Immunomodulatory Effect of Vitamin D Supplementation on Monocyte in Major Beta-thalassemia","Immunomodulatory Vitamin D in Thalassemia",2018-04-01,2018-08-15,2018-07-15,FALSE,NA,"None (Open Label)","OTHER",FALSE,"Monocentric","Indonesia","LMIC"
"23","NCT01934309",2023-03-23,2013-08-29,NA,"Interventional","Not Applicable",3782,"Completed","Does Providing Medical Personnel in the AMPATH Network With Patient-specific Reminders Regarding TB That Are Generated From a Patient's EMR Improve the Prevalence of IPT Initiation and Decrease the Time From Screening to Treatment?","Clinical Decision-support Reminders to Improve IPT Initiation Among HIV Positive Adults in Western Kenya",2013-09-01,2014-08-01,2014-08-01,FALSE,"Randomized","Quadruple","OTHER",FALSE,"Monocentric","Kenya","LMIC"
"24","NCT02120638",2014-04-21,2014-04-21,NA,"Interventional","Phase 3",100,"Unknown status","Optimization of MDR-TB Treatment Regimen Based on the Molecular Drug Susceptibility Results of Pyrazinamide","Optimization of MDR-TB Treatment Regimen Based on the Molecular Drug Susceptibility Results of Pyrazinamide",2014-04-01,2016-04-01,2016-04-01,FALSE,"Non-Randomized","None (Open Label)","OTHER",TRUE,"Multicentric Local","China","LMIC"
"25","NCT01635153",2020-08-05,2012-05-23,2020-06-11,"Interventional","Not Applicable",151,"Completed","Randomized Controlled Trial of a Protein-calorie Supplement for HIV-infected Women With Tuberculosis","Effects of a Protein Calorie Supplement in HIV-infected Women With Tuberculosis",2012-05-01,2014-07-01,2014-07-01,TRUE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Tanzania","LMIC"
"26","NCT02430506",2016-04-25,2015-04-27,NA,"Interventional","Phase 1",20,"Completed","A Phase I Randomized Placebo-controlled Double-blind Study to Evaluate Safety and Immunogenicity of AERAS-402 Administered in HIV-negative, BCG-vaccinated, QuantiFERON®-TB Gold (+) and QuantiFERON®-TB Gold (-) Adults Without Evidence of Tuberculosis.","A Study to Evaluate Safety and Immunogenicity of AERAS-402 Administered in HIV-negative, BCG-vaccinated, QFT (+) and (-) Adults Without Evidence of TB",2008-09-01,2010-07-01,2009-06-01,FALSE,"Randomized","Quadruple","OTHER",FALSE,"Monocentric","Kenya","LMIC"
"27","NCT01014481",2011-11-16,2009-11-16,NA,"Interventional","Phase 4",156,"Terminated","Initiation of a Once Daily Regimen of Tenofovir, Lamivudine and Efavirenz After 4 Weeks Versus 12 Weeks of Tuberculosis Treatment in HIV-1 Infected Patients (Time Study)","Appropriate Timing of HAART in Co-infected HIV/TB Patients",2009-10-01,2011-05-01,2011-05-01,FALSE,"Randomized","None (Open Label)","OTHER_GOV",FALSE,"Monocentric","Thailand","LMIC"
"28","NCT02043080",2017-08-02,2014-01-16,NA,"Interventional","Not Applicable",1436,"Completed","CIDRZ 1201 - Optimizing Clinical Outcomes in HIV-Infected Adults & Children Using Xpert MTB/RIF in Zambia","Optimizing Clinical Outcomes in HIV-Infected Adults & Children",2012-08-01,2017-04-01,2016-03-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Zambia","LMIC"
"29","NCT02729571",2018-04-30,2016-03-15,NA,"Interventional","Phase 1/Phase 2",54,"Completed","A Randomized, Double-blind, Dose-escalation Clinical Trial of the Safety, Reactogenicity and Immunogenicity of MTBVAC Compared to BCG Vaccine SSI, in Newborns Living in a Tuberculosis Endemic Region With a Safety Arm in Adults","Dose-escalation Safety and Immunogenicity Study to Compare MTBVAC to BCG in Newborns With a Safety Arm in Adults",2015-09-01,2018-03-01,2016-09-01,FALSE,"Randomized","Quadruple","INDUSTRY",FALSE,"Monocentric","South Africa","LMIC"
"30","NCT02684240",2020-08-03,2016-02-02,NA,"Interventional","Phase 2",30,"Completed","A 14 Day Early Bactericidal Activity Study of Nitazoxanide for the Treatment of Tuberculosis","A 14 Day Early Bactericidal Activity Study of Nitazoxanide for the Treatment of Tuberculosis",2016-02-01,2018-04-11,2018-04-11,FALSE,"Randomized","Single","OTHER",FALSE,"Monocentric","Haiti","LMIC"
"31","NCT01589497",2018-03-12,2012-04-30,2017-01-24,"Interventional","Phase 2",69,"Completed","Essentiality of Isoniazid in Tuberculosis Therapy","Essentiality of INH in TB Therapy",2015-06-30,2016-02-10,2016-01-28,TRUE,"Randomized","None (Open Label)","NETWORK",TRUE,"Multicentric Local","South Africa","LMIC"
"32","NCT00810849",2014-09-02,2008-12-17,NA,"Interventional","Phase 3",1400,"Completed","A Trial of Adjunctive Prednisolone and Mycobacterium w Immunotherapy in Tuberculous Pericarditis","A Trial of Adjunctive Prednisolone and Mycobacterium w Immunotherapy in Tuberculous Pericarditis",2008-12-01,2014-08-01,2014-02-01,FALSE,"Randomized","Quadruple","OTHER",FALSE,"Monocentric","South Africa","LMIC"
"33","NCT01288950",2012-08-20,2011-02-01,NA,"Interventional","Not Applicable",49,"Completed","Vitamin D Supplementation Enhances Immune Response to BCG Vaccination in Infants","Vitamin D Supplementation Enhances Immune Response to Bacille-Calmette-Guerin (BCG) Vaccination in Infants",2011-02-01,2012-07-01,2012-07-01,FALSE,"Randomized","Double","OTHER",FALSE,"Monocentric","Mexico","LMIC"
"34","NCT02349841",2018-09-11,2015-01-23,NA,"Interventional","Phase 2",46,"Completed","A Phase 2 Trial to Evaluate the Early Bactericidal Activity, Safety and Tolerability of Meropenem, Administered Intravenously, Plus Amoxycillin/CA and Faropenem, Administered Orally, Plus Amoxycillin/CA in Adult Patients With Newly Diagnosed, Smear-positive Pulmonary Tuberculosis.","Phase 2 Trial to Evaluate the Early Bactericidal Activity, Safety and Tolerability of Meropenem Plus Amoxycillin/CA and Faropenem Plus Amoxycillin/CA in Adult Patients With Newly Diagnosed Pulmonary Tuberculosis",2014-09-01,2014-12-01,2014-12-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","South Africa","LMIC"
"35","NCT02533089",2020-03-23,2015-08-20,2020-03-10,"Interventional","Not Applicable",1153,"Completed","Training Lay Healthcare Workers to Optimize TB Care and Improve Outcomes in Malawi","Training Lay Healthcare Workers to Optimize TB Care and Improve Outcomes in Malawi",2016-05-01,2018-02-01,2018-02-01,TRUE,"Randomized",NA,"OTHER",FALSE,"Monocentric","Malawi","LMIC"
"36","NCT01098474",2019-06-11,2010-03-18,2016-11-08,"Interventional","Phase 2",301,"Completed","Safety and Immunogenicity Study of GSK Biologicals' Candidate Tuberculosis Vaccine (692342) When Administered to Healthy Infants","Safety and Immunogenicity Study of a Candidate Tuberculosis Vaccine in Healthy Infants",2010-07-07,2012-03-16,2011-04-30,TRUE,"Randomized","None (Open Label)","INDUSTRY",FALSE,"Monocentric","Gambia","LMIC"
"37","NCT01545661",2012-12-21,2011-07-07,NA,"Interventional","Not Applicable",517,"Completed","A Randomised Control Trial of Sputum Induction, and New and Emerging Technologies in a High HIV Prevalence Primary Care Setting","Utility of Sputum Induction and Novel Technologies to Improve TB Diagnosis in a High HIV Prevalence Primary Care Setting",2009-08-01,2012-05-01,2012-05-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","South Africa","LMIC"
"38","NCT02768909",2016-05-09,2016-04-11,NA,"Interventional","Not Applicable",250,"Unknown status","Diagnostic Trial to Validate the Use of the E-Nose in Pulmonary TB","Diagnostic Trial to Validate the Use of the E-Nose in Pulmonary TB",2015-01-01,2017-02-01,2016-12-01,FALSE,"Non-Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Venezuela","LMIC"
"39","NCT02536768",2019-07-29,2015-08-26,NA,"Interventional","Not Applicable",8020,"Completed","Evaluation of the National Department of Health's National Adherence Guidelines for Chronic Diseases in South Africa Using Routinely Collected Data","Evaluation of South Africa's National Adherence Strategy",2015-09-01,2018-04-30,2018-04-30,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","South Africa","LMIC"
"40","NCT01459120",2012-02-08,2011-10-18,NA,"Interventional","Not Applicable",1800,"Completed","Comparing Door-to-door Versus Community Gathering in Providing HIV Counseling and Testing Within an Integrated Primary Health Care Package: a Cluster Randomized Trial in Rural Lesotho","Comparison of Door-to-door Versus Community Gathering to Provide HIV Counseling and Testing Services in Rural Lesotho",2011-10-01,2012-02-01,2012-02-01,FALSE,"Randomized","None (Open Label)","OTHER",TRUE,"Multicentric Local","Lesotho","LMIC"
"41","NCT01841541",2013-04-25,2013-04-24,NA,"Interventional","Not Applicable",380,"Completed","Triage Plus for TB: Improving Community-Based Provision for TB in Africa. The Impact of Involving Informal Health Providers for Tuberculosis Control in Sudan","The Impact of Involving Informal Health Providers for Tuberculosis Control in Sudan",2009-01-01,2012-04-01,2012-03-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Sudan","LMIC"
"42","NCT02953847",2017-05-09,2016-09-05,NA,"Interventional","Phase 1",21,"Completed","The Bioavailability of Rifampicin in Fixed Dose Combinations (FDCs) Widely Used in South Africa to Treat Drug-susceptible Tuberculosis (TB)","The Bioavailability of Rifampicin in (FDCs) Widely Used in South Africa to Treat Drug-susceptible (TB)",2016-11-01,2017-02-01,2017-02-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","South Africa","LMIC"
"43","NCT01130311",2011-06-27,2010-05-25,NA,"Interventional","Not Applicable",259,"Completed","A Randomized, Placebo-Controlled, Double-Blinded, 250-Subject Clinical Trial of Vitamin D Replacement in Patients With Pulmonary Tuberculosis","Replacement of Vitamin D in Patients With Active Tuberculosis",2009-10-01,2010-12-01,2010-04-01,FALSE,"Randomized","Triple","OTHER",TRUE,"Multicentric Local","Pakistan","LMIC"
"44","NCT00771498",2015-05-15,2008-10-10,NA,"Interventional","Phase 4",30,"Completed","An Evaluation of the Pharmacological Interaction of Lopinavir 800mg - Ritonavir 200mg Combination and Rifampin in Subjects Presenting Tuberculosis, With Contraindication for Antiretroviral Regimens Including Efavirenz","An Evaluation of the Pharmacological Interaction of Lopinavir/r and Rifampin",2008-11-01,2012-12-01,2012-12-01,FALSE,NA,"None (Open Label)","OTHER",TRUE,"Multicentric Local","Brazil","LMIC"
"45","NCT01154959",2021-04-13,2010-06-30,NA,"Interventional","Phase 3",120,"Completed","Characterization of Immune Responses in Treatment-induced Latency in Pulmonary Tuberculosis","Latency in Pulmonary Tuberculosis",2010-02-01,2016-07-01,2015-12-01,FALSE,"Randomized","None (Open Label)","OTHER_GOV",FALSE,"Monocentric","India","LMIC"
"46","NCT03027154",2018-04-10,2017-01-19,NA,"Interventional","Phase 3",96,"Completed","For Tuberculosis (TB) Clinical Auxiliary Diagnosis of Recombinant Mycobacterium Tuberculosis Allergen ESAT6-CFP10 Dose Certain Phase III Clinical Research in Children Under the Age of 18 Years Old","Clinical Study of Recombinant Mycobacterium Tuberculosis ESAT6-CFP10 Allergen for Children",2016-10-01,2018-03-01,2017-10-01,FALSE,"Randomized","Double","INDUSTRY",TRUE,"Multicentric Local","China","LMIC"
"47","NCT01380119",2013-10-25,2011-06-21,NA,"Interventional","Phase 2",40,"Completed","Phase 2 Study of Orally Formulated Heat-killed Mycobacterium Vaccae Study in TB Patients","Tuberculosis (TB) Immunotherapy Phase 2 Study",2011-08-01,2012-08-01,2012-08-01,FALSE,"Randomized","Quadruple","OTHER",FALSE,"Monocentric","Ukraine","LMIC"
"48","NCT01802502",2014-06-15,2013-02-27,NA,"Interventional","Phase 2",30,"Completed","Explorative PK Study Comparing 600 mg Rifampicin i.v. With 750 mg and 900 mg Rifampicin Oral in Tuberculous Meningitis Patients","Rifampicin Explorative PK Study for Tuberculous Meningitis Comparing Oral and Intravenous Preparation",2013-06-01,2014-04-01,2013-10-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Indonesia","LMIC"
"49","NCT00698386",2009-09-14,2008-06-13,NA,"Interventional","Phase 3",150,"Unknown status","Efficacy of Oral Zinc Administration as an Adjunct Therapy in Category I Pulmonary Tuberculosis Along With Assessment of Immunological Parameters (Double-blind, Randomized, Placebo-Controlled, Multicenter Clinical Trial","Efficacy of Oral Zinc Administration as an Adjunct Therapy in New Pulmonary Tuberculosis (Category I) Patients",2008-02-01,2009-09-01,2009-09-01,FALSE,"Randomized","Double","OTHER_GOV",FALSE,"Monocentric","India","LMIC"
"50","NCT02114684",2019-06-11,2014-01-29,2019-02-27,"Interventional","Phase 1/Phase 2",197,"Completed","An Open Label Randomized Controlled Clinical Trial Comparing a 24Week Oral Regimen Containing Moxifloxacin With a 24 Week Standard Drug Regimen for the Treatment of Smear-positive Pulmonary Tuberculosis in Patients Previously Treated for TB","Improving Retreatment Success (IMPRESS)",2013-11-01,2017-07-17,2017-07-01,TRUE,"Randomized","None (Open Label)","NETWORK",FALSE,"Monocentric","South Africa","LMIC"
"51","NCT01800487",2013-12-23,2013-02-21,NA,"Interventional","Not Applicable",80,"Completed","The Efficacy of Silymarin on the Prevention of Hepatotoxicity From Antituberculosis Drugs","The Efficacy of Silymarin on the Prevention of Hepatotoxicity From Antituberculosis Drugs",2012-01-01,2013-07-01,2013-06-01,FALSE,"Randomized","Quadruple","OTHER",FALSE,"Monocentric","Thailand","LMIC"
"52","NCT00608790",2012-07-23,2008-01-31,NA,"Interventional","Not Applicable",600,"Unknown status","Diagnostic Yield of Induced Sputum for Rapid Diagnosis of Pulmonary Tuberculosis","Rapid Diagnosis of Pulmonary Tuberculosis",2008-02-01,2013-04-01,2012-12-01,FALSE,"Non-Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","South Africa","LMIC"
"53","NCT01979900",2018-05-30,2013-11-04,NA,"Interventional","Phase 3",10000,"Completed","Phase III Clinical Study of Efficacy and Safety of Mycobacterium Vaccae to Prevent Tuberculosis in High Risk Groups of Tuberculosis Infection","Phase III Clinical Study of Efficacy and Safety of Vaccae™ to Prevent Tuberculosis",2013-10-01,2017-11-26,2017-11-26,FALSE,"Randomized","Double","INDUSTRY",TRUE,"Multicentric Local","China","LMIC"
"54","NCT02378207",2019-10-28,2015-02-12,2019-09-03,"Interventional","Phase 1",84,"Completed","A Randomized, Placebo-controlled, Partially Blinded Phase 1b Clinical Trial to Evaluate the Safety and Immunogenicity of BCG Revaccination, H4:IC31, and H56:IC31 in Healthy, HIV-1-Uninfected Adolescent Participants","Safety and Immunogenicity Study of BCG, H4:IC31, and H56:IC31 Revaccination in Healthy Adolescents",2015-05-01,2016-12-09,2016-10-31,TRUE,"Randomized","Quadruple","OTHER",FALSE,"Monocentric","South Africa","LMIC"
"55","NCT01693224",2012-09-23,2012-09-23,NA,"Interventional","Not Applicable",512,"Unknown status","Feasibility of Using the Inverness Lateral Flow Urine LAM Test for Diagnosis of Tuberculosis in HIV-Positive TB Suspects in Cape Town, South Africa","Feasibility of a Lateral Flow Urine LAM Test for Diagnosis of Tuberculosis in South Africa",2011-04-01,2013-02-01,2013-02-01,FALSE,NA,"None (Open Label)","NETWORK",TRUE,"Multicentric Local","South Africa","LMIC"
"56","NCT02169570",2014-06-19,2014-06-16,NA,"Interventional","Phase 4",435,"Unknown status","Effect of Supplementary Vitamin D in Patients With Diabetes Mellitus and Pulmonary Tuberculosis (EVIDENT Study): a Randomized, Double Blind, Controlled Trial","Effect of Supplementary Vitamin D in Patients With Diabetes Mellitus and Pulmonary Tuberculosis",2014-12-01,2017-12-01,2016-12-01,FALSE,"Randomized","Triple","OTHER",FALSE,"Monocentric","Pakistan","LMIC"
"57","NCT01136161",2013-01-23,2010-05-31,NA,"Interventional","Phase 2",95,"Completed","Double-Blind, Randomized, Placebo-Controlled Phase II Clinical Trial to Investigate the Safety, Tolerability, and Immunogenicity of the Novel Antituberculous Vaccine RUTI® Following One Month of Isoniazid Treatment in Subjects With Latent Tuberculosis Infection","Clinical Trial to Investigate the Safety, Tolerability, and Immunogenicity of the Novel Antituberculous Vaccine RUTI® Following One Month of Isoniazid Treatment in Subjects With Latent Tuberculosis Infection",2010-06-01,2011-05-01,2011-05-01,FALSE,"Randomized","Quadruple","INDUSTRY",TRUE,"Multicentric Local","South Africa","LMIC"
"58","NCT00972699",2013-05-01,2009-09-04,NA,"Interventional","Phase 2",1200,"Completed","Mentor Mothers: A Sustainable Family Intervention in South African Townships","Mentor Mothers: A Sustainable Family Intervention in South African Townships",2008-07-01,2011-12-01,2011-12-01,FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","South Africa","LMIC"
"59","NCT02060006",2014-04-02,2014-02-07,NA,"Interventional","Phase 3",200,"Unknown status","A Double-Blind Randomized Placebo Controlled Trial for Prevention of Tuberculosis-Immune Reconstitution Inflammatory Syndrome With Non-Steroid Anti-Inflammatory Drugs (NSAIDs) in HIV-Infected Adults","TB-IRIS NSAID Cox-2 Inhibitor Prevention Trial",2014-04-01,2015-04-01,2015-04-01,FALSE,"Randomized","Quadruple","OTHER",FALSE,"Monocentric","South Africa","LMIC"
"60","NCT02627209",2015-12-09,2015-11-26,NA,"Interventional","Not Applicable",280,"Unknown status","Non-infectious and Infectious Uveitis Diagnosis","The Serum Angiotensin Converting Enzyme and Lysozyme Levels in Patients Non-infectious and Infectious Uveitis",2014-06-01,2017-01-01,2016-02-01,FALSE,"Non-Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Turkey","LMIC"
"61","NCT03918226",2019-04-15,2019-04-15,NA,"Interventional","Not Applicable",80,"Completed","Acute Presentation and Management of Abdominal Tuberculosis: A Ten-year Experience at a Tertiary Care Center in Pakistan","Acute Presentation and Management of Abdominal Tuberculosis: A Ten-year Experience at a Tertiary Care Center in Pakistan",2008-05-01,2018-04-30,2018-04-30,FALSE,NA,"None (Open Label)","OTHER_GOV",FALSE,"Monocentric","Pakistan","LMIC"
