"nct_id","registration_date","summary_results_date","study_type","phase","enrollment","recruitment_status","official_title","title","start_date","completion_date","primary_completion_date","has_summary_results","allocation","masking","main_sponsor","is_multicentric","category","country","region","trial_type","final match","final any paper","final publication found","final PMID","DOI (format: e.g 10.1000/182)","URL  (if not avaiable DOI or PMID )","publication_date","has_publication","days_cd_to_publication","days_pcd_to_publication","days_cd_to_summary","days_pcd_to_summary","days_reg_to_start","days_reg_to_cd","days_reg_to_pcd","days_reg_to_publication","completion_year","primary_completion_year"
"NCT02586402","2015-10-23",NA,"Interventional","Phase 2",60,"Unknown status","A Phase 2, Randomized, Active-controlled, Open-label, Multi-center Study of the Safety and Efficacy of Pegolsihematide for the Correction of Anemia in Patients With CRF Undergoing Dialysis and Previously Treated With ESAs","Safety & Efficacy of Pegolsihematide for Treatment of Anemia in Participants on Dialysis","2015-10-01","2016-08-01","2016-08-01",FALSE,"Randomized","None (Open Label)","INDUSTRY",FALSE,"Monocentric","China","LMIC","maternal health","TRUE","no paper","",NA,"","",NA,FALSE,NA,NA,NA,NA,-22,283,283,NA,"2016","2016"
"NCT02693483","2016-02-15",NA,"Interventional","Phase 4",306,"Unknown status","Preoperative Vaginal Cleansing With Povidone Iodine and the Risk of Post Cesarean Endometritis","Preoperative Vaginal Cleansing With Povidone Iodine and the Risk of Post Cesarean Endometritis","2015-04-01","2016-10-01","2016-06-01",FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Egypt","LMIC","maternal health","TRUE","no paper","",NA,"","",NA,FALSE,NA,NA,NA,NA,-320,229,107,NA,"2016","2016"
"NCT02811367","2016-06-20",NA,"Interventional","Not Applicable",117,"Completed","The HPV Self-test as a Test of Cure in the Follow-up of HPV-positive Women in Madagascar","The HPV Self-test as a Test of Cure in Madagascar","2016-06-01","2016-09-01","2016-09-01",FALSE,NA,"None (Open Label)","OTHER",FALSE,"Monocentric","Madagascar","LMIC","maternal health","TRUE","no paper","",NA,"","",NA,FALSE,NA,NA,NA,NA,-19,73,73,NA,"2016","2016"
"NCT02812914","2016-06-03",NA,"Interventional","Not Applicable",50,"Completed","NACER II: Reducing Prenatal Exposures to Household Air Pollution in Rural Guatemala Through a Gas Stove/Behavior Intervention to Improve Neonatal Health","NACER II: Reducing Prenatal Exposures to Household Air Pollution in Rural Guatemala Through a Gas Stove/Behavior Intervention to Improve Neonatal Health","2016-04-01","2017-06-19","2017-06-19",FALSE,"Non-Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Guatemala","LMIC","maternal health","TRUE","article","linked in registry",29444650,"10.1186/s12889/018/5138/x","https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889/018/5138/x",2018-02-14,TRUE,240,240,NA,NA,-63,381,381,621,"2017","2017"
"NCT02532504","2015-08-15",NA,"Interventional","Phase 2",36,"Completed","Change Your Life With Seven Sheets of Paper: A Pilot Randomized Controlled Trial for Postnatal Depression: A Pilot Randomized Controlled Trial for Postnatal Depression","Change Your Life With Seven Sheets of Paper","2015-08-01","2016-03-01","2016-03-01",FALSE,"Randomized","Single","OTHER",FALSE,"Monocentric","Pakistan","LMIC","maternal health","TRUE","no paper","",NA,"","",NA,FALSE,NA,NA,NA,NA,-14,199,199,NA,"2016","2016"
"NCT03759353","2018-11-28",NA,"Interventional","Phase 2",98,"Completed","A Comparative Study Between Lactoferrin Versus Ferrous Sulfate in Iron-deficiency During Pregnancy","Lactoferrin Versus Ferrous Sulfate in Iron-deficiency During Pregnancy","2018-01-15","2018-11-20","2018-10-30",FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Egypt","LMIC","maternal health","TRUE","no paper","",NA,"","",NA,FALSE,NA,NA,NA,NA,-317,-8,-29,NA,"2018","2018"
"NCT02743572","2016-03-31",NA,"Interventional","Not Applicable",129,"Completed","Efficacy and Safety of Parenteral Nutrition With Iron Sucrose for Anemia in Preterm Infants: a Randomized, Double-blind Controlled Study","Iron-fortified Parenteral Nutrition in the Prevention and Treatment of Anemia in Premature Infants","2015-09-01","2017-05-01","2017-05-01",FALSE,"Randomized","Triple","OTHER",FALSE,"Monocentric","China","LMIC","maternal health","TRUE","article","google search / trial number",35766558,"10.6133/apjcn.202206_31(2).0008","https://apjcn.nhri.org.tw/server/APJCN/31/2/222.pdf",2022-03-12,TRUE,1776,1776,NA,NA,-212,396,396,2172,"2017","2017"
"NCT02845284","2016-07-20",NA,"Interventional","Not Applicable",486,"Completed","Enhanced HIV/Sexually Transmitted Infections and Pregnancy Prevention Study to Improve Adolescent Reproductive Health Services in Uganda","'HI-4-TU' Study: Health Improvement for Teen Ugandans Study","2016-03-30","2017-12-30","2017-12-01",FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Uganda","LMIC","maternal health","TRUE","no paper","",NA,"","",NA,FALSE,NA,NA,NA,NA,-112,528,499,NA,"2017","2017"
"NCT04043533","2019-07-29",NA,"Interventional","Not Applicable",80,"Completed","The Effect of an Exercise Program in Reducing the Severity of Postpartum Depression in Women: A Randomized Control Trial","The Effect of an Exercise Program in Reducing the Severity of Postpartum Depression in Women","2017-09-01","2018-06-15","2018-02-15",FALSE,"Randomized","Single","OTHER",FALSE,"Monocentric","Turkey","LMIC","maternal health","TRUE ","article","google search / PI + intervention",32187390,"10.1111/ppc.12500","https://onlinelibrary.wiley.com/doi/10.1111/ppc.12500",2020-03-18,TRUE,642,762,NA,NA,-696,-409,-529,233,"2018","2018"
"NCT02972151","2016-11-17",NA,"Interventional","Phase 2",175,"Unknown status","Clinical Promotion Research of Complex Treatment With TCM to Diagnosis and Treatment on Different Syndrome Types of Pelvic Inflammatory Disease Sequelae","Clinical Research of TCM on Pelvic Inflammatory Disease Sequelae","2016-11-01","2018-12-01","2018-12-01",FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","China","LMIC","maternal health","FALSE","article","google search / PI + intervention",34703299,"10.2147/JPR.S329317","https://www.dovepress.com/a/retrospective/study/on/chronic/pelvic/pain/treated/with/traditional//peer/reviewed/fulltext/article/JPR",2021-10-14,TRUE,1048,1048,NA,NA,-16,744,744,1792,"2018","2018"
"NCT00746551","2008-09-02","2015-01-15","Interventional","Phase 4",80,"Completed","Low Dose Intravenous Versus Oral Iron for Iron Deficiency Anemia Starting Late in Pregnancy: A Randomized Controlled Trial","Intravenous Versus Oral Iron in Late Pregnancy: Results of Treatment","2008-09-01","2010-04-01","2010-03-01",TRUE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Thailand","LMIC","maternal health","FALSE","article","google search / PI + intervention",NA,NA,"https://www.thaiscience.info/journals/Article/JMAT/10986263.pdf",2017-01-01,TRUE,2467,2498,1750,1781,-1,576,545,3043,"2010","2010"
"NCT03715218","2018-10-19",NA,"Interventional","Not Applicable",160,"Completed","Indian Postpartum Care: A-randomised Trial to Improve Maternal Health Six Weeks After Birth","Impact of Mothers Touch Program to Improve Maternal Health After Birth","2018-01-21","2018-08-12","2018-05-15",FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","India","LMIC","maternal health","TRUE ","no paper","",NA,"","",NA,FALSE,NA,NA,NA,NA,-271,-68,-157,NA,"2018","2018"
"NCT02858505","2016-08-02",NA,"Interventional","Phase 2",120,"Completed",NA,"Impact of One Versus Two Amino Acid Chelated Iron Capsules on Prevention of Iron Deficiency Anemia in Non-anemic Women With Twin Gestations","2015-08-01","2016-07-01","2016-07-01",FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Egypt","LMIC","maternal health","TRUE","article","google search / trial number",27894198,"10.1080/14767058.2016.1266478","https://www.tandfonline.com/doi/full/10.1080/14767058.2016.1266478",2016-12-20,TRUE,172,172,NA,NA,-367,-32,-32,140,"2016","2016"
"NCT03336541","2017-11-06",NA,"Interventional","Phase 4",64,"Completed","Effects of Intraoperative Low-dose Ketamine on Incidence of Postpartum Depression in Parturients With Prenatal Depression Undergoing Cesarean Delivery: Blind Test, Randomized, Placebo-controlled Trial","Low-dose Ketamine and Postpartum Depression in Parturients With Prenatal Depression","2017-11-23","2018-06-25","2018-05-14",FALSE,"Randomized","Quadruple","OTHER",FALSE,"Monocentric","China","LMIC","maternal health","TRUE ","article","google search / trial number",36570810,"10.3389/fsurg.2022.1050232","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9774481/",2022-12-08,TRUE,1627,1669,NA,NA,17,231,189,1858,"2018","2018"
"NCT03456258","2018-02-23",NA,"Interventional","Not Applicable",100,"Completed","Lactoferrin Versus Ferrous Sulphate for the Treatment of Iron Deficiency Anemia During Pregnancy,a Randomized Clinical Trial","Lactoferrin Versus Ferrous Sulphate for the Treatment of Iron Deficiency Anemia During Pregnancy","2017-09-05","2018-01-15","2017-12-10",FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","Egypt","LMIC","maternal health","TRUE ","no paper","",NA,"","",NA,FALSE,NA,NA,NA,NA,-171,-39,-75,NA,"2018","2017"
"NCT02366325","2015-02-12",NA,"Interventional","Phase 2",60,"Unknown status","A Phase 2, Open-Label, Multi-Center , Dose-Finding Study of the Safety and Efficacy of Pegol-Sihematide (EPO-018B) for the Treatment of Anemia in Patients With End-Stage Renal Disease Receiving Maintenance Hemodialysis (HD)","Safety & Efficacy of EPO-018B for the Treatment of Anemia in Participants With ERSD Receiving Maintenance Hemodialysis","2014-07-01","2015-12-01","2015-12-01",FALSE,"Non-Randomized","None (Open Label)","INDUSTRY",FALSE,"Monocentric","China","LMIC","maternal health","TRUE ","no paper","",NA,"","",NA,FALSE,NA,NA,NA,NA,-226,292,292,NA,"2015","2015"
"NCT02346227","2014-11-08",NA,"Interventional","Phase 3",327,"Completed","Efficiency of AV2 Antiviral Drug in the Treatment of Human Papillomavirus-associated Precancerous Lesions of the Uterine Cervix: a Randomized Clinical Trial in Kinshasa, Democratic Republic of the Congo","Impact of AV2 Antiviral Drug on the Treatment of HPV-associated Lesions of the Uterine Cervix","2015-01-01","2018-08-01","2018-08-01",FALSE,"Randomized","Quadruple","OTHER",FALSE,"Monocentric","Congo, The Democratic Republic of the","LMIC","maternal health","TRUE ","article","linked in registry",31193477,"10.1016/j.conctc.2019.100377","https://pubmed.ncbi.nlm.nih.gov/31193477/",2019-05-16,TRUE,288,288,NA,NA,54,1362,1362,1650,"2018","2018"
"NCT00922610","2009-06-16",NA,"Interventional","Phase 4",28,"Completed","An Open-label Study of the Effect of Mircera on Hemoglobin Levels in Filipino Chronic Kidney Disease Patients","A Study of Mircera in Renal Anemia Among Filipino Chronic Kidney Disease Patients","2009-02-01","2010-07-01","2010-07-01",FALSE,"Non-Randomized","None (Open Label)","INDUSTRY",TRUE,"Multicentric Local","Philippines","LMIC","maternal health","TRUE ","no paper","",NA,"","",NA,FALSE,NA,NA,NA,NA,-135,380,380,NA,"2010","2010"
"NCT03202615","2015-12-06",NA,"Interventional","Phase 4",130,"Unknown status","Bovine Lactoferrin Versus Ferrous Sulphate In The Treatment Of Iron Deficiency Anemia During Pregnancy: A Randomized Controlled Trial","Bovine Lactoferrin Versus Ferrous Sulphate In The Treatment Of Iron Deficiency Anemia During Pregnancy","2015-09-01","2018-10-01","2018-08-01",FALSE,"Randomized","Double","INDIV",FALSE,"Monocentric","Egypt","LMIC","maternal health","TRUE ","no paper","",NA,"","",NA,FALSE,NA,NA,NA,NA,-96,1030,969,NA,"2018","2018"
"NCT02186145","2014-07-07",NA,"Interventional","Phase 3",160,"Unknown status","Single Blind Randomized Study of Efficacy and Safety of Vaginal Cream With Association of Metronidazole, Nystatin and Dexamethasone in the Treatment of Bacterial and Fungal Vaginal Infections","Efficacy and Safety Study of Metronidazole, Nystatin and Dexamethasone Combination Therapy in Bacterial and Fungal Vaginal Infections","2016-01-01","2017-01-01","2017-01-01",FALSE,"Randomized","Single","INDUSTRY",FALSE,"Monocentric","Brazil","LMIC","maternal health","TRUE ","no paper","",NA,"","",NA,FALSE,NA,NA,NA,NA,543,909,909,NA,"2017","2017"
"NCT01115478","2010-04-30",NA,"Interventional","Not Applicable",2500,"Completed","Malaria in Pregnancy: Nutrition and Immunologic Effects","Malaria in Pregnancy: Nutrition and Immunologic Effects","2010-07-01","2014-06-01","2014-06-01",FALSE,"Randomized","Quadruple","OTHER",FALSE,"Monocentric","Tanzania","LMIC","maternal health","FALSE","article","google search / trial number",30124230,"10.1111/cch.12605","https://onlinelibrary.wiley.com/doi/10.1111/cch.12605",2018-08-19,TRUE,1540,1540,NA,NA,62,1493,1493,3033,"2014","2014"
"NCT01337791","2011-04-15",NA,"Interventional","Phase 4",88,"Completed",NA,"Efficacy, Safety and Tolerability of Telbivudine in HBeAg Positive Chronic Hepatitis B Pregnant Women With Elevated Alanine Aminotransferase Levels","2008-08-01","2009-12-01","2009-12-01",FALSE,"Non-Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","China","LMIC","maternal health","TRUE ","article","linked in registry",22343511,"10.1016/j.cgh.2012.01.019","https://pubmed.ncbi.nlm.nih.gov/22343511/",2012-02-14,TRUE,805,805,NA,NA,-987,-500,-500,305,"2009","2009"
"NCT02094703","2014-03-10",NA,"Interventional","Phase 4",126,"Unknown status","The Efficacy of Solifenacin Succinate as Adjuvant Therapy for Symptomatic Non-complicated Urinary Tract Infection in Females","The Efficacy of Solifenacin Succinate as Adjuvant Therapy for Urinary Tract Infection in Females","2013-04-01","2014-12-01","2014-11-01",FALSE,"Randomized","Quadruple","OTHER",FALSE,"Monocentric","Indonesia","LMIC","maternal health","TRUE ","article","google search / PI + intervention",30333269,NA,"https://pubmed.ncbi.nlm.nih.gov/30333269/",2018-07-01,TRUE,1308,1338,NA,NA,-343,266,236,1574,"2014","2014"
"NCT03345875","2017-10-26",NA,"Interventional","Not Applicable",1022,"Completed","Feasibility and Acceptability of HPV Self-Collection Cervical Cancer Screening and Treatment in Clinics and the Community in Botswana","Feasibility and Acceptability of HPV Self-Collection Cervical Cancer Screening and Treatment in Botswana","2017-10-16","2018-06-30","2018-06-30",FALSE,NA,"None (Open Label)","OTHER",TRUE,"Multicentric Local","Botswana","LMIC","maternal health","TRUE ","no paper","",NA,"","",NA,FALSE,NA,NA,NA,NA,-10,247,247,NA,"2018","2018"
"NCT01813682","2013-03-12",NA,"Interventional","Not Applicable",118,"Unknown status","Effect of Iron-fortified TPN on Preterm Infants Anemia","Effect of Iron-fortified TPN on Preterm Infants Anemia","2012-09-01","2014-06-01","2013-12-01",FALSE,"Randomized","Triple","OTHER",FALSE,"Monocentric","China","LMIC","maternal health","TRUE ","no paper","",NA,"","",NA,FALSE,NA,NA,NA,NA,-192,446,264,NA,"2014","2013"
"NCT01695759","2012-09-26",NA,"Interventional","Phase 3",92,"Terminated","Evaluation of Clinical Efficacy and Immunogenicity of Drug Eritromax® at Blau Farmacêutica S.A. Compared to Eprex®, Produced by Janssen-Cilag Laboratory in Participants With Secondary Anemia to Chronic Kidney Disease.","Clinical Efficacy of Two Erythropoietin Drug in Participants With Secondary Anemia to Chronic Kidney Disease.","2013-12-01","2018-01-01","2014-12-01",FALSE,"Randomized","Single","INDUSTRY",TRUE,"Multicentric Local","Brazil","LMIC","maternal health","TRUE ","no paper","",NA,"","",NA,FALSE,NA,NA,NA,NA,431,1923,796,NA,"2018","2014"
"NCT01039051","2009-12-22",NA,"Interventional","Phase 2/Phase 3",1600,"Unknown status","Randomized Controlled Trials of Diet and Lifestyle Intervention to Promote Chinese Postpartum Women's Health","Diet and Lifestyle Intervention Study in Postpartum Women in China","2009-06-01","2010-06-01","2009-12-01",FALSE,"Randomized","Single","OTHER",TRUE,"Multicentric Local","China","LMIC","maternal health","FALSE","article","google search / PI + intervention",34191432,"10.6133/apjcn.202106_30(2).0014","https://pubmed.ncbi.nlm.nih.gov/34191432/",2021-06-01,TRUE,4018,4200,NA,NA,-204,161,-21,4179,"2010","2009"
"NCT02562508","2015-09-14",NA,"Interventional","Phase 3",979,"Completed","Immunogenicity and Safety Study of a Bivalent Human Papillomavirus (Type 16, 18) Recombinant Vaccine (E.Coli) in Healthy Female Subjects Aged 9 to 17 Years","A Bridging Study of a Recombinant Human Papillomavirus 16/18 Bivalent Vaccine in Preadolescent Girls","2015-12-05","2016-08-12","2016-08-12",FALSE,"Randomized","Single","OTHER",FALSE,"Monocentric","China","LMIC","maternal health","TRUE ","article","google search / PI + intervention",31231780,"10.1007/s11427/019/9547/7","https://link.springer.com/article/10.1007/s11427/019/9547/7",2019-06-21,TRUE,1043,1043,NA,NA,82,333,333,1376,"2016","2016"
"NCT02590224","2015-10-27",NA,"Interventional","Phase 4",200,"Completed","Ferrous Bis-glycinate Versus Ferrous Glycine Sulfate for the Treatment of Iron Deficiency Anemia During Pregnancy","The Effect of Iron Deficiency Anemia During Pregnancy","2016-01-01","2017-12-01","2017-07-01",FALSE,"Randomized","Double","OTHER",FALSE,"Monocentric","Egypt","LMIC","maternal health","FALSE","article","google search / trial number",29843553,"10.1080/14767058.2018.1482871","https://pubmed.ncbi.nlm.nih.gov/29843553/#full/view/affiliation/1",2018-06-20,TRUE,201,354,NA,NA,66,766,613,967,"2017","2017"
"NCT03122938","2016-08-20",NA,"Interventional","Not Applicable",120,"Unknown status","Effect of Daily Bovine Lactoferrin Supplementation on Fetal Development and Iron Metabolism in Healthy Pregnant Women: A Randomized Double-blind Controlled Trial","Lactoferrin Supplementation and Iron Metabolism in Healthy Pregnant Women","2016-04-01","2017-05-01","2017-04-01",FALSE,"Randomized","Quadruple","OTHER",FALSE,"Monocentric","China","LMIC","maternal health","TRUE ","no paper","",NA,"","",NA,FALSE,NA,NA,NA,NA,-141,254,224,NA,"2017","2017"
"NCT02444975","2015-04-29",NA,"Interventional","Not Applicable",140,"Completed","The Effect of Increased Water Intake on the Frequency of the Clinical Recurrent Urinary Tract Infections in Pre-menopausal Women: S-HYDRACYST","The Effect of Increased Water Intake on the Frequency of the Clinical Recurrent Urinary Tract Infections in Pre-menopausal Women: S-HYDRACYST","2013-12-01","2016-07-01","2016-07-01",FALSE,"Randomized","None (Open Label)","INDUSTRY",FALSE,"Monocentric","Bulgaria","LMIC","maternal health","TRUE ","article","linked in registry",30285042,"10.1001/jamainternmed.2018.4204","https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2705079",2018-11-01,TRUE,853,853,NA,NA,-514,429,429,1282,"2016","2016"
"NCT03279536","2017-08-30",NA,"Interventional","Phase 1/Phase 2",99,"Completed","Lactoferrin Versus Total Dose Infusion (TDI) For Treating Iron Deficiency Anemia in Pregnancy: Role of Nursing","Lactoferrin Versus Total Dose Infusion (TDI) For Treating Iron Deficiency Anemia in Pregnancy: Role of Nursing","2017-11-01","2018-12-30","2018-12-30",FALSE,"Randomized","Single","OTHER",FALSE,"Monocentric","Egypt","LMIC","maternal health","TRUE ","no paper","",NA,"","",NA,FALSE,NA,NA,NA,NA,63,487,487,NA,"2018","2018"
"NCT04959578","2021-07-03",NA,"Interventional","Phase 4",50,"Completed","Comparison of Darbepoetin Alpha and Recombinant Human Erythropoietin as Erythropoietic Agents for Treatment of Anemia in Pediatric Chronic Kidney Disease Patients","Comparison of Darbepoetin Alpha and Recombinant Human Erythropoietin for Treatment of Anemia in Children With Chronic Kidney Disease","2018-02-01","2019-01-31","2019-01-31",FALSE,"Randomized","None (Open Label)","OTHER",FALSE,"Monocentric","India","LMIC","maternal health","TRUE ","article","linked in registry",36220980,"10.1007/s00431/022/04650/1","https://pubmed.ncbi.nlm.nih.gov/36220980/",2022-10-11,TRUE,1349,1349,NA,NA,-1248,-884,-884,465,"2019","2019"
"NCT03391440","2017-11-28",NA,"Interventional","Phase 4",469,"Unknown status","An Open-Lable Multicenter Prospective Non-Randomized Trial to Assess the Efficacy and Safety of Morinidazole With Levofloxacin and Sequential of Levofloxacin in Women With Pelvic Inflammatory Disease","A Trial to Assess the Efficacy and Safety of Morinidazole in Women With Pelvic Inflammatory Disease","2016-09-01","2018-12-01","2018-12-01",FALSE,NA,"None (Open Label)","INDUSTRY",FALSE,"Monocentric","China","LMIC","maternal health","TRUE ","article","google search / trial number",35991648,"10.3389/fmed.2022.888186","https://pubmed.ncbi.nlm.nih.gov/35991648/",2022-08-03,TRUE,1341,1341,NA,NA,-453,368,368,1709,"2018","2018"
"NCT03196726","2017-06-20",NA,"Interventional","Not Applicable",54,"Completed","POSTNATAL DEPRESSION: Malaysia ASPIRE* Project PHASE 2","Behavioural Interventions for Postnatal Depression: a RCT Study","2017-03-02","2018-12-31","2018-10-30",FALSE,"Randomized","Double","OTHER_GOV",TRUE,"Multicentric Local","Malaysia","LMIC","maternal health","TRUE ","no paper","",NA,"","",NA,FALSE,NA,NA,NA,NA,-110,559,497,NA,"2018","2018"
