nct_id,intervention_type
NCT00722735,Drug
NCT00722735,Drug
NCT00731315,Other
NCT00731315,Other
NCT00734968,Drug
NCT00734968,Other
NCT00740584,Drug
NCT00767988,Dietary Supplement
NCT00767988,Other
NCT00781625,Dietary Supplement
NCT00781625,Dietary Supplement
NCT00781625,Dietary Supplement
NCT00789464,Dietary Supplement
NCT00789464,Drug
NCT00801021,Drug
NCT00803127,Device
NCT00871494,Drug
NCT00873626,Drug
NCT00892866,Other
NCT00892866,Other
NCT00900653,Drug
NCT00929526,Procedure
NCT00929526,Procedure
NCT00976963,Drug
NCT00976963,Drug
NCT01021904,Biological
NCT01022346,Drug
NCT01022346,Drug
NCT01039051,Behavioral
NCT01039545,Drug
NCT01039545,Drug
NCT01055106,Drug
NCT01055106,Drug
NCT01055106,Drug
NCT01055106,Drug
NCT01064024,Drug
NCT01064024,Drug
NCT01067131,Biological
NCT01067131,Biological
NCT01067131,Biological
NCT01067131,Biological
NCT01095198,Device
NCT01095198,Other
NCT01108757,Drug
NCT01108757,Other
NCT01132131,Other
NCT01152528,Device
NCT01160640,Drug
NCT01160640,Drug
NCT01160640,Drug
NCT01160640,Drug
NCT01207999,Procedure
NCT01207999,Other
NCT01213459,Procedure
NCT01213459,Other
NCT01219595,Other
NCT01219595,Other
NCT01219595,Other
NCT01219595,Other
NCT01219595,Other
NCT01219595,Other
NCT01230814,Drug
NCT01230814,Drug
NCT01231737,Drug
NCT01235546,Drug
NCT01235546,Drug
NCT01236131,Other
NCT01241110,Drug
NCT01241110,Drug
NCT01290393,Other
NCT01299259,Behavioral
NCT01322971,Drug
NCT01322971,Drug
NCT01337791,Drug
NCT01346774,Drug
NCT01346774,Drug
NCT01347632,Drug
NCT01357369,Procedure
NCT01359046,Device
NCT01359046,Device
NCT01361048,Drug
NCT01361048,Drug
NCT01361048,Drug
NCT01375439,Other
NCT01406587,Drug
NCT01406587,Drug
NCT01406587,Drug
NCT01406587,Drug
NCT01450800,Drug
NCT01450800,Drug
NCT01478620,Drug
NCT01488955,Drug
NCT01488955,Drug
NCT01507974,Drug
NCT01507974,Drug
NCT01507974,Drug
NCT01507974,Drug
NCT01507974,Drug
NCT01507974,Drug
NCT01550783,Other
NCT01550783,Other
NCT01550783,Other
NCT01550783,Procedure
NCT01550783,Procedure
NCT01588301,Behavioral
NCT01588301,Behavioral
NCT01590017,Drug
NCT01590017,Radiation
NCT01593124,Drug
NCT01593124,Other
NCT01593124,Drug
NCT01597804,Procedure
NCT01637870,Device
NCT01640379,Behavioral
NCT01650051,Drug
NCT01650051,Drug
NCT01653392,Biological
NCT01687114,Other
NCT01691430,Dietary Supplement
NCT01691430,Dietary Supplement
NCT01693783,Biological
NCT01693783,Other
NCT01735006,Biological
NCT01735006,Biological
NCT01776021,Other
NCT01776021,Other
NCT01779193,Dietary Supplement
NCT01779193,Dietary Supplement
NCT01779193,Dietary Supplement
NCT01799356,Drug
NCT01799356,Drug
NCT01799356,Drug
NCT01800799,Drug
NCT01800799,Drug
NCT01808755,Dietary Supplement
NCT01808755,Drug
NCT01812889,Drug
NCT01812889,Drug
NCT01818180,Dietary Supplement
NCT01818180,Other
NCT01820793,Drug
NCT01832480,Drug
NCT01832480,Drug
NCT01842100,Drug
NCT01842100,Other
NCT01843166,Drug
NCT01843166,Drug
NCT01867164,Drug
NCT01867164,Drug
NCT01881165,Drug
NCT01881165,Drug
NCT01891331,Drug
NCT01891331,Drug
NCT01905462,Other
NCT01905462,Biological
NCT01958073,Drug
NCT01958073,Drug
NCT01958073,Drug
NCT01966653,Drug
NCT01966653,Drug
NCT01988168,Procedure
NCT01988168,Procedure
NCT02016118,Device
NCT02074852,Other
NCT02087735,Dietary Supplement
NCT02094703,Drug
NCT02094703,Drug
NCT02094703,Drug
NCT02124252,Behavioral
NCT02124252,Behavioral
NCT02186145,Drug
NCT02186145,Drug
NCT02189291,Procedure
NCT02189291,Procedure
NCT02203942,Other
NCT02216253,Drug
NCT02216253,Other
NCT02246270,Drug
NCT02246270,Other
NCT02267382,Drug
NCT02267382,Drug
NCT02289794,Biological
NCT02289794,Biological
NCT02304770,Drug
NCT02309346,Drug
NCT02323087,Device
NCT02323087,Device
NCT02346227,Drug
NCT02346227,Drug
NCT02358993,Drug
NCT02358993,Drug
NCT02366676,Drug
NCT02402907,Device
NCT02402907,Device
NCT02439632,Drug
NCT02439632,Drug
NCT02439632,Drug
NCT02439632,Drug
NCT02444975,Dietary Supplement
NCT02444975,Other
NCT02444975,Other
NCT02454309,Dietary Supplement
NCT02454309,Dietary Supplement
NCT02509403,Drug
NCT02515656,Drug
NCT02515656,Drug
NCT02515656,Drug
NCT02527941,Drug
NCT02536872,Other
NCT02543827,Biological
NCT02543827,Biological
NCT02562508,Procedure
NCT02562508,Procedure
NCT02572895,Dietary Supplement
NCT02631863,Drug
NCT02631863,Drug
NCT02637986,Dietary Supplement
NCT02637986,Other
NCT02639520,Drug
NCT02639520,Drug
NCT02639520,Drug
NCT02639520,Drug
NCT02653118,Biological
NCT02653118,Biological
NCT02673216,Other
NCT02693483,Drug
NCT02702297,Other
NCT02705495,Other
NCT02705495,Drug
NCT02733068,Biological
NCT02733068,Biological
NCT02733432,Drug
NCT02733432,Drug
NCT02733432,Drug
NCT02733432,Drug
NCT02733432,Drug
NCT02740777,Biological
NCT02742636,Device
NCT02746588,Other
NCT02787486,Other
NCT02795845,Dietary Supplement
NCT02795845,Other
NCT02811367,Device
NCT02812914,Other
NCT02812914,Behavioral
NCT02812914,Behavioral
NCT02830321,Other
NCT02845284,Behavioral
NCT02845284,Behavioral
NCT02859493,Device
NCT02859493,Device
NCT02860845,Device
NCT02860845,Drug
NCT02860845,Drug
NCT02869165,Drug
NCT02869165,Drug
NCT02882360,Device
NCT02882360,Other
NCT02905890,Drug
NCT02905890,Device
NCT02946346,Other
NCT02971007,Drug
NCT02971007,Drug
NCT02972151,Drug
NCT02972151,Other
NCT02993185,Behavioral
NCT02993185,Behavioral
NCT03005353,Drug
NCT03005353,Drug
NCT03008421,Dietary Supplement
NCT03008421,Other
NCT03009968,Other
NCT03019172,Combination Product
NCT03019172,Dietary Supplement
NCT03019874,Dietary Supplement
NCT03032003,Other
NCT03032003,Other
NCT03042273,Dietary Supplement
NCT03042273,Dietary Supplement
NCT03045809,Diagnostic Test
NCT03050515,Biological
NCT03055130,Other
NCT03077711,Drug
NCT03077711,Drug
NCT03080389,Procedure
NCT03091777,Drug
NCT03091777,Drug
NCT03091777,Drug
NCT03093194,Other
NCT03093194,Other
NCT03099863,Drug
NCT03099863,Procedure
NCT03099863,Drug
NCT03101371,Drug
NCT03101371,Procedure
NCT03108079,Device
NCT03108079,Device
NCT03122704,Procedure
NCT03127280,Other
NCT03129295,Drug
NCT03129295,Drug
NCT03142295,Procedure
NCT03143920,Combination Product
NCT03151603,Drug
NCT03151603,Drug
NCT03151603,Drug
NCT03151603,Drug
NCT03151967,Drug
NCT03151967,Drug
NCT03158220,Biological
NCT03167957,Drug
NCT03167957,Drug
NCT03168178,Drug
NCT03168178,Other
NCT03176563,Drug
NCT03176563,Drug
NCT03176563,Drug
NCT03176563,Drug
NCT03178734,Device
NCT03185169,Combination Product
NCT03187457,Other
NCT03187457,Other
NCT03190421,Diagnostic Test
NCT03190421,Diagnostic Test
NCT03206255,Procedure
NCT03206255,Procedure
NCT03229603,Other
NCT03239223,Drug
NCT03248297,Drug
NCT03248297,Drug
NCT03248297,Drug
NCT03284866,Other
NCT03284866,Biological
NCT03284866,Other
NCT03287089,Drug
NCT03287089,Drug
NCT03297216,Drug
NCT03297216,Other
NCT03299387,Drug
NCT03299387,Drug
NCT03306719,Biological
NCT03345875,Diagnostic Test
NCT03347513,Drug
NCT03347513,Drug
NCT03354598,Drug
NCT03354598,Drug
NCT03362697,Dietary Supplement
NCT03362697,Drug
NCT03366077,Dietary Supplement
NCT03366207,Drug
NCT03386695,Other
NCT03386695,Other
NCT03391440,Drug
NCT03395288,Drug
NCT03397615,Behavioral
NCT03413774,Procedure
NCT03425396,Drug
NCT03425396,Drug
NCT03442218,Drug
NCT03442218,Drug
NCT03443154,Diagnostic Test
NCT03490045,Other
NCT03490045,Other
NCT03497598,Drug
NCT03497598,Drug
NCT03519373,Biological
NCT03522961,Drug
NCT03522961,Drug
NCT03548129,Drug
NCT03548129,Drug
NCT03548129,Diagnostic Test
NCT03548129,Diagnostic Test
NCT03548129,Diagnostic Test
NCT03561701,Drug
NCT03561701,Drug
NCT03562156,Drug
NCT03562156,Drug
NCT03568942,Drug
NCT03570112,Drug
NCT03581617,Diagnostic Test
NCT03581617,Diagnostic Test
NCT03581617,Diagnostic Test
NCT03581617,Diagnostic Test
NCT03581617,Diagnostic Test
NCT03585023,Diagnostic Test
NCT03585023,Diagnostic Test
NCT03597152,Dietary Supplement
NCT03597152,Dietary Supplement
NCT03614286,Diagnostic Test
NCT03633994,Drug
NCT03633994,Drug
NCT03638427,Diagnostic Test
NCT03644966,Dietary Supplement
NCT03644966,Other
NCT03644966,Drug
NCT03672214,Procedure
NCT03672214,Procedure
NCT03681678,Device
NCT03697226,Drug
NCT03719755,Procedure
NCT03719755,Procedure
NCT03728790,Device
NCT03729336,Device
NCT03729336,Device
NCT03749746,Behavioral
NCT03749746,Behavioral
NCT03749746,Other
NCT03771651,Drug
NCT03779347,Drug
NCT03779347,Diagnostic Test
NCT03779347,Diagnostic Test
NCT03789513,Diagnostic Test
NCT03800667,Drug
NCT03813576,Diagnostic Test
NCT03818321,Drug
NCT03818321,Drug
NCT03819712,Procedure
NCT03819712,Other
NCT03819712,Other
NCT03819712,Other
NCT03826342,Behavioral
NCT03826342,Behavioral
NCT03828994,Behavioral
NCT03834571,Drug
NCT03834571,Drug
NCT03834571,Drug
NCT03834571,Procedure
NCT03834571,Radiation
NCT03837015,Drug
NCT03837015,Other
NCT03838965,Device
NCT03839875,Drug
NCT03840616,Drug
NCT03840616,Drug
NCT03840616,Drug
NCT03854396,Drug
NCT03854396,Drug
NCT03861260,Procedure
NCT03861260,Procedure
NCT03871491,Drug
NCT03871491,Drug
NCT03898167,Behavioral
NCT03898167,Behavioral
NCT03898167,Behavioral
NCT03898310,Dietary Supplement
NCT03898310,Dietary Supplement
NCT03914144,Other
NCT03929991,Other
NCT03930017,Biological
NCT03954990,Drug
NCT03954990,Drug
NCT03959410,Diagnostic Test
NCT03960970,Drug
NCT03960970,Drug
NCT03961178,Diagnostic Test
NCT03961178,Diagnostic Test
NCT03975569,Other
NCT03981458,Device
NCT03981458,Device
NCT03987620,Drug
NCT03987620,Drug
NCT03994055,Other
NCT03994055,Other
NCT03994055,Other
NCT03994055,Other
NCT03994055,Other
NCT03994055,Other
NCT03994055,Other
NCT03996057,Drug
NCT03996057,Drug
NCT03996057,Dietary Supplement
NCT04000503,Behavioral
NCT04020341,Drug
NCT04020341,Drug
NCT04020341,Drug
NCT04020341,Drug
NCT04022148,Biological
NCT04024046,Dietary Supplement
NCT04024046,Dietary Supplement
NCT04024046,Dietary Supplement
NCT04031664,Drug
NCT04032574,Combination Product
NCT04032574,Other
NCT04035785,Drug
NCT04048356,Drug
NCT04057924,Other
NCT04072913,Other
NCT04077580,Drug
NCT04079218,Drug
NCT04092257,Procedure
NCT04095572,Drug
NCT04095572,Drug
NCT04096820,Biological
NCT04098744,Drug
NCT04098744,Drug
NCT04133610,Diagnostic Test
NCT04133610,Diagnostic Test
NCT04140669,Device
NCT04152278,Diagnostic Test
NCT04163679,Procedure
NCT04165252,Diagnostic Test
NCT04171388,Drug
NCT04171388,Dietary Supplement
NCT04171388,Drug
NCT04171388,Other
NCT04187144,Drug
NCT04187144,Drug
NCT04187144,Drug
NCT04187144,Drug
NCT04189744,Drug
NCT04189744,Drug
NCT04189744,Drug
NCT04226313,Diagnostic Test
NCT04226313,Diagnostic Test
NCT04244526,Other
NCT04246996,Drug
NCT04246996,Other
NCT04261036,Drug
NCT04261036,Other
NCT04278326,Procedure
NCT04285320,Drug
NCT04285320,Drug
NCT04287504,Diagnostic Test
NCT04287504,Diagnostic Test
NCT04301934,Device
NCT04301934,Drug
NCT04301934,Drug
NCT04306731,Dietary Supplement
NCT04306731,Drug
NCT04306731,Dietary Supplement
NCT04307069,Drug
NCT04333212,Device
NCT04353141,Diagnostic Test
NCT04385238,Other
NCT04385680,Drug
NCT04414527,Behavioral
NCT04414527,Behavioral
NCT04416373,Diagnostic Test
NCT04433364,Other
NCT04444440,Drug
NCT04444440,Other
NCT04463758,Other
NCT04472377,Device
NCT04488991,Other
NCT04496726,Other
NCT04515108,Other
NCT04552210,Diagnostic Test
NCT04578015,Drug
NCT04578015,Drug
NCT04580927,Behavioral
NCT04587050,Diagnostic Test
NCT04587050,Diagnostic Test
NCT04587050,Diagnostic Test
NCT04624568,Device
NCT04629001,Diagnostic Test
NCT04679675,Other
NCT04679675,Behavioral
NCT04679675,Behavioral
NCT04679675,Behavioral
NCT04680325,Dietary Supplement
NCT04694495,Diagnostic Test
NCT04699578,Diagnostic Test
NCT04704908,Drug
NCT04709601,Drug
NCT04718220,Diagnostic Test
NCT04718220,Diagnostic Test
NCT04718220,Diagnostic Test
NCT04719754,Diagnostic Test
NCT04723069,Drug
NCT04723069,Drug
NCT04753502,Procedure
NCT04763486,Drug
NCT04769167,Other
NCT04769167,Other
NCT04778722,Dietary Supplement
NCT04792710,Drug
NCT04807894,Drug
NCT04823234,Diagnostic Test
NCT04825093,Dietary Supplement
NCT04831086,Drug
NCT04831086,Drug
NCT04832581,Behavioral
NCT04836910,Other
NCT04836910,Drug
NCT04836910,Drug
NCT04880343,Dietary Supplement
NCT04880343,Dietary Supplement
NCT04895020,Biological
NCT04910802,Biological
NCT04936815,Diagnostic Test
NCT04955717,Other
NCT04959331,Drug
NCT04959331,Drug
NCT04959331,Drug
NCT04959331,Drug
NCT04969445,Biological
NCT04987164,Dietary Supplement
NCT04998318,Device
NCT04998318,Procedure
NCT05015400,Other
NCT05022212,Drug
NCT05022212,Drug
NCT05023954,Diagnostic Test
NCT05027776,Biological
NCT05027776,Biological
NCT05027776,Biological
NCT05040334,Drug
NCT05044156,Other
NCT05045755,Biological
NCT05055388,Other
NCT05059015,Diagnostic Test
NCT05059015,Diagnostic Test
NCT05085353,Procedure
NCT05089175,Drug
NCT05124327,Other
NCT05127252,Diagnostic Test
NCT05138822,Drug
NCT05138822,Drug
NCT05138822,Drug
NCT05140941,Drug
NCT05159726,Other
NCT05197621,Biological
NCT05206500,Drug
NCT05206500,Device
NCT05227937,Drug
NCT05234112,Behavioral
NCT05234112,Diagnostic Test
NCT05234112,Behavioral
NCT05234112,Diagnostic Test
NCT05234112,Procedure
NCT05234112,Diagnostic Test
NCT05242172,Diagnostic Test
NCT05244967,Other
NCT05254808,Drug
NCT05254808,Drug
NCT05275257,Device
NCT05282095,Other
NCT05283239,Other
NCT05318144,Other
NCT05334706,Biological
NCT05340322,Device
NCT05341284,Other
NCT05362955,Drug
NCT05372016,Biological
NCT05372016,Biological
NCT05383521,Drug
NCT05383521,Drug
NCT05397782,Device
NCT05408624,Procedure
NCT05408624,Procedure
NCT05413811,Drug
NCT05413811,Drug
NCT05414305,Drug
NCT05415865,Combination Product
NCT05415865,Drug
NCT05426148,Biological
NCT05435430,Other
NCT05453006,Device
NCT05460546,Drug
NCT05460546,Drug
NCT05460546,Other
NCT05469984,Drug
NCT05469984,Drug
NCT05472779,Drug
NCT05472779,Drug
NCT05477953,Drug
NCT05488340,Drug
NCT05488340,Drug
NCT05488340,Drug
NCT05488340,Drug
NCT05488340,Drug
NCT05488340,Drug
NCT05509413,Device
NCT05510830,Procedure
NCT05520684,Diagnostic Test
NCT05537519,Biological
NCT05545137,Drug
NCT05545137,Drug
NCT05545514,Drug
NCT05551949,Drug
NCT05553652,Dietary Supplement
NCT05553652,Dietary Supplement
NCT05554081,Device
NCT05557318,Device
NCT05557318,Device
NCT05557318,Device
NCT05557318,Device
NCT05570331,Diagnostic Test
NCT05573334,Device
NCT05580341,Biological
NCT05580341,Biological
NCT05584657,Drug
NCT05584657,Drug
NCT05585970,Diagnostic Test
NCT05587283,Drug
NCT05587283,Drug
NCT05587283,Drug
NCT05587283,Other
NCT05587283,Other
NCT05587283,Other
NCT05590195,Drug
NCT05590195,Other
NCT05591742,Dietary Supplement
NCT05591742,Other
NCT05603624,Procedure
NCT05630833,Drug
NCT05630833,Drug
NCT05630833,Drug
NCT05632705,Other
NCT05648747,Other
NCT05652374,Device
NCT05652374,Drug
NCT05655936,Behavioral
NCT05655936,Behavioral
NCT05666778,Device
NCT05667207,Diagnostic Test
NCT05669911,Device
NCT05670535,Other
NCT05670535,Other
NCT05670535,Other
NCT05670535,Other
NCT05702762,Drug
NCT05702762,Drug
NCT05711901,Device
NCT05723601,Drug
NCT05723601,Drug
NCT05726318,Drug
NCT05730387,Other
NCT05730998,Dietary Supplement
NCT05730998,Dietary Supplement
NCT05762016,Procedure
NCT05783167,Diagnostic Test
NCT05788991,Drug
NCT05788991,Drug
NCT05793814,Dietary Supplement
NCT05793814,Dietary Supplement
NCT05796921,Dietary Supplement
NCT05796921,Dietary Supplement
NCT05813184,Drug
NCT05826925,Other
NCT05837962,Behavioral
NCT05895162,Drug
NCT05895162,Drug
NCT05895578,Dietary Supplement
NCT05895578,Dietary Supplement
NCT05895578,Dietary Supplement
NCT05907187,Behavioral
NCT05908682,Other
NCT05913180,Drug
NCT05913180,Drug
NCT05929963,Other
NCT05958953,Procedure
NCT05966649,Other
NCT05966649,Other
NCT05970783,Drug
NCT05970783,Other
NCT05990270,Behavioral
NCT05995106,Other
NCT05999851,Device
NCT05999851,Device
NCT05999851,Diagnostic Test
NCT05999851,Diagnostic Test
NCT05999851,Diagnostic Test
NCT06002126,Diagnostic Test
NCT06002126,Diagnostic Test
NCT06015854,Biological
NCT06019715,Behavioral
NCT06035601,Device
NCT06035601,Other
NCT06049693,Drug
NCT06050148,Biological
NCT06050148,Other
NCT06052033,Procedure
NCT06056947,Drug
NCT06056947,Drug
NCT06056947,Drug
NCT06067386,Other
NCT06067386,Other
NCT06069102,Drug
NCT06069102,Drug
NCT06070454,Diagnostic Test
NCT06075264,Drug
NCT06075264,Drug
NCT06091670,Other
NCT06120205,Device
NCT06124820,Device
NCT06124820,Device
NCT06131684,Device
NCT06131684,Device
NCT06131749,Other
NCT06136702,Behavioral
NCT06136702,Behavioral
NCT06136702,Behavioral
NCT06137950,Drug
NCT06137950,Drug
NCT06145724,Behavioral
NCT06177236,Diagnostic Test
NCT06192966,Dietary Supplement
NCT06192966,Dietary Supplement
NCT06231056,Dietary Supplement
NCT06243666,Biological
NCT06243666,Other
NCT06243666,Biological
NCT06253169,Diagnostic Test
NCT06261736,Other
NCT06261736,Other
NCT06268483,Dietary Supplement
NCT06268483,Dietary Supplement
NCT06268509,Diagnostic Test
NCT06268509,Dietary Supplement
NCT06268509,Diagnostic Test
NCT06273553,Biological
NCT06281665,Drug
NCT06281665,Drug
NCT06296901,Other
NCT06304610,Behavioral
NCT06304610,Procedure
NCT06304610,Procedure
NCT06310720,Other
NCT06314113,Dietary Supplement
NCT06317688,Dietary Supplement
NCT06332781,Drug
NCT06332781,Drug
NCT06344884,Procedure
NCT06352970,Other
NCT06353269,Drug
NCT06353269,Drug
NCT06353269,Drug
NCT06360965,Drug
NCT06360965,Drug
NCT06360965,Drug
