nct_id,last_update_submitted_date,start_month_year,completion_month_year,primary_completion_month_year,study_first_submitted_date,results_first_submitted_date,study_type,phase,enrollment,overall_status,official_title,brief_title
NCT00001046,2021-10-28,NA,NA,NA,1999-11-02,NA,Interventional,Phase 1,0,Withdrawn,Active Immunization of HIV-Infected Pregnant Women: A Phase I Study of Safety and Immunogenicity of a rgp120/HIV-1 Vaccine (NOTE: Some Patients Receive Placebo),Active Immunization of HIV-Infected Pregnant Women: A Phase I Study of Safety and Immunogenicity of a rgp120/HIV-1 Vaccine (NOTE: Some Patients Receive Placebo)
NCT00017719,2021-10-28,May 2002,March 2006,NA,2001-06-08,NA,Interventional,Phase 3,440,Completed,Randomized Trial of Protease Inhibitor-Including vs. Protease Inhibitor-Sparing Regimens for Women Who Initiate Therapy of HIV Infection During Pregnancy,Combination Treatment With and Without Protease Inhibitors for Women Who Begin Therapy for HIV Infection During Pregnancy
NCT00017797,2006-08-03,NA,NA,NA,2001-06-12,NA,Observational,NA,160,Completed,Evaluation of Metabolic Complications Associated With Antiretroviral Medications in HIV-1-Infected Pregnant Women,Problems Associated With the Use of Anti-HIV Drugs in HIV-Infected Pregnant Women
NCT00021671,2021-10-28,NA,November 2004,NA,2001-07-31,NA,Interventional,Phase 3,3720,Completed,Phase III Trial of Antibiotics to Reduce Chorioamnionitis-Related Perinatal HIV Transmission,Antibiotics to Reduce Chorioamnionitis-Related Perinatal HIV Transmission
NCT00028145,2014-10-08,October 2002,June 2013,June 2013,2001-12-13,NA,Observational,NA,3090,Completed,Perinatal Core Protocol,Prenatal and Postnatal Studies of Interventions for Prevention of Mother-To-Child Transmission
NCT00041964,2012-07-23,NA,NA,NA,2002-07-19,NA,Observational,NA,129,Completed,A Prospective Observational Study of Virologic and Immunologic Changes in HIV-Infected Women During the Postpartum Period,A Study of HIV Levels During Pregnancy and After Childbirth
NCT00046436,2013-05-31,NA,March 2004,NA,2002-09-30,NA,Observational,NA,7500,Terminated,Mother-Infant Rapid Intervention at Delivery (MIRIAD),Rapid HIV Tests for Women Late in Pregnancy and During Labor
NCT00054041,2013-01-23,June 2004,NA,January 2007,2003-02-05,NA,Interventional,Phase 2,84,Completed,"Phase II Evaluation Of SGN-00101 (HSP-E7) Fusion Protein In Women With Cervical Intraepithelial Neoplasia 3, CIN 3",Vaccine Therapy in Preventing Cervical Cancer in Patients With Cervical Intraepithelial Neoplasia
NCT00067249,2007-02-26,April 2001,September 2001,NA,2003-08-13,NA,Observational,NA,3200,Completed,NA,Women's Use of Alternative Medicine: A Multiethnic Study
NCT00068120,2010-01-12,NA,NA,NA,2003-09-08,NA,Observational,NA,200,Completed,ORWH:SCOR - Sex/Gender Factors Affecting Women's Health,ORWH:SCOR - Sex/Gender Factors Affecting Women's Health
NCT00070746,2014-07-29,June 2003,July 2005,NA,2003-10-07,NA,Observational,NA,1500,Completed,"Perinatal Infections and Pregnancy Outcomes in Pakistan: A Collaborative Research Project in Partnership With the University of Alabama, USA",Perinatal Infections in Pakistan
NCT00087828,2006-08-16,November 2000,June 2005,NA,2004-07-14,NA,Interventional,Not Applicable,5,Completed,Cranberry Juice Metabolites in Urine,Identification of the Cranberry Juice Compounds That Prevent Urinary Tract Infections
NCT00091130,2013-05-31,September 2004,NA,June 2007,2004-09-07,NA,Interventional,Phase 2,139,Completed,"An Exploratory Study to Evaluate the Effect of HPV 16 Vaccine on the Reduction of Viral Load in HPV 16 Positive Women With Persistent Viral Infection, But Low Grade Disease (ASCUS/LSIL)",SGN-00101 Vaccine in Treating Human Papillomavirus in Patients Who Have Abnormal Cervical Cells
NCT00093054,2015-04-14,November 2004,December 2009,March 2008,2004-09-30,NA,Interventional,Phase 2/Phase 3,319,Completed,Cranberry Juice and Urinary Tract Infections,Cranberry Juice for Treatment of Urinary Tract Infections
NCT00093938,2010-01-12,December 2004,NA,NA,2004-10-07,NA,Interventional,Phase 1,360,Completed,Cranberry for Prevention of Bacteriuria in Pregnancy,Cranberry Juice for Preventing Bacteria in Urine During Pregnancy
NCT00100061,2013-03-11,May 2007,July 2013,July 2013,2004-12-22,NA,Interventional,Phase 2,350,Unknown status,Dose Response to Cranberry of Women With Recurrent UTIs,Effects of Cranberry-Containing Products in Women With Recurrent Urinary Tract Infections (UTIs)
NCT00114712,2020-12-10,January 2004,"November 2, 2020","November 2, 2020",2005-06-16,NA,Observational [Patient Registry],NA,477,Terminated,The Ribavirin Pregnancy Registry,The Ribavirin Pregnancy Registry
NCT00115388,2014-11-21,September 2004,December 2008,December 2008,2005-06-21,NA,Interventional,Not Applicable,2531,Completed,Community-Based Trial of Screening for Chlamydia Trachomatis to Prevent Pelvic Inflammatory Disease,Community-Based Trial of Screening for Chlamydia Trachomatis to Prevent Pelvic Inflammatory Disease
NCT00116974,2016-08-12,October 2004,February 2009,February 2009,2005-06-30,NA,Interventional,Phase 3,2100,Terminated,Periodontal Infection and Prematurity Study,Periodontal Infection and Prematurity Study
NCT00121797,2006-11-06,January 2004,June 2005,NA,2005-07-17,NA,Interventional,Not Applicable,1000,Unknown status,"Risk Factors for Postpartum Bacteruria, Does Labor Cause UTI?",Peripartum Bacteruria and Urinary Tract Infections (UTI)
NCT00128128,2015-05-14,August 2005,June 2009,December 2008,2005-08-05,NA,Interventional,Phase 2,176,Completed,Cranberry and Prevention of UTI A Comprehensive Approach,Cranberry Juice for the Prevention of Recurrent Urinary Tract Infections
NCT00128661,2019-02-12,"June 30, 2004","December 31, 2010","December 31, 2010",2005-08-08,2011-12-15,Interventional,Phase 3,7466,Completed,"A Double-Blind, Controlled, Randomized, Phase III Study of the Efficacy of an HPV16/18 VLP Vaccine in the Prevention of Advanced Cervical Intraepithelial Neoplasia (CIN2, CIN3, Adenocarcinoma In Situ [AIS] and Invasive Cervical Cancer) Associated With HPV 16 or HPV 18 Cervical Infection in Healthy Young Adult Women in Costa Rica.",Vaccine To Prevent Cervical Intraepithelial Neoplasia or Cervical Cancer in Younger Healthy Participants
NCT00136370,2007-09-21,April 2004,November 2007,NA,2005-08-25,NA,Interventional,Phase 3,8000,Unknown status,"Preventing Serious Neonatal and Maternal Peripartum Infections in Developing Country Settings With a High Prevalence of HIV Infection: Assessment of the Disease Burden and Evaluation of an Affordable Intervention in Soweto, South Africa",Prevention of Perinatal Sepsis (PoPS): Evaluation of Chlorhexidine Wipes of Birth Canal and Newborn
NCT00158509,2006-06-06,August 2004,July 2005,NA,2005-09-09,NA,Interventional,Phase 2,215,Completed,Efficacy of an HSV2 Genital Herpes Suppressive Treatment on HIV and HSV2 Genital Shedding Among Co-Infected Patients Receiving or Not Antiretroviral Drugs,Randomised Controlled Trial Assessing the Impact of Genital Herpes Suppressive Therapy on HIV Shedding
NCT00186082,2011-06-13,September 2003,June 2008,June 2006,2005-09-13,NA,Interventional,Not Applicable,147,Completed,A Randomized Controlled Trial of the Effect of Prophylactic Antibiotics on the Infection Rate in Postpartum Third and Fourth Degree Perineal Tear Repairs,Antibiotics for Postpartum Third and Fourth Degree Perineal Tear Repairs
NCT00194142,2016-08-15,July 2007,May 2008,May 2008,2005-09-12,NA,Observational,NA,37,Completed,NA,Cytomegalovirus (CMV) Infection in Amniotic Fluid
NCT00194155,2016-08-15,May 2003,February 2008,February 2008,2005-09-12,NA,Observational,NA,283,Completed,Cytomegalovirus Infection and Pregnancy Outcomes,Cytomegalovirus (CMV) Infection in Pregnancy
NCT00194311,2016-08-15,April 2005,August 2007,August 2007,2005-09-13,NA,Observational,NA,620,Completed,NA,Human Papillomavirus (HPV) Infection in Pregnancy
NCT00194532,2014-06-03,June 2005,February 2009,February 2009,2005-09-13,2011-03-30,Interventional,Not Applicable,300,Completed,Cefpodoxime vs Ciprofloxacin for Acute Cystitis,Cefpodoxime vs Ciprofloxacin for Acute Cystitis
NCT00197561,2010-11-09,September 2003,August 2006,August 2006,2005-09-12,NA,Interventional,Phase 3,915,Completed,Partnership on Nutrition and HIV/AIDS Research in Tanzania: Exploratory Research Study on Selenium and HIV Infection,Partnership on Nutrition and HIV/AIDS Research in Tanzania: Exploratory Research Study on Selenium and HIV Infection
NCT00213018,2017-08-11,October 1999,January 2002,NA,2005-09-13,NA,Interventional,Phase 2,400,Completed,"A Trial to Assess Expanded Safety, Acceptability and Preliminary Effectiveness of Carraguard™ (PC-515) in Preventing STI/HIV Transmission","Safety, Acceptability and Preliminary Effectiveness of Carraguard™ (PC-515) in Preventing HIV/STI Transmission"
NCT00213031,2017-08-11,February 2000,December 2001,NA,2005-09-13,NA,Interventional,Phase 2,165,Completed,"A Randomized, Placebo-controlled, Double-blind Trial to Assess Expanded Safety, Acceptability and Preliminary Effectiveness of PC-515 (Lambda Carrageenan) for Vaginal Use as a Possible Microbicide","Safety, Acceptability and Preliminary Effectiveness of PC-515 for Vaginal Use as a Possible Microbicide"
NCT00214045,2019-05-01,July 2004,June 2009,June 2009,2005-09-13,2016-01-08,Interventional,Not Applicable,36,Completed,Rigid Versus Flexible Cystoscopy in Women in Outpatient Clinic,Rigid Versus Flexible Cystoscopy in Women
NCT00216853,2009-04-15,September 2003,March 2007,June 2006,2005-09-19,NA,Observational,NA,44,Completed,A Study of Vaginal MicroFlora and Immune Profiles of Patients With Recurrent Urinary Tract Infection,A Study of Vaginal MicroFlora and Immune Profiles of Patients With Recurrent Urinary Tract Infection
NCT00239161,2005-10-12,September 2004,July 2005,NA,2005-10-12,NA,Interventional,Phase 4,30,Terminated,TREATMENT OF ACUTE UNCOMPLICATED PYELONEPHRITIS WITH SHORT COURSE LEVOFLOXACIN A Pilot Study,Safety and Efficacy Study of the Treatment of Kidney Infections With Short Course Levofloxacin
NCT00261248,2015-10-01,November 1996,December 2003,NA,2005-11-30,NA,Interventional,Phase 2,75,Completed,Phase 2 Clinical Trial of Vaginal Mucosal Immunization for Recurrent Urinary Tract Infections,Vaccine for Recurrent Urinary Tract Infections in Women
NCT00262106,2012-09-05,October 2005,September 2009,August 2008,2005-12-05,NA,Interventional,Phase 3,9404,Completed,"An International Multi-centre, Randomised, Double-blind, Placebo-controlled Trial to Evaluate the Efficacy and Safety of 0.5% and 2% PRO 2000/5 Gels for the Prevention of Vaginally Acquired HIV Infection",Trial to Evaluate PRO 2000/5 Gels for the Prevention of Vaginally Acquired HIV Infection
NCT00270530,2006-01-30,November 2002,October 2004,NA,2005-12-23,NA,Interventional,Phase 4,454,Completed,Intermittent Preventive Treatment of Malaria With Sulfadoxine-Pyrimethamine in HIV-Seropositive and HIV-Seronegative Pregnant Women in Zambia,Intermittent Preventive Treatment of Malaria in HIV-Seropositive Pregnant Women in Zambia
NCT00303823,2015-04-14,September 2005,February 2011,November 2010,2006-03-15,2012-07-13,Interventional,Phase 2,98,Completed,A Phase II Trial of Polyphenon E for Cervical Cancer Prevention,Green Tea Extract in Preventing Cervical Cancer in Patients With Human Papillomavirus and Low-Grade Cervical Intraepithelial Neoplasia
NCT00305071,2006-03-19,April 2006,NA,NA,2006-03-19,NA,Interventional,Phase 2,60,Unknown status,"A Double-Blind, Randomized, Placebo-Controlled Study to Evaluate the Effect of Adjuvant Treatment With Compound Cranberry Extract Tablets (UmayC) in Acute Bacterial Cystitis.",Effect of Adjuvant Treatment With Compound Cranberry Extract Tablets in Acute Bacterial Cystitis.
NCT00305227,2023-03-18,March 2006,April 2012,April 2012,2006-03-20,2014-06-03,Interventional,Phase 2,100,Completed,Intravaginal LACTIN-V for Prevention of Recurrent Urinary Tract Infections,Intravaginal LACTIN-V for Prevention of Recurrent Urinary Tract Infection
NCT00316706,2012-09-13,October 2005,January 2009,January 2009,2006-04-19,2009-11-12,Interventional,Phase 3,1245,Completed,"A Long-term, Open Follow-up of the Immunogenicity and Safety of GSK Biologicals' HPV Vaccine (580299) in Healthy Female Subjects Vaccinated in Study HPV-013",Human Papilloma Virus (HPV) Vaccine Trial in Young Adolescent Women With GlaxoSmithKline Biologicals' (GSK Bio) HPV-16/18 Vaccine
NCT00330278,2007-09-26,January 2003,January 2006,NA,2006-05-25,NA,Interventional,Not Applicable,350,Completed,"A Randomized, Double-Blind, Placebo Controlled Trial of Cefazolin Given Either 30 Minutes Prior to Cesarean Section or at Cord Clamping",Timing of Prophylactic Antibiotics for Cesarean Sections
NCT00337818,2017-05-25,June 2006,January 2009,June 2006,2006-06-15,2009-11-12,Interventional,Phase 3,770,Completed,"A Long-term, Open, Follow-up of the Immunogenicity and Safety of GlaxoSmithKline Biologicals' HPV-16/18 L1/AS04 Vaccine in Healthy Female Subjects Vaccinated Either Pre- or Post-menarche in the Primary Study",Human Papillomavirus (HPV) Vaccine Consistency and Non-inferiority Trial in Young Adult Women
NCT00352300,2014-12-29,June 2006,NA,July 2010,2006-07-13,NA,Interventional,Phase 1,43,Completed,"A Phase I Trial of Dose Dense (Biweekly) Carboplatin Combined With Paclitaxel and Pegfilgrastim (Neulasta): A Feasibility Study in Patients With Untreated Stage III and IV Ovarian, Tubal or Primary Peritoneal Cancer","Carboplatin, Paclitaxel, and Pegfilgrastim in Treating Patients With Stage III or Stage IV Ovarian Epithelial, Fallopian Tube, Primary Peritoneal, or Carcinosarcoma Cancer"
NCT00353561,2008-05-21,June 2004,April 2006,April 2006,2006-07-17,NA,Interventional,Phase 3,100,Completed,Diabetes Mellitus and Vulvovaginal Candidiasis: Prevalence of Infection and Its Rationale Management,Diabetes Mellitus and Vulvovaginal Candidiasis
NCT00353743,2008-12-18,May 2006,December 2007,November 2007,2006-07-13,NA,Interventional,Not Applicable,56,Terminated,A Randomized Clinical Trial on the Use or Not of Antibiotics After Hospital Discharge in Septic Abortion.,The Use of Antibiotics After Hospital Discharge in Septic Abortion
NCT00365716,2015-10-06,May 2000,September 2009,May 2004,2006-08-16,2010-05-19,Interventional,Phase 2,1158,Completed,"A Placebo-Controlled, Dose-Ranging Study of Quadrivalent HPV Virus-Like Particle (VLP) Vaccine in 16- to 23-Year-Old Women","Dose-Ranging Study of Quadrivalent Human Papillomavirus (HPV) (Types 6,11,16,18) L1 Virus-Like Particle (VLP) Vaccine (V501-007)(COMPLETED)"
NCT00376493,2008-03-10,May 2006,December 2007,December 2007,2006-09-14,NA,Interventional,Phase 4,56,Terminated,Prolonged Treatment for Infected Abortion After Hospital Discharge.,Prolonged Treatment for Infected Abortion After Hospital Discharge.
NCT00386477,2010-01-14,September 2006,May 2009,May 2009,2006-10-09,2009-11-11,Interventional,Not Applicable,300,Terminated,"Vaginal Cleansing at Cesarean Delivery to Reduce Infection: A Randomized, Controlled Trial","Vaginal Cleansing at Cesarean Delivery to Reduce Infection: A Randomized, Controlled Trial"
NCT00391651,2014-06-03,January 2002,July 2005,July 2005,2006-10-20,NA,Interventional,Phase 2,338,Completed,Short Course Nitrofurantoin For Acute Cystitis,Short Course Nitrofurantoin for Acute Cystitis
NCT00397735,2018-10-08,"October 1, 2006","August 1, 2018","October 29, 2012",2006-11-07,NA,Interventional,Phase 1/Phase 2,68,Completed,Effect of N-acetylcysteine in Preventing Adverse Neonatal Outcomes in Women With Intra-amniotic Infection/Inflammation,N-acetylcysteine in Intra-amniotic Infection/Inflammation
NCT00417365,2007-08-13,August 2006,September 2007,NA,2006-12-28,NA,Interventional,Not Applicable,100,Unknown status,"""A Comparison Study of the WaterWorks® Douching Device vs. Commercial OTC Douching Device for the Reduction or Abatement of Perceived Vaginal Odor With or Without Complaints of Discharge in Women With no Infectious Causes of Vaginitis""",Efficacy of (WaterWorks®)Douching Device for Elimination of Perceived Vaginal Odor Not Caused by BV or Vaginitis
NCT00453349,2014-09-02,January 2007,May 2008,May 2008,2007-03-27,2009-09-01,Interventional,Phase 3,460,Completed,"A Prospective, Randomized, Double Dummy, Double Blind, Multi-center Multinational Trial Comparing the Efficacy and Safety of Moxifloxacin 400 mg PO QD 24 Hours for 14 Days to That of Levofloxacin 500 mg PO QD 24 Hours Plus Metronidazole 500 mg BID for 14 Days in Subjects With an Uncomplicated Pelvic Inflammatory Disease (PID). Moxifloxacin, Metronidazole, and Levofloxacin in Asia (MONALISA Study)",A Trial Comparing Moxifloxacin Versus Levofloxacin Plus Metronidazole In Uncomplicated Pelvic Inflammatory Disease
NCT00520598,2015-11-25,October 2007,May 2011,May 2011,2007-08-22,NA,Interventional,Phase 2,511,Completed,"A Phase IIa Randomized, Double-Blind Controlled With Gardasil, Clinical Trial to Study theTolerability and Immunogenicity of V505 (a Multivalent Human Papilloma Virus [HPV] L1 Virus Like Particle [VLP] Vaccine) in Healthy 16 to 26 Year Old Women",Broad Spectrum HPV (Human Papillomavirus) Vaccine in 16 to 26 Year Old Women (V505-001)
NCT00536848,2009-01-29,October 2007,August 2008,August 2008,2007-09-27,NA,Interventional,Phase 2/Phase 3,65,Unknown status,"The Effect of Probiotic Supplementation With Lactobacillus GR-1 and RC-14,on the Immune Status, Diarrhea and Bacterial Vaginosis Cure Rate Among HIV Patients; a Randomised, Placebo Controlled Trial","The Effect of Probiotics on the Immune Status, Diarrhea and Bacterial Vaginosis Cure Rate Among HIV Patients"
NCT00543543,2018-10-30,"September 24, 2007","July 7, 2016","April 10, 2013",2007-10-12,2014-12-12,Interventional,Phase 3,14840,Completed,"A Randomized, International, Double-Blinded (With In-House Blinding), Controlled With GARDASIL, Dose-Ranging, Tolerability, Immunogenicity, and Efficacy Study of a Multivalent Human Papillomavirus (HPV) L1 Virus-Like Particle (VLP) Vaccine Administered to 16- to 26- Year-Old Women",Broad Spectrum HPV (Human Papillomavirus) Vaccine Study in 16-to 26-Year-Old Women (V503-001)
NCT00551187,2015-06-05,October 2007,May 2009,May 2009,2007-10-29,NA,Interventional,Phase 2,620,Completed,"A Randomized, Double-Blinded, Tolerability and Immunogenicity Study of a Multivalent Human Papillomavirus (HPV) L1 Virus-Like Particle (VLP) Vaccine Administered Concomitantly With GARDASIL to 16- to 26- Year-Old Women",A Study to Evaluate Tolerability and Immunogenicity of V504 Administered Concomitantly With GARDASIL (V504-001)(COMPLETED)
NCT00560924,2017-02-24,"March 21, 2003","March 17, 2004","March 17, 2004",2007-11-19,NA,Interventional,Phase 3,6,Terminated,Preventive Effect of Treatment With Estradiol Vaginal Tablets on Recurrent Urinary Tract Infections in Post-menopausal Women (RUTI) in Post-menopausal Women With Signs of Urogenital Ageing (UGA),Preventive Effect of Treatment With Estradiol Vaginal Tablets on Recurrent Urinary Tract Infections in Post-menopausal Women
NCT00564135,2015-06-02,March 2007,July 2008,January 2008,2007-11-25,NA,Interventional,Not Applicable,150,Completed,Postoperative Urinary Retention and UTI After LAVH for Benign Disease,Postoperative Urinary Retention and Urinary Track Infection (UTI) After Laparoscopic Assisted Vaginal Hysterectomy (LAVH) for Benign Disease
NCT00598403,2010-06-28,November 2007,June 2010,December 2009,2008-01-09,NA,Interventional,Phase 3,611,Completed,"Multicentre, Prospective, Comparative, Randomized, Double-blind, Double-dummy Study to Assess the Efficacy and Safety of Cefditoren Pivoxil vs. Ciprofloxacin in Uncomplicated Acute Cystitis",Efficacy and Safety of Cefditoren Pivoxil Versus Ciprofloxacin in Acute Uncomplicated Cystitis
NCT00603603,2016-06-20,February 2008,May 2010,March 2010,2008-01-17,NA,Interventional,Not Applicable,606,Completed,Controlled Clinical Trial of Supplemental Oxygen for the Prevention of Post-Cesarean Infectious Morbidity,Controlled Clinical Trial of Supplemental Oxygen for the Prevention of Post-Cesarean Infectious Morbidity
NCT00616330,2012-02-29,January 2008,December 2009,December 2009,2008-02-04,NA,Interventional,Phase 3,1443,Completed,NA,Vaginal Infection Study
NCT00620984,2015-05-29,August 2006,December 2009,August 2009,2008-02-13,NA,Observational,NA,557,Completed,Staphylococcus Aureus Carrier Status in Breastfeeding Mothers and Infants and the Risk of Lactation Mastitis: A Large Prospective Study,Staphylococcus Aureus Carrier Status in Breastfeeding Mothers and Infants and the Risk of Lactation Mastitis
NCT00642070,2014-06-03,February 2008,July 2012,July 2012,2008-03-18,NA,Observational,NA,326,Completed,Host Response to Urinary Tract Infection in Women,Host Response to Urinary Tract Infection in Women
NCT00663806,2014-12-01,February 2003,July 2003,NA,2008-04-17,NA,Interventional,Phase 4,7614,Completed,"EXPRESS: Evaluating Cipro XR Patient Response, Education, Safety, and Satisfaction",A Phase IV Study of Cipro XR in Uncomplicated UTI
NCT00669994,2014-12-18,July 2003,October 2003,NA,2008-04-29,NA,Interventional,Phase 4,180,Completed,"Prospective, Open Label Non-comparative, Multi-center Trial to Evaluate the Efficacy and Safety of Cipro® XR 500 mg Once Daily for 3 Days in Treating Female Patients With Acute, Uncomplicated, Symptomatic Lower Urinary Tract Infections",Trial to Evaluate the Efficacy and Safety of Cipro® XR in Treating Female Patients With Lower Urinary Tract Infections
NCT00670020,2008-04-30,January 2001,December 2006,December 2006,2008-04-29,NA,Interventional,Not Applicable,143,Completed,Supplemental Perioperative Oxygen to Reduce the Incidence of Post-Cesarean Endometritis and Wound Infection,Supplemental Perioperative Oxygen to Reduce the Incidence of Post-Cesarean Endometritis and Wound Infection
NCT00676533,2013-10-10,June 2003,January 2004,NA,2008-05-09,NA,Interventional,Phase 4,276,Completed,Cipro® XR Excellence in Therapeutic Response and Activity (eXtRa) - Assessing Symptom Relief in Urinary Tract Infections,Cipro® XR in Therapeutic Response and Activity (eXtRa) - Assessing Symptom Relief in Urinary Tract Infections
NCT00678028,2009-04-22,February 2008,NA,NA,2008-02-17,NA,Observational,NA,200,Completed,Association Between Deficiency of MBL (Mannose-Binding Lectin) and Polymorphisms in MBL2 Gene to Urinary Tract Infection,Association Between Deficiency of MBL (Mannose-Binding Lectin) and Polymorphisms in MBL2 Gene to Urinary Tract Infection
NCT00678041,2016-08-03,May 2008,May 2009,May 2009,2008-05-10,2016-05-10,Interventional,Not Applicable,10,Terminated,"A Randomized, Double-blind, Placebo-controlled Trial Examining the Effect of Nitrofurantoin Prophylaxis in Women Performing Clean Intermittent Self-catheterization (CISC) After Surgery for Urinary Incontinence and/or Pelvic Organ Prolapse",Nitrofurantoin and Urinary Tract Infections (UTIs)
NCT00682851,2016-08-15,July 2008,April 2009,April 2009,2008-05-16,2011-07-08,Observational,NA,519,Completed,A Validation Study of Genzyme Diagnostics OSOM Trichomonas Rapid Test and BVBlue Test,A Validation Study of Genzyme Diagnostics OSOM Trichomonas Rapid Test and BVBlue Test
NCT00683865,2014-10-12,April 2003,October 2004,October 2004,2008-05-21,NA,Interventional,Phase 3,749,Completed,"Prospective, Randomized, Double-blind, Multicenter, Multinational Study Comparing Efficacy and Safety of Moxifloxacin 400 mg po od for 14 Days With Ofloxacin 400 mg po Bid Plus Metronidazole 500 mg po Bid for 14 Days in Patients With Uncomplicated Pelvic Inflammatory Disease (PID)",Uncomplicated Pelvic Inflammatory Disease. Treatment With Moxifloxacin.
