"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT04239313","A Phase Ib Study of the Recombinant Mycobacterium Tuberculosis Vaccine Freeze-dried (AEC/BC02)",,"Completed","No Results Available","Tuberculosis","Biological: Low-dose freeze-dried recombinant tuberculosis vaccine (AEC / BC02)|Biological: Low-dose adjuvant for freeze-dried recombinant tuberculosis vaccine (AEC / BC02)|Biological: Lyophilized recombinant tuberculosis vaccine (AEC / BC02) placebo","The number of adverse events after intramuscular injection|Laboratory markers of immunity","Anhui Zhifei Longcom Biologic Pharmacy Co., Ltd.","All","18 Years to 45 Years   (Adult)","Phase 1","30","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","AEC/BC02-Ⅰb-healthy","May 27, 2020","February 24, 2021","June 20, 2022","January 27, 2020",,"September 6, 2022","Wuhan Infectious Disease Hospital, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04239313"
12,"NCT05364593","Evaluation of Point-of-care Ultrasound in Children From 6 Months to 15 Years With Presumptive Tuberculosis",,"Completed","No Results Available","Tuberculosis",,"To describe the sonographic findings obtained by TB-focused POCUS methodology|To establish the sensitivity, specificity, positive predictive value and negative predictive value of POCUS positive as a composite against a composite reference of the final diagnosis|To describe the sonographic signs according to HIV status (positive, negative)|To describe the sonographic signs according to nutritional status (severe acute malnutrition (SAM) or not SAM)|To determine the proportion of children with improvement / resolution of sonographic signs and the proportion without improvement of sonographic signs at 2 months of follow-up in children with and without TB|To describe operational aspects of POCUS: compliance|To describe operational aspects of POCUS: duration of POCUS|To describe operational aspects of POCUS: mean time to diagnosis","Medecins Sans Frontieres, Spain","All","6 Months to 15 Years   (Child)",,"576","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","MSF18116","June 26, 2019","June 30, 2023","December 15, 2023","May 6, 2022",,"January 9, 2024","Simao Mendes Hospital, Bissau, Guinea-Bissau|Malakal hospital, Malakal, Upper Nile, South Sudan","""Study Protocol and Informed Consent Form"", https://classic.clinicaltrials.gov/ProvidedDocs/93/NCT05364593/Prot_ICF_000.pdf","https://ClinicalTrials.gov/show/NCT05364593"
13,"NCT05259254","Effectiveness Of Mobile Application To Improve Adherence To Tuberculosis Treatment",,"Recruiting","No Results Available","Tuberculosis","Other: Mobile Application|Other: Direct Observed Therapy","Adherence Level assessed by number of participants completed daily medication observation|Retention and Completion Rate assessed by number of active users of mobile application and number of participants who can complete intervention from the date of randomization|Usability Score assessed by validated English and Malay version of Usability Scale Questionnaire for the Assessment of Mobile Apps|Health-related quality of life (HR-QOL) assessed by English and Malay Version of EUROQOL EQ5D-3L Questionnaire|Patient satisfaction assessed by the English and Malay Version of Short-Form Patient Satisfaction Questionnaire (PSQ-18)|Employment assessed by asking the total monthly household income and total time needed for medication observation","Mohd Fazeli bin Sazali|Ministry of Health, Malaysia|Universiti Malaysia Sabah","All","18 Years and older   (Adult, Older Adult)","Not Applicable","300","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","PatuhTB01","June 1, 2022","May 28, 2023","May 28, 2023","February 28, 2022",,"November 7, 2022","Mohd Fazeli bin Sazali, Kota Kinabalu, Sabah, Malaysia",,"https://ClinicalTrials.gov/show/NCT05259254"
14,"NCT03230409","Impact of Nursing Interventions on Adherence to Treatment With Anti-tuberculosis Drugs in Children and Adolescents",,"Completed","No Results Available","Tuberculosis","Behavioral: Leaflet written in the patient's/family mother tongue|Behavioral: A follow-up telephone call|Biological: Eidus-Hamilton Test|Behavioral: A written questionnaire","Adherence to treatment|Risk Factors","Hospital Sant Joan de Deu|Official Barcelona Nurses Association (COIB)","All","up to 18 Years   (Child, Adult)","Not Applicable","359","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Factorial Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","PIC-68-13","January 1, 2014","September 30, 2016","January 15, 2017","July 26, 2017",,"July 26, 2017",,,"https://ClinicalTrials.gov/show/NCT03230409"
15,"NCT05994144","""Conducting A Study On Video Observed Therapy In The Management Of Tuberculosis""","VOT","Not yet recruiting","No Results Available","Tuberculosis","Other: VIDEO OBSERVED THERAPY","Treatment adherence in percentage from both arms|Seroconversion rate|Side effects incidents report|Patients suffering with side effects|Degree of patient's satisfaction|Time save|Cost saving","University of Malaya","All","18 Years and older   (Adult, Older Adult)","Not Applicable","240","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","AISH7","December 1, 2023","March 30, 2024","June 30, 2024","August 16, 2023",,"August 16, 2023","Hospital Sultanah Nur Zahira, Kuala Terengganu, Terengganu, Malaysia",,"https://ClinicalTrials.gov/show/NCT05994144"
16,"NCT04608955","Evaluation of Early Bactericidal Activity and Safety in Pulmonary Tuberculosis With WX-081","WX-081","Completed","No Results Available","Pulmonary Tuberculosis","Drug: WX-081|Drug: Bedaquiline|Drug: Standard treatment|Drug: Multi-drug background treatment (MBT)","Time to positive (TTP)|Early bactericidal activity (EBA) of WX-081|change of electrocardiogram QT interval|The percentage of participants with sputum culture-negative conversion.|Rate of change of colony forming units (CFU)|The percentage of participants with sputum smear-negative conversion.|heart rate|blood pressure|Maximum plasma concentration (Cmax)|Time to reach maximum plasma concentration (Tmax)|Area under the plasma concentration versus time curve (AUC(0-t))|Terminal plasma half-life (t1/2)","Shanghai Jiatan Pharmatech Co., Ltd","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 2","99","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","JYB0201","October 16, 2020","April 13, 2022","April 13, 2022","October 30, 2020",,"September 11, 2023","Beijing Chest Hospital affiliated to Capital Medical University, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT04608955"
17,"NCT04187313","Increasing Notifications of Tuberculosis From Private Practitioners","INSTEP2","Completed","No Results Available","Tuberculosis","Other: INSTEP2 intervention package","Increased notification of tuberculosis (TB) by study participants|Proportion of referred patients in the intervention and control arms that are actually diagnosed with TB|Restricted analysis of primary outcome","Universitas Padjadjaran|University of Otago|Harvard University","All","Child, Adult, Older Adult","Not Applicable","105","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Health Services Research","TB-201911.02","July 1, 2020","August 31, 2022","August 31, 2022","December 5, 2019",,"October 18, 2023","Universitas Padjadjaran Teaching Hospital, Bandung, Jawa Barat, Indonesia","""Study Protocol"", https://classic.clinicaltrials.gov/ProvidedDocs/13/NCT04187313/Prot_000.pdf|""Statistical Analysis Plan"", https://classic.clinicaltrials.gov/ProvidedDocs/13/NCT04187313/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT04187313"
18,"NCT04768231","Rifampicin at High Dose for Difficult-to-Treat Tuberculosis","RIAlta","Unknown status","No Results Available","Tuberculosis","Drug: Rifampin","Safety of rifampicin at 35mg/kg/day|Efficacy of rifampicin at 35mg/kg/day in pulmonary tuberculosis|Tolerability of rifampicin at 35mg/kg/day","Hospital Universitari Vall d'Hebron Research Institute|University Medical Center Groningen|Radboud University Medical Center|Centro Hospitalar De São João, E.P.E.|Instituto Nacional de Enfermedades Respiratorias y del Ambiente, Paraguay","All","18 Years and older   (Adult, Older Adult)","Phase 2","130","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","RIAlta-1|2020-003146-36","April 1, 2021","December 31, 2022","December 31, 2023","February 24, 2021",,"February 24, 2021","University Medical Center, Groningen, Netherlands|Radboud University Medical Center, Nijmegen, Netherlands|Instituto Nacional de Enfermedades Respiratorias y del Ambiente, Asunción, Paraguay|Centro Hospitalario Universitario de Sao Joao, Porto, Portugal|Hospital Universitari Vall d'Hebron. Universitat Autonoma de Barcelona, Barcelona, Spain",,"https://ClinicalTrials.gov/show/NCT04768231"
19,"NCT06118619","A Multicenter Clinical Trial of Ingaron in Pulmonary Tuberculosis",,"Recruiting","No Results Available","Respiratory Tuberculosis","Drug: Interferon-Gamma","Proportion of abacillated patients|Proportion of patients who died|Proportion of patients who required a change in therapy|Proportion of patients with adverse reactions|Changes in the level of CD4 lymphocytes and HIV viral load in the blood","SPP Pharmaclon Ltd.","All","18 Years to 78 Years   (Adult, Older Adult)",,"350","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","GAM2022","June 1, 2022","December 31, 2023","March 1, 2024","November 7, 2023",,"November 9, 2023","Astrakhan Oblast Tuberculosis Clinic, Astrakhan, Astrakhan Oblast, Russian Federation|Tuberculosis Clinic of the Chuvash Republic, Cheboksary, Chuvash Republic, Russian Federation|Leningrad Oblast Tuberculosis Clinic, Slantsy, Leningrad Oblast, Russian Federation|Leningrad Oblast Tuberculosis Hospital in Tikhvin, Tikhvin, Leningrad Oblast, Russian Federation|Clinical Phthisiopulmonological Medical Center, Perm, Perm Region, Russian Federation|Tuberculosis Clinic of the Republic of Bashkortostan, Ufa, Republic Of Bashkortostan, Russian Federation|Republican Tuberculosis Clinic, Kazan, Republic Of Tatarstan, Russian Federation|Ryazan Oblast Tuberculosis Clinic, Ryazan, Ryazan Oblast, Russian Federation|Sverdlovsk Oblast Clinical Medical Center of Phthisiopulmonology and Infectious Diseases, Yekaterinburg, Sverdlovsk Oblast, Russian Federation|Volgograd Oblast Tuberculosis Clinic, Volgograd, Volgograd Oblast, Russian Federation|N. S. Pokhvisneva Voronezh Oblast Clinical Tuberculosis Dispensary, Voronezh, Voronezh Oblast, Russian Federation|Yaroslavl regional tuberculosis clinic, Yaroslavl, Yaroslavl Region, Russian Federation|City tuberculosis clinic, Saint Petersburg, Russian Federation",,"https://ClinicalTrials.gov/show/NCT06118619"
20,"NCT05772065","Clinical Practice Guidelines Versus Decision-support for Latent Tuberculosis Infection (LTBI) Management",,"Completed","No Results Available","Latent Tuberculosis","Behavioral: CDC/NTCA guidelines only|Behavioral: LTBI ASSIST and CDC/NTCA guidelines only","Reported confidence with LTBI management [using a Likert scale questionnaire developed by study team]|Proportion of appropriate LTBI care selection|Time to LTBI care selection","Johns Hopkins University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","168","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","IRB00376488","June 1, 2023","July 17, 2023","July 17, 2023","March 16, 2023",,"January 3, 2024","Johns Hopkins, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT05772065"
21,"NCT04709159","Impact of Mobile Health Interactive Software on Tuberculosis Outcomes; The Call for Life (CFLU-TB) Project","CFLU-TB","Unknown status","No Results Available","Tuberculosis","Other: Call for Life Uganda","Treatment success|TB cure for patients with bacteriologically diagnosed TB|Treatment completion for patients with clinically diagnosed TB|Retention in care|Experiences of patients and care providers towards CFLU™|Cost effectiveness of the CFLU™ intervention|Adherence to TB medicines|Appointment keeping|Knowledge about HIV/TB|Drug resistant TB rates|Uptake of intervention","Makerere University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","274","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","ST/263/2020","October 19, 2020","July 2022","July 2022","January 14, 2021",,"January 26, 2021","Kasangati Health Centre IV, Kampala, Uganda|Kisenyi Health Centre IV, Kampala, Uganda|Kiryandongo Hospital, Kiryandongo, Uganda",,"https://ClinicalTrials.gov/show/NCT04709159"
22,"NCT03800888","Real-time Tuberculosis Medication Adherence Intervention in Rural Southwestern Uganda","MAT K43","Unknown status","No Results Available","Tuberculosis","Other: Daily SMS reminders for TB patients|Other: SMS Notifications for social supporters|Other: Weekly SMS remiders","Percent adherence|Treatment success rate.","Mbarara University of Science and Technology|Massachusetts General Hospital|National Institutes of Health (NIH)","All","18 Years and older   (Adult, Older Adult)","Not Applicable","100","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","MUST-16/10-16","January 10, 2019","June 2021","July 2021","January 11, 2019",,"February 7, 2019","Mbarara Regional Referral Hospital, Mbarara, Uganda",,"https://ClinicalTrials.gov/show/NCT03800888"
23,"NCT05455112","Safety and Efficacy of RUTI® With the Standard of Treatment for Tuberculosis","CONSTAN-ARG","Recruiting","No Results Available","Tuberculosis, Pulmonary","Biological: RUTI® Vaccine|Biological: Placebo","Early bactericidal activity (EBA) 0-14|Adverse events|Grade 3-4 adverse events|Time to sputum culture conversion (SCC)|Proportion of SCC at week 16|Early bactericidal activity (EBA) 2-14|Early bactericidal activity (EBA) 7-14|Early bactericidal activity (EBA) 24 weeks|Proportion of SCC per weeks|Clinical worsening|Improvement of clinical signs and symptoms|Improvement of quality of life|Discontinuation of TB treatment","Archivel Farma S.L.","All","18 Years and older   (Adult, Older Adult)","Phase 2","44","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CONSTAN-ARG","October 29, 2022","August 2024","December 2024","July 13, 2022",,"January 31, 2024","Hospital José Nestor Lencinas, Godoy Cruz, Mendoza, Argentina|Hospital de Clínicas Presidente Dr. Nicolás Avellaneda, San Miguel De Tucumán, Tucumán, Argentina",,"https://ClinicalTrials.gov/show/NCT05455112"
24,"NCT05047055","Four Months Moxifloxacin Containing Daily Regimen Study Among New Pulmonary Tuberculosis Patients",,"Active, not recruiting","No Results Available","Tuberculosis, Pulmonary","Drug: Isoniazid|Drug: Rifampicin|Drug: Pyrazinamide|Drug: Ethambutol|Drug: Moxifloxacin","TB recurrence free cure|Adverse drug reaction|TB Sustained treatment Success, failure, death, loss to follow up|TB Relapse and Reinfection","Tuberculosis Research Centre, India|Indira Gandhi Government Medical College and Hospital (IGGMCH), Nagpur|King George's Medical University, Lucknow|Mahavir Hospital and Research Centre, Hyderabad|Government Vellore Medical College and Hospital, Adukkamparai|Lok Nayak hospital, New Delhi","All","18 Years to 65 Years   (Adult, Older Adult)",,"550","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2021010","March 15, 2022","March 31, 2025","March 31, 2025","September 16, 2021",,"January 5, 2024","National Institute for Research in Tuberculosis, Chennai, Tamilnadu, India",,"https://ClinicalTrials.gov/show/NCT05047055"
25,"NCT05656287","My Mobile Wallet: An Intervention for Tuberculosis Medication Adherence in Rural Uganda","M_wallet","Recruiting","No Results Available","Tuberculosis","Other: SMS texts + incentives + Wisepill device for medication monitoring|Other: SMS texts only + Wisepill device for medication monitoring|Other: Wisepill device for medication monitoring only","Medication adherence rates among patients|Number of patients who used the intervention|TB treatment completion|Clinic Attendance|Mortality|Cure rate","Mbarara University of Science and Technology","All","18 Years to 100 Years   (Adult, Older Adult)","Not Applicable","242","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","MUST-2021-102","April 14, 2022","December 2025","May 2026","December 19, 2022",,"December 19, 2022","Mbarara Regional Referral Hospital, Mbarara, Uganda",,"https://ClinicalTrials.gov/show/NCT05656287"
26,"NCT04547738","Influence of Filarial Infections on Tuberculosis Disease and Tuberculosis Vaccination in Cameroon","MAP-TB","Unknown status","No Results Available","Tuberculosis","Drug: TB treatment according to national guidelines","Influence of filariae infection on TB disease outcome and BCG vaccination|Biomarkers for TB severity and BCG vaccination","University Hospital, Bonn","All","5 Years and older   (Child, Adult, Older Adult)",,"2500","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","HO2009/14-1","December 1, 2020","October 1, 2023","October 1, 2023","September 14, 2020",,"November 23, 2021","University of Buea, Buea, Cameroon",,"https://ClinicalTrials.gov/show/NCT04547738"
27,"NCT05537038","Safety and Immune Responses After Vaccination With Two Investigational RNA-based Vaccines Against Tuberculosis in Healthy Volunteers",,"Recruiting","No Results Available","Tuberculosis","Biological: BNT164a1|Biological: BNT164b1|Other: Placebo","Frequency of solicited local reactions (pain, erythema/redness, induration/swelling) at the injection site up to 7 days after each dose|Frequency of solicited systemic reactions (vomiting, diarrhea, headache, fatigue, muscle pain and joint pain, chills, and fever) up to 7 days after each dose|Proportion of participants with at least one adverse event (AE) occurring from each dose to 28 days after each dose|Proportion of participants with at least one AE occurring from Dose 1 to 28 days post-Dose 3|Proportion of participants with at least one serious adverse event (SAE) or medically attended adverse event (MAAE) occurring from Dose 1 up to 168 days post-Dose 3|Number of AEs from Dose 1 to 28 days post-Dose 3","BioNTech SE","All","18 Years to 55 Years   (Adult)","Phase 1","128","Industry","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","BNT164-01|2022-000911-29","April 18, 2023","September 2024","September 2025","September 13, 2022",,"February 8, 2024","emovis GmbH, Berlin, Germany|CRS Clinical Research Services Berlin GmbH, Berlin, Germany|CRS Clinical Research Services Mannheim GmbH, Mannheim, Germany",,"https://ClinicalTrials.gov/show/NCT05537038"
28,"NCT01587677","Evaluation of a LAM FLISA for the Diagnosis of Tuberculosis","LAM FLISA","Completed","No Results Available","Tuberculosis",,"Rate of patients with false positive and false negative urine LAM detection|Rate of patients with false negative and false positive blood LAM detection","Research Center Borstel|German Cancer Research Center","All","18 Years and older   (Adult, Older Adult)",,"92","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","RCBorstel001","February 2012","November 2012","February 2013","April 30, 2012",,"October 6, 2016","Research Center Borstel, Borstel, Germany",,"https://ClinicalTrials.gov/show/NCT01587677"
