nct_id,affiliation,organization
NCT04427410,Cukurova University,NA
NCT05700760,Michigan State University,NA
NCT06250933,Bilecik Seyh Edebali Universitesi,NA
NCT04487171,NA,NA
NCT02862444,NA,NA
NCT02883686,"University of Colorado, Boulder",NA
NCT04278456,Erzincan University,NA
NCT02532504,NA,NA
NCT02010840,NA,NA
NCT02020148,NA,NA
NCT05077644,NA,NA
NCT06282419,Ataturk University,NA
NCT06276647,University of Pennsylvania,NA
NCT03027037,"University of Colorado, Boulder",NA
NCT04135612,NA,NA
NCT00602355,Women and Infants Hospital of Rhode Island,NA
NCT06042166,NA,NA
NCT06355375,Federico II University,NA
NCT05806463,NA,NA
NCT05314361,McMaster University,NA
NCT06277661,Ohio State University,NA
NCT04051320,NA,NA
NCT04437342,General and Maternity Hospital of Athens Elena Venizelou,NA
NCT04146025,NA,NA
NCT00392847,NA,NA
NCT00276900,University of Pittsburgh,NA
NCT04384887,Kanuni Sultan Suleyman Training and Research Hospital,NA
NCT01909167,NA,NA
NCT05362305,Unity Health Toronto,NA
NCT03596879,Henry Ford Health System,NA
NCT01838889,NA,NA
NCT00051246,NA,NA
NCT00056901,NA,NA
NCT04037085,University of Pittsburgh,NA
NCT04355091,Istanbul University - Cerrahpasa (IUC),NA
NCT01178008,The University of Hong Kong,NA
NCT05382884,University of British Columbia,NA
NCT00043602,NA,University of Iowa
NCT03499756,The Hong Kong Polytechnic University,NA
NCT02121015,University of Illinois at Chicago,NA
NCT06221280,Kahramanmaras Sutcu Imam University,NA
NCT00183547,NA,Johns Hopkins Center for American Indian Health
NCT06253676,George Washington University,NA
NCT06253390,NA,NA
NCT06252155,Trakya University,NA
NCT02133963,"University of North Carolina, Chapel Hill",NA
NCT05543746,NA,NA
NCT03777046,Baylor College of Medicine,NA
NCT01309516,NA,NA
NCT04348929,"Central Hospital, Nancy, France",NA
NCT04847076,Universidad del Desarrollo,NA
NCT05997953,Al-Azhar University,NA
NCT03460756,NA,NA
NCT04928742,McMaster University,NA
NCT04350333,University of Rome G. Marconi,NA
NCT05186272,NA,NA
NCT05097586,Women's College Hospital,NA
NCT04680585,Women's College Hospital,NA
NCT04815044,Ostfold University College,NA
NCT02661789,"Rigshospitalet, Denmark",NA
NCT05059600,NA,NA
NCT04068662,NA,NA
NCT03228394,NA,NA
NCT01087112,NA,"Dept. of Woman and Child Health, Child and Adolescent Psychiatry Unit, Karolinska Institute"
NCT05399784,NA,NA
NCT03665038,NA,NA
NCT00744328,Northwestern University,NA
NCT00436150,Women and Infants Hospital of Rhode Island,NA
NCT05573009,Istanbul University,NA
NCT00745537,University of Pittsburgh,NA
NCT00402389,NA,NA
NCT05815433,University of Calgary,NA
NCT00602732,NA,NA
NCT00604604,NA,"Lawrence S. Bloomberg Faculty of Nursing, University of Toronto"
NCT04860661,Tongji Hospital,NA
NCT04364646,Rhode Island Hospital,NA
NCT06246214,NA,NA
NCT04818047,University of Calgary,NA
NCT03052374,University of Calgary,NA
NCT04264520,Medical University of South Carolina,NA
NCT05520580,NA,NA
NCT02323152,Basque Health Service,NA
NCT05891717,NA,NA
NCT05453734,Istanbul University - Cerrahpasa (IUC),NA
NCT04045132,NA,NA
NCT04347499,Peshawar Medical College,NA
NCT00373750,Johns Hopkins Bloomberg School of Public Health,NA
NCT04376021,Nurturely,NA
NCT00804739,University of Rochester,NA
NCT04845230,NA,NA
NCT04011592,"The University of Texas Health Science Center, Houston",NA
NCT02843022,NA,NA
NCT01280474,NA,"School of Public Health, Taipei Medical University"
NCT00059228,NA,NA
NCT00833469,Massachusetts General Hospital,NA
NCT05400161,NA,NA
NCT05044546,NA,NA
NCT04043533,Adiyaman University Research Hospital,NA
NCT02791932,NA,NA
NCT04933708,University of Pennsylvania,NA
NCT05299398,Lawson Health Research Institute,NA
NCT02213601,NA,NA
NCT05148260,Nottingham Trent University,NA
NCT05784116,IRCCS San Raffaele,NA
NCT04108533,University of Pennsylvania,NA
NCT06042972,Centre Médical Porte Verte,NA
NCT02813174,i4Health,NA
NCT03417960,Medical University of South Carolina,NA
NCT02516982,NA,NA
NCT04663243,University of the Punjab,NA
NCT01217658,"The University of Texas Health Science Center, Houston",NA
NCT00942721,NA,NA
NCT03924492,NA,NA
NCT04093791,University of Roma La Sapienza,NA
NCT04296734,Northwestern University,NA
NCT04741971,Buddhist Tzu Chi General Hospital,NA
NCT02505984,Massachusetts General Hospital,NA
NCT02614547,NA,NA
NCT05038085,Gazi University,NA
NCT02692404,University of Pittsburgh,NA
NCT04857593,NA,NA
NCT05225987,Hacettepe University,NA
NCT03167905,NA,NA
NCT03837392,University of Iowa,NA
NCT05654987,NA,NA
NCT04925765,University of Pittsburgh,NA
NCT04706442,National University of Singapore,NA
NCT02272387,NA,NA
NCT05206552,Rabin Medical Center,NA
NCT01602913,NA,NA
NCT03427528,Northwestern University,NA
NCT04964206,Peking University First Hospital,NA
NCT04414943,Peking University First Hospital,NA
NCT03927378,Peking University First Hospital,NA
NCT05585164,NA,NA
NCT00298311,University of Calgary,NA
NCT06258655,University of Turku,NA
NCT04183946,NA,NA
NCT00282776,University of Pittsburgh,NA
NCT06293274,Kocaeli University,NA
NCT06148831,Nurturely,NA
NCT06057012,NA,NA
NCT05353491,University of Liverpool,NA
NCT04940585,NA,NA
NCT05345834,Children's National Research Institute,NA
NCT02790905,NA,NA
NCT03654261,McMaster University,NA
NCT04565730,Medipol University,NA
NCT02682004,Zeynep Kamil Maternity and Pediatric Research and Training Hospital,NA
NCT03210155,"Murphey, Christina, RN, PhD",NA
NCT02355067,NA,NA
NCT01328613,NA,NA
NCT04087317,Rambam Health Care Campus,NA
NCT05209789,NA,NA
NCT03880032,NA,NA
NCT04138368,"HaEmek Medical Center, Israel",NA
NCT02738021,NA,NA
NCT03381495,Tongji Hospital,NA
NCT00361478,NA,The University of Melbourne
NCT03709004,NA,NA
NCT04073043,McGill University,NA
NCT05643898,Pontificia Universidad Catolica de Chile,NA
NCT00617045,Yale University,NA
NCT05588089,Hitit University,NA
NCT05444179,Universiti Teknologi Mara,NA
NCT05423093,NA,NA
NCT04506489,NA,NA
NCT03351465,"University of California, Los Angeles",NA
NCT01587729,NA,NA
NCT04279093,Manchester Academic Health Science Centre,NA
NCT04844138,University of Manitoba,NA
NCT03346551,NA,NA
NCT03464630,Georgia State University,NA
NCT03793569,Milton S. Hershey Medical Center,NA
NCT02953626,NA,NA
NCT04442529,NA,NA
NCT03022526,University of Pittsburgh,NA
NCT02121496,New York State Psychiatric Institute,NA
NCT05958095,Healthcare Innovation Technology Lab,NA
NCT04332146,The University of Hong Kong,NA
NCT00795652,NA,NA
NCT05751746,NA,NA
NCT06131255,NA,NA
NCT04821544,University of Idaho,NA
NCT06316193,IRCCS Ospedale San Raffaele,NA
NCT05055674,University of Sao Paulo,NA
NCT02122393,University of Melbourne,NA
NCT00380419,University of Michigan,NA
NCT03247491,Hospital Miguel Servet,NA
NCT03573713,Food for the Hungry,NA
NCT02210702,NA,NA
NCT04169334,"Copenhagen University Hospital, Hvidovre",NA
NCT02053649,Rhode Island Hospital,NA
NCT04636398,NA,NA
NCT02057627,Spaulding Rehabilitation Hospital,NA
NCT05040581,McMaster University,NA
NCT04769700,Instituto Mexicano del Seguro Social,NA
NCT03212547,NA,NA
NCT05893485,Baylor College of Medicine,NA
NCT04923698,Cairo University,NA
NCT02566980,Michigan State University,NA
NCT02441595,Karolinska Institutet,NA
NCT04472065,Massachusetts General Hospital,NA
NCT05753176,NA,NA
NCT04741776,Dartmouth-Hitchcock Medical Center,NA
NCT03039530,McMaster University,NA
NCT03715218,NA,NA
NCT00929409,NA,NA
NCT02526433,NA,NA
NCT02978326,NA,NA
NCT00681668,NA,"AstraZeneca, MC Germany"
NCT02559986,Indiana University,NA
NCT00951717,NA,NA
NCT04285684,NA,NA
NCT03836430,Brigham and Women's Hospital,NA
NCT04834622,NA,NA
NCT04836585,Women's College Hospital,NA
NCT01925664,NA,NA
NCT04129476,Gonabad University of Medical Sciences,NA
NCT05698394,Peking University First Hospital,NA
NCT00782912,NA,NA
NCT05400382,University of Illinois at Urbana-Champaign,NA
NCT01899534,University of Alberta,NA
NCT03763435,Bartin State Hospital,NA
NCT02191423,NA,NA
NCT04441879,University of Coimbra,NA
NCT04576754,NA,NA
NCT02285504,NA,NA
NCT02148965,Federal University of Pelotas,NA
NCT02526407,NA,NA
NCT04227704,Washington University School of Medicine,NA
NCT01175603,NA,NA
NCT03004872,University of Michigan,NA
NCT05215028,NA,NA
NCT01002027,NA,University of Melbourne & Austin Health
NCT02495350,Rabin Medical Center,NA
NCT04845347,University of Michigan,NA
NCT03803189,Women's College Hospital,NA
NCT03791021,Sheba Medical Center,NA
NCT01312883,NA,Mount Sinai School of Medicine
NCT05820958,The Jerzy Kukuczka Academy of Physical Education in Katowice,NA
NCT06208852,NA,NA
NCT06207916,Region Östergötland,NA
NCT04685148,"Rigshospitalet, Denmark",NA
NCT05897619,NA,NA
NCT02221895,NA,NA
NCT01463202,University of Pittsburgh,NA
NCT01648816,NA,NA
NCT01744041,NA,NA
NCT03120208,NA,NA
NCT03196726,"Ministry of Health, Malaysia",NA
NCT06004232,NA,NA
NCT03990389,NA,NA
NCT03887910,NA,NA
NCT06237569,Inonu University,NA
NCT05285215,KK Women's and Children's Hospital,NA
NCT05764213,Medical University of South Carolina,NA
NCT03336541,Peking University First Hospital,NA
NCT01028482,NA,Tel aviv Sourasky medical center
NCT00711971,University of Michigan,NA
NCT06136520,Istanbul University - Cerrahpasa (IUC),NA
NCT00560027,Johns Hopkins University,NA
NCT04934488,McMaster University,NA
NCT02352142,Columbia University,NA
NCT05225025,University of Rochester,NA
NCT04366817,NA,NA
NCT02942004,NA,NA
NCT04297956,Wuerzburg University Hospital,NA
NCT04853693,NA,NA
NCT03638687,NA,NA
NCT03416010,Ohio State University,NA
NCT03438071,NA,NA
NCT03415321,Necmettin Erbakan University,NA
NCT05763537,NA,NA
NCT03420755,Northwestern University,NA
NCT06273423,Montana State University,NA
NCT06144294,NA,NA
NCT05772897,NA,NA
NCT04442503,NA,NA
NCT05046405,University of Coimbra,NA
NCT03309163,Xinqiao Hospital of Chongqing,NA
NCT03357965,Umraniye Education and Research Hospital,NA
NCT03791749,NA,NA
NCT02094092,Ferozsons Laboratories Ltd.,NA
NCT05159726,NA,NA
NCT05845840,NA,NA
NCT05821569,NA,NA
NCT04813341,NA,NA
NCT06053515,NA,NA
NCT03856931,The Hospital for Sick Children,NA
NCT05622305,NA,NA
NCT05503056,Medstar Health Research Institute,NA
NCT05044455,McMaster University,NA
NCT04414696,NA,NA
NCT06348316,Trakya University,NA
NCT02373709,NA,NA
NCT03088319,Institut de Recherche Biomedicale des Armees,NA
NCT05322161,Seattle Children's Hospital,NA
NCT06275217,The Hong Kong Polytechnic University,NA
NCT06242717,University of British Columbia,NA
NCT05000879,"University of Colorado, Boulder",NA
NCT05173285,Royal Holloway University,NA
NCT05229913,Qinghai University,NA
NCT05133583,Adiyaman University Research Hospital,NA
NCT02726659,NA,NA
NCT04998565,NA,NA
NCT02497677,University of Copenhagen,NA
NCT05275413,The Hong Kong Polytechnic University,NA
NCT03267043,Columbia University,NA
NCT01439269,Columbia University,NA
NCT04012580,NA,NA
NCT03300713,NA,NA
