nct_id,affiliation
NCT00251342,"Family Health Service, Department of Health, HKSAR"
NCT04297956,Würzburg University Hospital
NCT03638687,Johns Hopkins University
NCT01602913,GlaxoSmithKline
NCT03416010,Ohio State University
NCT04813341,Riphah college of rehabilitation and allied health sciences - Rawalpindi
NCT00298311,University of Calgary
NCT06258655,University of Turku
NCT06258655,University of Tartu and Tartu University Hospital
NCT06258655,Tallinn Children's Hospital
NCT06258655,West Tallinn Central Hospital
NCT06258655,University of Turku
NCT06273423,Montana State University
NCT06144294,Weill Medical College of Cornell University
NCT06144294,Weill Medical College of Cornell University
NCT01407783,Washington University School of Medicine
NCT00282776,University of Pittsburgh
NCT02094092,"Fauji Foundation Hospital, Rawalpindi"
NCT06053515,University of Maryland
NCT06053515,University of Maryland
NCT05622305,McMaster University
NCT05503056,Medstar
NCT05044455,McMaster University
NCT03856931,The Hospital for Sick Children
NCT04414696,Kaiser Permanente
NCT02373709,KK Research Centre
NCT05322161,Seattle Children's Hospital
NCT06275217,"Department of Rehabilitation Sciences, The Hong Kong Polytechnic University"
NCT05173285,Royal Holloway University
NCT05229913,"Department of Anesthesiology, Qinghai Red Cross Hospital"
NCT04998565,"Department of Chinese Medicine, China Medical University"
NCT03267043,Columbia University
NCT01439269,Columbia University
NCT03300713,"University Hospital, Lille"
NCT05813782,Tokat Gaziosmanpaşa University
NCT03267563,Michigan State University
NCT03267563,Michigan State University
NCT04087317,Rambam Medical Health Center
NCT05887115,University of Colorado School of Medicine
NCT05887115,Nationwide Children's Hospital
NCT05159726,Yale University
NCT05676918,Universidad Complutense de Madrid
NCT00782912,Unity Health Toronto
