nct_id,last_update_submitted_date,start_month_year,completion_month_year,primary_completion_month_year,study_first_submitted_date,results_first_submitted_date,study_type,phase,enrollment,overall_status,official_title,brief_title
NCT00518830,2007-08-20,March 2004,July 2006,NA,2007-08-20,NA,Interventional,Not Applicable,230,Completed,Randomized Clinical Trial for the Treatment of Postnatal Depression,"Treatment of Postnatal Depression for Low-Income Mothers in Primary Care in Santiago, Chile"
NCT00548743,2007-12-03,September 2005,August 2010,NA,2007-10-22,NA,Interventional,Not Applicable,3000,Unknown status,"Practice Based Clinical Trial of Screening, Diagnosis and Follow up Management for Postpartum Depression in Family Medicine Practices.",Translating Research Into Practice for Postpartum Depression
NCT00560027,2015-05-26,July 2010,June 2013,June 2013,2007-11-16,NA,Interventional,Not Applicable,173,Completed,"Screening, Referral and Case Management for Postpartum Depression and Intimate Partner Violence in an Urban Pediatric Practice",Case Management Study for Postpartum Depression and Intimate Partner Violence
NCT00565032,2010-01-26,January 2000,August 2001,NA,2007-11-27,NA,Observational,NA,75,Completed,Postpartum Thyroid Measures and Mood,Postpartum Thyroid Measures and Mood
NCT00601757,2014-01-29,January 2006,December 2012,December 2012,2008-01-22,NA,Interventional,Phase 2,207,Completed,Depression Intervention for Financially Disadvantaged Pregnant Women.,Depression Prevention for Pregnant Women on Public Assistance
NCT00602355,2016-07-29,February 2008,July 2014,July 2014,2008-01-23,2016-06-01,Interventional,Phase 2,162,Completed,Placebo Controlled Trial of Sertraline and Interpersonal Psycho-Therapy for Postpartum Depression,Effectiveness of Sertraline Alone and Interpersonal Psychotherapy Alone in Treating Women With Postpartum Depression
NCT00602732,2014-03-27,September 2005,December 2013,December 2013,2008-01-22,NA,Interventional,Phase 1,60,Completed,Intervention for Low-income Pregnant Women With Partner Abuse,Interpersonal Treatment Program to Prevent Depression and Post-Traumatic Stress Disorder in Low-Income Pregnant Women With Partner Abuse
NCT00604604,2015-06-02,August 2004,April 2007,April 2007,2008-01-17,NA,Interventional,Not Applicable,702,Completed,An RCT to Evaluate the Effectiveness of Peer (Mother-to-Mother) Support for the Prevention of Postpartum Depression,Postpartum Depression Prevention Trial
NCT00617045,2016-06-15,July 2007,May 2013,December 2012,2008-02-04,NA,Interventional,Not Applicable,0,Withdrawn,Duloxetine in the Treatment of Postpartum-onset and Non-Postpartum Onset Major Depressive Disorder,Duloxetine for the Treatment of Postpartum Depression
NCT00633178,2021-06-29,January 2005,March 2009,March 2009,2008-03-07,NA,Interventional,Not Applicable,116,Completed,Therapy for Prenatal Depression: Maternal & Fetal Effects,Effectiveness of Group Interpersonal Psychotherapy in Treating Women With Prenatal Depression
NCT00681668,2010-12-07,August 2007,October 2008,October 2008,2008-05-20,2009-10-29,Interventional,Phase 2,5,Terminated,The Effect of the Atypical Antipsychotic Quetiapine in the Treatment of Postpartum Depressive Disorder With Psychotic Symptoms,Quetiapine in Postpartum Depression
NCT00711971,2017-03-17,September 2008,January 2013,August 2012,2008-07-07,2016-11-02,Interventional,Phase 2/Phase 3,126,Completed,Does EPA or DHA Prevent Depressive Symptoms in Pregnancy and Postpartum?,Does Fish Oil Prevent Depression in Pregnancy and Postpartum?
NCT00744328,2019-08-19,August 2008,September 2013,September 2013,2008-08-28,2014-10-13,Interventional,Phase 4,85,Terminated,Postpartum Depression: Transdermal Estradiol Versus Sertraline,Postpartum Depression: Transdermal Estradiol Versus Sertraline
NCT00745537,2015-05-27,April 2008,December 2010,December 2010,2008-09-02,NA,Interventional,Not Applicable,23,Completed,Teens--Building Options and Opportunities for Moms,T- BOOM Teens--Building Options and Opportunities for Moms
NCT00782912,2019-02-20,November 2008,October 2014,October 2014,2008-10-30,NA,Observational,NA,103,Completed,Is Postpartum Anemia an Independent Risk Factor for Development of Postpartum Depression?,Postpartum Anemia and Postpartum Depression
NCT00795652,2016-09-01,May 2006,February 2010,February 2010,2008-11-19,NA,Interventional,Phase 2,62,Completed,"Evidence-based, Distance Treatment for Postpartum Depression, Mom: Managing Our Mood, Part of The Family Help Program","Mom: Managing Our Mood, Part of The Family Help Program"
NCT00804739,2012-02-23,January 2009,January 2012,January 2012,2008-12-08,NA,Interventional,Not Applicable,30,Completed,Adapting Collaborative Care Perinatal Depression Treatment to a Pediatric Setting - Pilot Phase,Perinatal Depression Treatment in a Pediatric Setting- Pilot Phase
NCT00816725,2014-04-10,January 2009,June 2013,June 2013,2009-01-02,NA,Interventional,Not Applicable,1000,Completed,Using the Internet for English/Spanish Randomized Trials for Postpartum Depression,Effectiveness of a Web-based Prevention Program for Postpartum Depression
NCT00833469,2014-08-05,January 2009,April 2011,April 2011,2009-01-29,2014-07-11,Interventional,Phase 4,7,Completed,Escitalopram for the Treatment of Postpartum Depression,Escitalopram (Lexapro) for the Treatment of Postpartum Depression
NCT00929409,2012-02-15,June 2009,July 2010,July 2010,2009-06-26,NA,Interventional,Phase 2/Phase 3,30,Terminated,"A 6-week Randomised, Open Comparative, Multi-centre Study of Intravenous Ferric Carboxymaltose (Ferinject) and Oral Iron (Duroferon) for Treatment of Post Partum Anemia",Controlled Randomised Trial of Ferric Carboxymaltose and Oral Iron to Treat Postpartum Anemia
NCT00942721,2013-11-21,October 2009,April 2013,April 2013,2009-07-20,NA,Interventional,Phase 1,53,Completed,Web-Based Cognitive Behavioral Intervention for Women With Postpartum Depression,Cognitive Behavioral Therapy Delivered Over the Internet for Women With Postpartum Depression
NCT00951717,2011-11-18,July 2009,October 2010,October 2010,2009-08-03,NA,Interventional,Not Applicable,590,Completed,Preparation and Patient Education to Reduce Postpartum Depressive Symptoms,Using a Preparation and Education Intervention to Reduce Postpartum Depression Among New Mothers (The MADE IT 2 Study)
NCT00961402,2019-10-30,September 2009,November 2011,November 2011,2009-08-18,2015-11-11,Interventional,Phase 2,130,Completed,Efficacy of an Exercise Intervention for the Prevention of PostPartum Depression,The Effect of Exercise on Preventing PostPartum Depression
NCT01002027,2009-10-26,November 2004,February 2007,February 2007,2009-10-23,NA,Interventional,Not Applicable,68,Completed,Models of Care: Evaluating a Best Practice Model of Treating Postnatal Depression (PND),Three Model Care Pathways for Postnatal Depression
NCT01028482,2011-05-09,March 2008,January 2011,November 2010,2009-06-03,NA,Interventional,Not Applicable,42,Completed,Treatment of Postpartum Depression With Psychotherapy and Add-on Sertraline,Treatment of Postpartum Depression With Psychotherapy and Add-on Sertraline
NCT01087112,2010-03-15,December 2009,June 2013,June 2012,2009-12-29,NA,Interventional,Early Phase 1,71,Unknown status,A Follow-up Study of a Randomized Controlled Trial of Mother-Infant Psychoanalytic Treatment and Treatment As Usual at Child Health Centres,Mother-Infant Psychoanalysis Project of Stockholm (MIPPS)- Follow-up at 4½ Years
NCT01175603,2016-04-05,October 2009,October 2010,October 2010,2010-08-03,NA,Interventional,Phase 2,82,Completed,NA,Preventing Postpartum Depression in African American Home Visiting Clients
NCT01178008,2013-01-14,May 2010,June 2012,December 2011,2010-08-01,NA,Interventional,Not Applicable,20,Completed,Pilot Study on the Use of Acupuncture for Postpartum Depression,Pilot Study on the Use of Acupuncture for Postpartum Depression
NCT01217658,2015-12-04,January 2011,September 2015,September 2015,2010-10-06,NA,Interventional,Not Applicable,28,Completed,Measuring and Reducing Excessive Infant Crying: A Randomized Trial,Measuring and Reducing Excessive Infant Crying
NCT01280474,2011-01-19,August 2010,August 2013,NA,2011-01-19,NA,Observational,NA,300,Unknown status,Effects of Maternal Depressive Symptomatology on Pregnancy Outcomes and Newborn Development --- How is Paternal Psychopathology Involved?,Effects of Maternal Depressive Symptomatology on Pregnancy Outcomes and Newborn Development --- How is Paternal Psychopathology Involved?
NCT01298778,2018-08-09,August 2010,July 2011,July 2011,2011-02-17,2015-08-31,Interventional,Not Applicable,69,Completed,Improving Pain Relief For Those Who Need It Most After Cesarean Delivery,High Pain Intervention in Cesarean Sections
NCT01309516,2015-09-19,May 2009,May 2011,December 2010,2011-01-22,NA,Interventional,Phase 2,107,Completed,Efficacy of Learning Through Play Plus Intervention to Reduce Maternal Depression for Women With Under-nourished Children: A Randomized Controlled Trial From Pakistan,Randomised Control Trial of a Complex Intervention for Postnatal Depression
NCT01312883,2011-03-09,September 2007,October 2010,September 2010,2011-03-08,NA,Interventional,Not Applicable,540,Completed,Center for Achieving and Sustaining Improved Health in Harlem: Patient Education to Reduce Postpartum Depressive Symptoms Among Minority Women,Mothers Avoiding Depression Through Empowerment Intervention Trial
NCT01328613,2019-12-03,"November 9, 2007","September 29, 2014",NA,2011-04-01,NA,Observational,NA,85,Terminated,A Prospective Study of Postpartum Depression in Women With Major Depression,A Prospective Study of Postpartum Depression in Women With Major Depression
NCT01379781,2022-03-25,August 2011,February 2018,February 2014,2011-06-22,2015-05-12,Interventional,Not Applicable,54,Completed,Behavioral Change in the Mother-Infant Dyad: Preventing Postpartum Depression,Behavioral Change in the Mother-Infant Dyad: Preventing Postpartum Depression
NCT01386086,2016-03-15,June 2011,November 2013,November 2013,2011-04-21,NA,Interventional,Phase 3,10,Completed,Augmentation Therapy of Resistant Postpartum Depression With Aripiprazole,Aripiprazole and Resistant Postpartum Depression
NCT01407783,2018-05-04,August 2008,May 2013,May 2013,2011-07-28,NA,Interventional,Not Applicable,29,Completed,Systems of Care for New Moms: Integrating Depression Treatment,Systems of Care for New Moms: Integrating Depression Treatment
NCT01423331,2011-08-24,August 2011,December 2012,December 2012,2011-08-24,NA,Observational,NA,200,Unknown status,An Evaluation and Factor Analysis for Maternal Mental Health - The Analytic Study of the Shin Kong Wu Ho-Su Memorial Hospital,An Evaluation and Factor Analysis for Maternal Mental Health
NCT01439269,2023-02-13,June 2008,"January 9, 2018","July 3, 2012",2011-09-19,NA,Interventional,Not Applicable,394,Completed,Enhancement of Co-regulation Between Mother and Infant Via Family Nurture Intervention (FNI) in the NICU: Short and Long Term Effects on Development,Family Nurture Intervention (FNI) in Neonatal Intensive Care Unit (NICU)
NCT01452321,2011-10-10,August 2007,September 2009,July 2008,2010-11-22,NA,Interventional,Phase 2,14,Completed,"Repetitive Transcranial Magnetic Stimulation Effects on Clinical, Cognitive and Social Performance in Postpartum Depression",Repetitive Transcranial Magnetic Stimulation in Postpartum Depression
NCT01453114,2015-04-06,November 2008,July 2012,July 2012,2011-10-12,NA,Interventional,Not Applicable,15,Completed,Cognitive-Behavioral Therapy in Women Discontinuing Antidepressant for Pregnancy,Cognitive-Behavioral Therapy (CBT) in Women Discontinuing Antidepressant for Pregnancy
NCT01463202,2018-08-02,November 2011,"October 16, 2017","February 13, 2017",2011-10-27,2018-02-14,Interventional,Phase 4,184,Completed,"Effect of Timing of Postpartum Depot Medroxyprogesterone Acetate Administration on Breastfeeding Continuation, Contraceptive Continuation, and Postpartum Depression: a Randomized Trial","Timing of Postpartum Depot Medroxyprogesterone Acetate Administration on Breastfeeding, Contraceptive Continuation, and Depression"
NCT01482832,2019-04-23,December 2011,"October 30, 2018",December 2017,2011-11-25,NA,Interventional,Not Applicable,250,Completed,Preventing Postpartum Depression in Adolescent Mothers,Interpersonal Therapy-Based Treatment to Prevent Postpartum Depression in Adolescent Mothers
NCT01507649,2015-12-01,July 2012,December 2014,December 2014,2012-01-03,NA,Interventional,Not Applicable,397,Completed,The Effect of a Telephone-based Cognitive-behavioral Intervention on Postnatal Depression: a Randomized Controlled Trial,Effect of a Telephone-based Intervention on Postnatal Depression
NCT01527448,2012-02-09,April 2008,July 2010,July 2010,2012-02-03,NA,Interventional,Not Applicable,26,Completed,"An Open Label Dose Titration Study of Quetiapine XR in the Treatment of Postpartum Depression in Nonlactating Women Diagnosed With Bipolar Disorder (BD), Type II.","Quetiapine in the Treatment of Postpartum Depression (PPD) in Bipolar Disorder (BD), Type II"
NCT01527474,2012-02-09,April 2008,May 2009,May 2009,2012-02-03,NA,Interventional,Not Applicable,20,Completed,An Open-label Study of Escitalopram in the Treatment of Postpartum Depression,Escitalopram in the Treatment of Postpartum Depression
NCT01527786,2015-01-26,November 2010,February 2014,February 2014,2010-10-14,NA,Interventional,Phase 3,25,Completed,A Pilot Study of Functional Outcome in Postpartum Depression in Women Treated With Desvenlafaxine,Functional Outcome in Postpartum Depression in Women Treated With Desvenlafaxine
NCT01587729,2015-03-26,November 2011,July 2014,July 2014,2012-04-23,NA,Observational,NA,1,Completed,IMI PROTECT (Work Package 2): Use of Antidepressants and Risk of Hip and/or Hip/Femur Fracture,IMI PROTECT(WP2): Antidepressants & Fractures
NCT01602913,2014-06-30,December 2011,May 2012,May 2012,2012-05-10,NA,Observational,NA,1,Completed,Incident Type II Diabetes Mellitus Among Patients Exposed to the Combination of Pravastatin and Paroxetine,Type II Diabetes Mellitus in Patients Exposed to Pravastatin and Paroxetine
NCT01646463,2020-02-13,January 2011,"May 3, 2017","May 3, 2017",2012-07-18,NA,Interventional,Not Applicable,49,Completed,Integrative Stress Reduction for Maternal-Child Health,Pilot Trial of CenteringPregnancy With Mindfulness Skills
NCT01648816,2023-09-07,"November 2, 2011","July 20, 2017","September 4, 2016",2012-07-20,NA,Observational,NA,3338,Completed,Interaction Between Genetic Factors and Maternal Stressors During Pregnancy in the Risk of Postpartum Depression,Interaction Between Genetic Factors and Maternal Stressors During Pregnancy in the Risk of Postpartum Depression
NCT01658098,2012-08-01,September 2012,February 2013,November 2012,2012-07-30,NA,Observational,NA,348,Unknown status,"Prevalence of Postpartum Depression in the Jose E. Gonzalez Hospital, Using the Edinburgh Postpartum Depression Scale",Prevalence of Postpartum Depression in Hospital Jose E. Gonzalez
NCT01660165,2014-01-16,November 2009,July 2012,November 2011,2012-05-24,NA,Observational,NA,299,Completed,Mental Health and Nutritional Status During Pregnancy and Postpartum: A Prospective Study With a Nested Clinical Trial,"Nutritional Status and Mental Health During Pregnancy and Postpartum: a Cohort Study in Rio de Janeiro, Brazil"
NCT01744041,2021-12-16,November 2012,"January 31, 2017","January 31, 2017",2012-11-27,2021-10-06,Interventional,Not Applicable,42,Completed,Perinatal Depression: Dyadic-IPT to Improve Health of Mother and Baby,Mommy-Baby Treatment for Perinatal Depression
NCT01762943,2017-10-17,August 2013,"October 13, 2016","October 13, 2016",2012-11-13,2017-09-15,Interventional,Not Applicable,36,Completed,Neurophysiology of Postpartum Depression in an Experimental Model of Pregnancy and Parturition,Neurophysiology of Postpartum Depression in an Experimental Model of Pregnancy and Parturition
NCT01838889,2014-12-05,March 2011,October 2013,August 2013,2013-04-14,NA,Interventional,Not Applicable,83,Completed,Exploratory RCT of a Group Psychological Intervention for Postnatal Depression in British Mother's of South Asian Origin,Exploratory Trial of a Group Psychological Intervention for Postnatal Depression in British Mother's of South Asian Origin
NCT01842542,2021-10-05,December 2013,August 2015,July 2015,2013-04-19,NA,Interventional,Not Applicable,25,Terminated,An Open-Label Study to Evaluate the Efficacy and Safety of the Neuronetics NeuroStar TMS Therapy System in Patients With Major Depressive Disorder (MDD) With Postpartum Onset.,Efficacy and Safety Study of NeuroStar TMS Therapy in Patients With Major Depressive Disorder With Postpartum Onset
NCT01883479,2017-06-28,December 2012,"May 1, 2017","May 1, 2017",2013-04-24,NA,Interventional,Not Applicable,450,Completed,Effect of Exercise and Wellness Interventions on Preventing Postpartum Depression.,Effect of Exercise and Wellness Interventions on Preventing Postpartum Depression
NCT01899534,2016-10-24,July 2013,December 2014,December 2014,2013-07-10,NA,Interventional,Not Applicable,566,Completed,Mental Health E-screening in Pregnant and Postpartum Women,Mental Health E-screening in Pregnant and Postpartum Women
NCT01908959,2013-07-24,February 2010,March 2012,February 2012,2013-07-19,NA,Interventional,Not Applicable,177,Completed,Madres Para la Salud (Mothers for Health),Madres Para la Salud (Mothers for Health)
NCT01909167,2022-06-21,"June 1, 2020","July 1, 2021","June 1, 2021",2013-07-02,NA,Interventional,Not Applicable,0,Withdrawn,A Randomized Controlled Trial of Internet Based Cognitive Behavioural Therapy (CBT) Versus Treatment as Usual (TAU) for Pregnant Women With Symptoms of Depression,Keeping Well:Online Cognitive Behavioral Therapy (CBT) for Pregnant Women With Depressive Symptoms
NCT01912833,2014-12-05,August 2013,September 2014,September 2014,2013-07-24,NA,Observational,NA,34,Completed,"Assessing the Association Between Stressful Life Events, Hormonal Dysregulation, and Postpartum Depression Among Lactating Latina Mothers: A Pilot Study","Study of Exposure to Stress, Postpartum Mood, Adverse Life Events, and Hormonal Function Among Latinas (SEPAH Latina)"
NCT01925664,2013-09-04,January 2001,August 2006,August 2006,2013-08-14,NA,Interventional,Not Applicable,248,Completed,Doula Support for Young Mothers: A Randomized Trial,Doula Support for Young Mothers: A Randomized Trial
NCT01935375,2015-08-05,July 2010,June 2014,June 2014,2010-05-24,NA,Interventional,Not Applicable,61,Completed,Multidisciplinary Model of Nurse Midwife Psychotherapy for Postpartum Depression,Multidisciplinary Model of Nurse Midwife
NCT01947244,2020-11-04,November 2011,October 2019,October 2019,2013-09-13,NA,Interventional,Not Applicable,312,Completed,"Illinois Maternal, Infant, and Early Childhood Home Visiting (MIECHV): Doula Randomized Controlled Trial",Doula Home Visiting Randomized Trial
NCT01967394,2015-12-25,June 2013,December 2015,December 2015,2013-10-10,NA,Interventional,Not Applicable,287,Completed,"Social Media, Teen Moms, and Postpartum Depression","Social Media, Teen Moms and PPD"
NCT01977326,2016-10-27,October 2013,June 2016,June 2016,2013-10-24,NA,Interventional,Not Applicable,4205,Completed,The Effectiveness and Cost-effectiveness of a Task Sharing Counseling Intervention by Community Health Workers for Prenatal Depression in South Africa,Task Sharing Counseling Intervention by Community Health Workers for Prenatal Depression in South Africa
NCT02010840,2015-12-01,July 2014,November 2016,November 2016,2013-12-04,NA,Interventional,Not Applicable,1152,Unknown status,The Effect of a Father Inclusive Psychoeducation Program on Postnatal Depression: a Randomized Controlled Trial,The Effect of a Father Inclusive Psychoeducation Program on Postnatal Depression
NCT02020148,2023-10-24,December 2013,August 2015,June 2015,2013-12-12,NA,Observational,NA,68,Completed,Can Prenatal Plasma Oxytocin Concentration Predict Likelihood of Postpartum Depression? An Opportunity for Early Intervention and Prevention in a Vulnerable Population,Can Oxytocin Level Predict Postpartum Depression?
NCT02053649,2019-05-24,January 2014,"February 28, 2019","January 15, 2019",2014-01-30,NA,Interventional,Not Applicable,24,Completed,Integrated Chronotherapy for Perinatal Depression,Integrated Chronotherapy for Perinatal Depression
NCT02057627,2016-04-19,June 2010,July 2012,July 2012,2014-02-05,NA,Interventional,Not Applicable,42,Completed,Dyadic Intervention for Women at Risk for Postpartum Depression and Their Infants,Mother-Infant Intervention for Postpartum Depression and Associated Mother-Infant Relationship Dysfunction
NCT02059863,2017-08-23,March 2014,October 2017,October 2017,2014-02-10,NA,Interventional,Not Applicable,12000,Unknown status,"SPRING (for the Millennium Development Goals): Sustainable Programme Incorporating Nutrition and Games (for Maximising Development, Growth and Survival)",SPRING Cluster Randomised Controlled Trial
NCT02094092,2014-03-19,May 2014,March 2016,March 2016,2014-03-13,NA,Interventional,Not Applicable,60,Unknown status,L.Reuteri ProTectis DSM 17938 to Relieve Infant Colic and Its Effects on Infant Sleep Pattern & Maternal Mental Health. PRIC-SMM Trial,Role of ProTectis on Infant Colic and Its Effect on Infant Crying Time and Maternal Mental Health
NCT02121015,2020-01-13,May 2016,November 2017,November 2017,2014-02-17,NA,Interventional,Not Applicable,210,Completed,Online Collaborative Learning Intervention to Prevent Perinatal Depression,Online Collaborative Learning Intervention to Prevent Perinatal Depression
NCT02121496,2020-01-27,March 2014,December 2019,December 2019,2014-03-28,NA,Interventional,Not Applicable,60,Completed,"Social Circumstances, Parenting Techniques, and Infant Development","Social Circumstances, Parenting Techniques, and Infant Development"
NCT02122393,2014-04-27,April 2002,April 2005,April 2005,2014-04-22,NA,Interventional,Phase 3,45,Completed,"A Randomised, Controlled Evaluation of Sertraline, Cognitive Behaviour Therapy & Combined Therapy for Postnatal Depression","A Randomised Trial of Sertraline, Cognitive Behaviour Therapy & Combined Therapy for Postnatal Depression"
NCT02133963,2015-05-15,May 2014,May 2015,May 2015,2014-05-06,NA,Observational,NA,17,Completed,Sleep Dysregulation and Neuroendocrine Stress Reactivity: Towards a Biopsychosocial Model of Vulnerability to Postpartum Depression,Determining Relationships Among Maternity Stress & Sleep
NCT02142972,2014-05-16,October 2011,May 2014,February 2014,2014-05-07,NA,Observational,NA,236,Completed,"Low Back Pain Disability, Intensity and Widespread Pain and Relationship to Postpartum Depression",Low Back Pain and Depression: Cohort Study
NCT02148965,2021-09-27,September 2014,September 2016,June 2016,2014-05-22,NA,Interventional,Not Applicable,639,Completed,Effects of Exercise During Pregnancy on Maternal and Child Health: a Randomized Clinical Trial,Effects of Exercise During Pregnancy on Maternal and Child Health: a Randomized Clinical Trial
NCT02191423,2014-07-13,January 2015,NA,June 2016,2014-07-09,NA,Interventional,Not Applicable,50,Unknown status,"The Effect of Oxytocin on Brain Attachment and Empathy Networks, and the Association Between the Brain Response and Treatment Outcome of Brief Dyadic Psychotherapy - in Women Suffering From Postpartum Depression",Oxytocin and Dyadic Psychotherapy in the Treatment of Post Partum Depression
NCT02210702,2014-08-04,July 2014,NA,January 2015,2014-07-31,NA,Interventional,Phase 4,33,Unknown status,Oral Contraceptive Ethinyl Estradiol Dose Effect on Postpartum Depression and Sexual Functioning Scales,Oral Contraceptive Ethinyl Estradiol Dose Effect on Postpartum Depression and Sexual Functioning Scales
NCT02213601,2014-08-07,June 2011,NA,October 2012,2014-08-07,NA,Interventional,Not Applicable,57,Completed,Efficacy of Yoga for Depressed Postpartum Women: A Randomized Controlled Trial,Efficacy of Yoga for Postpartum Depression
NCT02221895,2020-09-17,March 2014,May 2017,May 2017,2014-08-18,NA,Interventional,Not Applicable,344,Completed,The Effect of Early (2-3 Week Postpartum) Versus Traditional (6-8 Week Postpartum) Follow-Up on Breastfeeding Rates at 6 Months,The Effect of Early Versus Traditional Follow-Up on Breastfeeding Rates at 6 Months
NCT02235064,2018-02-27,July 2014,July 2015,July 2015,2014-08-08,2017-02-24,Interventional,Not Applicable,2,Terminated,Prophylactic Use of Immediate Postpartum Sertraline to Prevent Postpartum Depression: A Double Blind Randomized Placebo Controlled Trial,Prophylactic Use of Postpartum Sertraline to Prevent Postpartum Depression
NCT02272387,2017-08-23,October 2014,"April 14, 2016","April 14, 2016",2014-10-16,NA,Interventional,Not Applicable,151,Terminated,Is Vitamin D Insufficiency and Deficiency Associated With Antepartum and Postpartum Depression?,Is Vitamin D Insufficiency and Deficiency Associated With Antepartum and Postpartum Depression?
